scenario,time,system_state,pressure,regime,damage_flow,recovery_flow,net_flow
early_intervention,1,82.000000,20.000000,stable,0.000000,0.000000,0.000000
early_intervention,2,82.688055,20.850000,stable,1.911945,2.600000,0.688055
early_intervention,3,83.261275,21.700000,stable,2.026780,2.600000,0.573220
early_intervention,4,83.716770,22.550000,stable,2.144505,2.600000,0.455495
early_intervention,5,84.051650,23.400000,stable,2.265120,2.600000,0.334880
early_intervention,6,84.263025,24.250000,stable,2.388625,2.600000,0.211375
early_intervention,7,84.348005,25.100000,stable,2.515020,2.600000,0.084980
early_intervention,8,84.303700,25.950000,stable,2.644305,2.600000,-0.044305
early_intervention,9,84.127220,26.800000,stable,2.776480,2.600000,-0.176480
early_intervention,10,83.815675,27.650000,stable,2.911545,2.600000,-0.311545
early_intervention,11,83.366175,28.500000,stable,3.049500,2.600000,-0.449500
early_intervention,12,82.775830,29.350000,stable,3.190345,2.600000,-0.590345
early_intervention,13,82.041750,30.200000,stable,3.334080,2.600000,-0.734080
early_intervention,14,81.161045,31.050000,stable,3.480705,2.600000,-0.880705
early_intervention,15,80.130825,31.900000,stable,3.630220,2.600000,-1.030220
early_intervention,16,78.948200,32.750000,stable,3.782625,2.600000,-1.182625
early_intervention,17,77.610280,33.600000,stable,3.937920,2.600000,-1.337920
early_intervention,18,76.114175,34.450000,stable,4.096105,2.600000,-1.496105
early_intervention,19,74.456995,35.300000,stable,4.257180,2.600000,-1.657180
early_intervention,20,72.635850,36.150000,stable,4.421145,2.600000,-1.821145
early_intervention,21,70.647850,37.000000,stable,4.588000,2.600000,-1.988000
early_intervention,22,68.490105,37.850000,stable,4.757745,2.600000,-2.157745
early_intervention,23,66.159725,38.700000,stable,4.930380,2.600000,-2.330380
early_intervention,24,63.653820,39.550000,stable,5.105905,2.600000,-2.505905
early_intervention,25,60.969500,40.400000,stable,5.284320,2.600000,-2.684320
early_intervention,26,58.103875,41.250000,stable,5.465625,2.600000,-2.865625
early_intervention,27,55.054055,42.100000,stable,5.649820,2.600000,-3.049820
early_intervention,28,51.817150,42.950000,stable,5.836905,2.600000,-3.236905
early_intervention,29,48.390270,43.800000,stable,6.026880,2.600000,-3.426880
early_intervention,30,44.770525,44.650000,stable,6.219745,2.600000,-3.619745
early_intervention,31,40.955025,45.500000,stable,6.415500,2.600000,-3.815500
early_intervention,32,36.940880,46.350000,stable,6.614145,2.600000,-4.014145
early_intervention,33,32.725200,47.200000,stable,6.815680,2.600000,-4.215680
early_intervention,34,28.305095,48.050000,stable,7.020105,2.600000,-4.420105
early_intervention,35,23.677675,48.900000,stable,7.227420,2.600000,-4.627420
early_intervention,36,18.840050,49.750000,stable,7.437625,2.600000,-4.837625
early_intervention,37,13.789330,50.600000,stable,7.650720,2.600000,-5.050720
early_intervention,38,8.522625,51.450000,stable,7.866705,2.600000,-5.266705
early_intervention,39,3.037045,52.300000,stable,8.085580,2.600000,-5.485580
early_intervention,40,0.000000,53.150000,stable,8.307345,2.600000,-5.707345
early_intervention,41,0.000000,54.000000,stable,8.532000,2.600000,-5.932000
early_intervention,42,0.000000,54.850000,stable,8.759545,2.600000,-6.159545
early_intervention,43,0.000000,55.700000,stable,8.989980,2.600000,-6.389980
early_intervention,44,0.000000,56.550000,stable,9.223305,2.600000,-6.623305
early_intervention,45,0.000000,57.400000,stable,9.459520,2.600000,-6.859520
early_intervention,46,0.000000,58.250000,stable,9.698625,2.600000,-7.098625
early_intervention,47,0.000000,59.100000,stable,9.940620,2.600000,-7.340620
early_intervention,48,0.000000,59.950000,stable,10.185505,2.600000,-7.585505
early_intervention,49,0.000000,60.800000,stable,10.433280,2.600000,-7.833280
early_intervention,50,0.000000,61.650000,stable,10.683945,2.600000,-8.083945
early_intervention,51,0.000000,62.500000,stable,10.937500,2.600000,-8.337500
early_intervention,52,0.000000,63.350000,stable,11.193945,2.600000,-8.593945
early_intervention,53,0.000000,64.200000,stable,11.453280,2.600000,-8.853280
early_intervention,54,0.000000,65.050000,stable,11.715505,2.600000,-9.115505
early_intervention,55,0.000000,64.700000,stable,11.607180,2.600000,-9.007180
early_intervention,56,0.000000,64.350000,stable,11.499345,2.600000,-8.899345
early_intervention,57,0.000000,64.000000,stable,11.392000,2.600000,-8.792000
early_intervention,58,0.000000,63.650000,stable,11.285145,2.600000,-8.685145
early_intervention,59,0.000000,63.300000,stable,11.178780,2.600000,-8.578780
early_intervention,60,0.000000,62.950000,stable,11.072905,2.600000,-8.472905
early_intervention,61,0.000000,62.600000,stable,10.967520,2.600000,-8.367520
early_intervention,62,0.000000,62.250000,stable,10.862625,2.600000,-8.262625
early_intervention,63,0.000000,61.900000,stable,10.758220,2.600000,-8.158220
early_intervention,64,0.000000,61.550000,stable,10.654305,2.600000,-8.054305
early_intervention,65,0.000000,61.200000,stable,10.550880,2.600000,-7.950880
early_intervention,66,0.000000,60.850000,stable,10.447945,2.600000,-7.847945
early_intervention,67,0.000000,60.500000,stable,10.345500,2.600000,-7.745500
early_intervention,68,0.000000,60.150000,stable,10.243545,2.600000,-7.643545
early_intervention,69,0.000000,59.800000,stable,10.142080,2.600000,-7.542080
early_intervention,70,0.000000,59.450000,stable,10.041105,2.600000,-7.441105
early_intervention,71,0.000000,59.100000,stable,9.940620,2.600000,-7.340620
early_intervention,72,0.000000,58.750000,stable,9.840625,2.600000,-7.240625
early_intervention,73,0.000000,58.400000,stable,9.741120,2.600000,-7.141120
early_intervention,74,0.000000,58.050000,stable,9.642105,2.600000,-7.042105
early_intervention,75,0.000000,57.700000,stable,9.543580,2.600000,-6.943580
