time,system_state,pressure,regime,damage_flow,recovery_flow,net_flow
1,   82.000000,   20.000000,stable,    0.000000,    0.000000,    0.000000
2,   82.688055,   20.850000,stable,    1.911945,    2.600000,    0.688055
3,   83.261275,   21.700000,stable,    2.026780,    2.600000,    0.573220
4,   83.716770,   22.550000,stable,    2.144505,    2.600000,    0.455495
5,   84.051650,   23.400000,stable,    2.265120,    2.600000,    0.334880
6,   84.263025,   24.250000,stable,    2.388625,    2.600000,    0.211375
7,   84.348005,   25.100000,stable,    2.515020,    2.600000,    0.084980
8,   84.303700,   25.950000,stable,    2.644305,    2.600000,   -0.044305
9,   84.127220,   26.800000,stable,    2.776480,    2.600000,   -0.176480
10,   83.815675,   27.650000,stable,    2.911545,    2.600000,   -0.311545
11,   83.366175,   28.500000,stable,    3.049500,    2.600000,   -0.449500
12,   82.775830,   29.350000,stable,    3.190345,    2.600000,   -0.590345
13,   82.041750,   30.200000,stable,    3.334080,    2.600000,   -0.734080
14,   81.161045,   31.050000,stable,    3.480705,    2.600000,   -0.880705
15,   80.130825,   31.900000,stable,    3.630220,    2.600000,   -1.030220
16,   78.948200,   32.750000,stable,    3.782625,    2.600000,   -1.182625
17,   77.610280,   33.600000,stable,    3.937920,    2.600000,   -1.337920
18,   76.114175,   34.450000,stable,    4.096105,    2.600000,   -1.496105
19,   74.456995,   35.300000,stable,    4.257180,    2.600000,   -1.657180
20,   72.635850,   36.150000,stable,    4.421145,    2.600000,   -1.821145
21,   70.647850,   37.000000,stable,    4.588000,    2.600000,   -1.988000
22,   68.490105,   37.850000,stable,    4.757745,    2.600000,   -2.157745
23,   66.159725,   38.700000,stable,    4.930380,    2.600000,   -2.330380
24,   63.653820,   39.550000,stable,    5.105905,    2.600000,   -2.505905
25,   60.969500,   40.400000,stable,    5.284320,    2.600000,   -2.684320
26,   58.103875,   41.250000,stable,    5.465625,    2.600000,   -2.865625
27,   55.054055,   42.100000,stable,    5.649820,    2.600000,   -3.049820
28,   51.817150,   42.950000,stable,    5.836905,    2.600000,   -3.236905
29,   48.390270,   43.800000,stable,    6.026880,    2.600000,   -3.426880
30,   44.770525,   44.650000,stable,    6.219745,    2.600000,   -3.619745
31,   40.955025,   45.500000,stable,    6.415500,    2.600000,   -3.815500
32,   36.940880,   46.350000,stable,    6.614145,    2.600000,   -4.014145
33,   32.725200,   47.200000,stable,    6.815680,    2.600000,   -4.215680
34,   28.305095,   48.050000,stable,    7.020105,    2.600000,   -4.420105
35,   23.677675,   48.900000,stable,    7.227420,    2.600000,   -4.627420
36,   18.840050,   49.750000,stable,    7.437625,    2.600000,   -4.837625
37,   13.789330,   50.600000,stable,    7.650720,    2.600000,   -5.050720
38,    8.522625,   51.450000,stable,    7.866705,    2.600000,   -5.266705
39,    3.037045,   52.300000,stable,    8.085580,    2.600000,   -5.485580
40,    0.000000,   53.150000,stable,    8.307345,    2.600000,   -5.707345
41,    0.000000,   54.000000,stable,    8.532000,    2.600000,   -5.932000
42,    0.000000,   54.850000,stable,    8.759545,    2.600000,   -6.159545
43,    0.000000,   55.700000,stable,    8.989980,    2.600000,   -6.389980
44,    0.000000,   56.550000,stable,    9.223305,    2.600000,   -6.623305
45,    0.000000,   57.400000,stable,    9.459520,    2.600000,   -6.859520
46,    0.000000,   58.250000,stable,    9.698625,    2.600000,   -7.098625
47,    0.000000,   59.100000,stable,    9.940620,    2.600000,   -7.340620
48,    0.000000,   59.950000,stable,   10.185505,    2.600000,   -7.585505
49,    0.000000,   60.800000,stable,   10.433280,    2.600000,   -7.833280
50,    0.000000,   61.650000,stable,   10.683945,    2.600000,   -8.083945
51,    0.000000,   62.500000,stable,   10.937500,    2.600000,   -8.337500
52,    0.000000,   63.350000,stable,   11.193945,    2.600000,   -8.593945
53,    0.000000,   64.200000,stable,   11.453280,    2.600000,   -8.853280
54,    0.000000,   65.050000,stable,   11.715505,    2.600000,   -9.115505
55,    0.000000,   65.900000,stable,   11.980620,    2.600000,   -9.380620
56,    0.000000,   66.750000,stable,   12.248625,    2.600000,   -9.648625
57,    0.000000,   67.600000,stable,   12.519520,    2.600000,   -9.919520
58,    0.000000,   68.450000,stable,   12.793305,    2.600000,  -10.193305
59,    0.000000,   69.300000,stable,   13.069980,    2.600000,  -10.469980
60,    0.000000,   70.150000,degraded,   37.639635,    0.800000,  -36.839635
61,    0.000000,   71.000000,degraded,   38.436000,    0.800000,  -37.636000
62,    0.000000,   71.850000,degraded,   39.241035,    0.800000,  -38.441035
63,    0.000000,   72.700000,degraded,   40.054740,    0.800000,  -39.254740
64,    0.000000,   73.550000,degraded,   40.877115,    0.800000,  -40.077115
65,    0.000000,   74.400000,degraded,   41.708160,    0.800000,  -40.908160
66,    0.000000,   75.250000,degraded,   42.547875,    0.800000,  -41.747875
67,    0.000000,   76.100000,degraded,   43.396260,    0.800000,  -42.596260
68,    0.000000,   76.950000,degraded,   44.253315,    0.800000,  -43.453315
69,    0.000000,   77.800000,degraded,   45.119040,    0.800000,  -44.319040
70,    0.000000,   78.650000,degraded,   45.993435,    0.800000,  -45.193435
71,    0.000000,   79.500000,degraded,   46.876500,    0.800000,  -46.076500
72,    0.000000,   80.350000,degraded,   47.768235,    0.800000,  -46.968235
73,    0.000000,   81.200000,degraded,   48.668640,    0.800000,  -47.868640
