"scenario","time","system_state","pressure","regime","collapse_threshold","recovery_threshold","hysteresis_gap","damage_flow","recovery_flow","net_flow","rolling_variance_12","rolling_autocorrelation_12"
"early_intervention",1,82,20,"stable",70,45,25,0,0,0,NA,NA
"early_intervention",2,82.688055,20.85,"stable",70,45,25,1.911945,2.6,0.688055,NA,NA
"early_intervention",3,83.261275,21.7,"stable",70,45,25,2.02678,2.6,0.57322,NA,NA
"early_intervention",4,83.71677,22.55,"stable",70,45,25,2.144505,2.6,0.455495,NA,NA
"early_intervention",5,84.05165,23.4,"stable",70,45,25,2.26512,2.6,0.334879999999999,NA,NA
"early_intervention",6,84.263025,24.25,"stable",70,45,25,2.388625,2.6,0.211374999999999,NA,NA
"early_intervention",7,84.348005,25.1,"stable",70,45,25,2.51502,2.6,0.0849799999999985,NA,NA
"early_intervention",8,84.3037,25.95,"stable",70,45,25,2.644305,2.6,-0.0443050000000014,NA,NA
"early_intervention",9,84.1272199999999,26.8,"stable",70,45,25,2.77648,2.6,-0.176480000000002,NA,NA
"early_intervention",10,83.8156749999999,27.65,"stable",70,45,25,2.911545,2.6,-0.311545000000002,NA,NA
"early_intervention",11,83.3661749999999,28.5,"stable",70,45,25,3.0495,2.6,-0.449500000000002,NA,NA
"early_intervention",12,82.7758299999999,29.35,"stable",70,45,25,3.190345,2.6,-0.590345000000003,0.568845942383324,0.823602110283769
"early_intervention",13,82.0417499999999,30.2,"stable",70,45,25,3.33408,2.6,-0.734080000000003,0.557151036758354,0.803102039902338
"early_intervention",14,81.1610449999999,31.05,"stable",70,45,25,3.480705,2.6,-0.880705000000003,0.994454888050052,0.936669270809257
"early_intervention",15,80.1308249999999,31.9,"stable",70,45,25,3.63022,2.6,-1.03022,1.91055238475842,0.983464305465934
"early_intervention",16,78.9481999999999,32.75,"stable",70,45,25,3.782625,2.6,-1.182625,3.33588987918346,0.994631595775576
"early_intervention",17,77.6102799999998,33.6,"stable",70,45,25,3.93792,2.6,-1.33792,5.30156518742517,0.997846721629677
"early_intervention",18,76.1141749999998,34.45,"stable",70,45,25,4.096105,2.6,-1.496105,7.83932758938355,0.99898965217518
"early_intervention",19,74.4569949999998,35.3,"stable",70,45,25,4.25718,2.6,-1.65718000000001,10.9815778287586,0.999468188314227
"early_intervention",20,72.6358499999998,36.15,"stable",70,45,25,4.42114500000001,2.6,-1.82114500000001,14.7613681130503,0.999694827216283
"early_intervention",21,70.6478499999998,37,"stable",70,45,25,4.58800000000001,2.6,-1.98800000000001,19.2124021135587,0.999812792824142
"early_intervention",22,68.4901049999998,37.85,"stable",70,45,25,4.75774500000001,2.6,-2.15774500000001,24.3690349653838,0.999878914457774
"early_intervention",23,66.1597249999998,38.7,"stable",70,45,25,4.93038000000001,2.6,-2.33038000000001,30.2662732674255,0.999918246504894
"early_intervention",24,63.6538199999998,39.55,"stable",70,45,25,5.10590500000001,2.6,-2.50590500000001,36.9397750823838,0.99994280954162
"early_intervention",25,60.9694999999998,40.4,"stable",70,45,25,5.28432000000001,2.6,-2.68432000000001,44.4258499367589,0.99995878359346
"early_intervention",26,58.1038749999997,41.25,"stable",70,45,25,5.46562500000001,2.6,-2.86562500000001,52.7614588208506,0.999969533837598
"early_intervention",27,55.0540549999997,42.1,"stable",70,45,25,5.64982000000001,2.6,-3.04982000000001,61.9842141887589,0.999976983676225
"early_intervention",28,51.8171499999997,42.95,"stable",70,45,25,5.83690500000001,2.6,-3.23690500000001,72.1323799583839,0.99998227891011
