scenario,time,system_state,pressure,regime,collapse_threshold,recovery_threshold,hysteresis_gap,damage_flow,recovery_flow,net_flow,rolling_variance_12,rolling_autocorrelation_12
early_intervention,1,82.0,20.0,stable,70.0,45.0,25.0,0.0,0.0,0.0,,
early_intervention,2,82.688055,20.85,stable,70.0,45.0,25.0,1.911945,2.6,0.688055,,
early_intervention,3,83.261275,21.7,stable,70.0,45.0,25.0,2.02678,2.6,0.57322,,
early_intervention,4,83.71677,22.55,stable,70.0,45.0,25.0,2.144505,2.6,0.455495,,
early_intervention,5,84.05165,23.4,stable,70.0,45.0,25.0,2.26512,2.6,0.33488,,
early_intervention,6,84.263025,24.25,stable,70.0,45.0,25.0,2.388625,2.6,0.211375,,
early_intervention,7,84.348005,25.1,stable,70.0,45.0,25.0,2.51502,2.6,0.08498,,
early_intervention,8,84.3037,25.95,stable,70.0,45.0,25.0,2.644305,2.6,-0.044305,,
early_intervention,9,84.12722,26.8,stable,70.0,45.0,25.0,2.77648,2.6,-0.17648,,
early_intervention,10,83.815675,27.65,stable,70.0,45.0,25.0,2.911545,2.6,-0.311545,,
early_intervention,11,83.366175,28.5,stable,70.0,45.0,25.0,3.0495,2.6,-0.4495,,
early_intervention,12,82.77583,29.35,stable,70.0,45.0,25.0,3.190345,2.6,-0.590345,0.568846,0.823602
early_intervention,13,82.04175,30.2,stable,70.0,45.0,25.0,3.33408,2.6,-0.73408,0.557151,0.803102
early_intervention,14,81.161045,31.05,stable,70.0,45.0,25.0,3.480705,2.6,-0.880705,0.994455,0.936669
early_intervention,15,80.130825,31.9,stable,70.0,45.0,25.0,3.63022,2.6,-1.03022,1.910552,0.983464
early_intervention,16,78.9482,32.75,stable,70.0,45.0,25.0,3.782625,2.6,-1.182625,3.33589,0.994632
early_intervention,17,77.61028,33.6,stable,70.0,45.0,25.0,3.93792,2.6,-1.33792,5.301565,0.997847
early_intervention,18,76.114175,34.45,stable,70.0,45.0,25.0,4.096105,2.6,-1.496105,7.839328,0.99899
early_intervention,19,74.456995,35.3,stable,70.0,45.0,25.0,4.25718,2.6,-1.65718,10.981578,0.999468
early_intervention,20,72.63585,36.15,stable,70.0,45.0,25.0,4.421145,2.6,-1.821145,14.761368,0.999695
early_intervention,21,70.64785,37.0,stable,70.0,45.0,25.0,4.588,2.6,-1.988,19.212402,0.999813
early_intervention,22,68.490105,37.85,stable,70.0,45.0,25.0,4.757745,2.6,-2.157745,24.369035,0.999879
early_intervention,23,66.159725,38.7,stable,70.0,45.0,25.0,4.93038,2.6,-2.33038,30.266273,0.999918
early_intervention,24,63.65382,39.55,stable,70.0,45.0,25.0,5.105905,2.6,-2.505905,36.939775,0.999943
early_intervention,25,60.9695,40.4,stable,70.0,45.0,25.0,5.28432,2.6,-2.68432,44.42585,0.999959
early_intervention,26,58.103875,41.25,stable,70.0,45.0,25.0,5.465625,2.6,-2.865625,52.761459,0.99997
early_intervention,27,55.054055,42.1,stable,70.0,45.0,25.0,5.64982,2.6,-3.04982,61.984214,0.999977
early_intervention,28,51.81715,42.95,stable,70.0,45.0,25.0,5.836905,2.6,-3.236905,72.13238,0.999982
early_intervention,29,48.39027,43.8,stable,70.0,45.0,25.0,6.02688,2.6,-3.42688,83.244872,0.999986
early_intervention,30,44.770525,44.65,stable,70.0,45.0,25.0,6.219745,2.6,-3.619745,95.361256,0.999989
early_intervention,31,40.955025,45.5,stable,70.0,45.0,25.0,6.4155,2.6,-3.8155,108.521751,0.999991
early_intervention,32,36.94088,46.35,stable,70.0,45.0,25.0,6.614145,2.6,-4.014145,122.767227,0.999993
early_intervention,33,32.7252,47.2,stable,70.0,45.0,25.0,6.81568,2.6,-4.21568,138.139204,0.999994
