policy,scenario,benefit,cost,equity,resilience,feasibility,legitimacy,composite_score,acceptable,best_score_in_scenario,regret
status_quo_maintenance,baseline_future,0.45,0.25,0.35,0.3,0.88,0.5,0.325,False,0.5212,0.1962
status_quo_maintenance,fiscal_stress,0.405,0.3375,0.322,0.285,0.7568,0.46,0.27383,False,0.43172,0.15789
status_quo_maintenance,demand_surge,0.54,0.28,0.336,0.33,0.6864,0.45,0.31944,False,0.529872,0.210432
status_quo_maintenance,implementation_delay,0.369,0.275,0.3325,0.27,0.5456,0.44,0.25272,False,0.421376,0.168656
status_quo_maintenance,compound_risk,0.396,0.325,0.315,0.39,0.6336,0.41,0.2741,False,0.446064,0.171964
status_quo_maintenance,equity_legitimacy_pressure,0.4275,0.27,0.4375,0.315,0.7216,0.6,0.33036,False,0.553308,0.222948
targeted_intervention,baseline_future,0.68,0.48,0.72,0.62,0.7,0.68,0.4704,False,0.5212,0.0508
targeted_intervention,fiscal_stress,0.612,0.648,0.6624,0.589,0.602,0.6256,0.3915,False,0.43172,0.04022
targeted_intervention,demand_surge,0.816,0.5376,0.6912,0.682,0.546,0.612,0.475872,False,0.529872,0.054
targeted_intervention,implementation_delay,0.5576,0.528,0.684,0.558,0.434,0.5984,0.379264,False,0.421376,0.042112
targeted_intervention,compound_risk,0.5984,0.624,0.648,0.806,0.504,0.5576,0.412136,False,0.446064,0.033928
targeted_intervention,equity_legitimacy_pressure,0.646,0.5184,0.9,0.651,0.574,0.816,0.497908,False,0.553308,0.0554
universal_program,baseline_future,0.78,0.82,0.8,0.66,0.52,0.74,0.4444,False,0.5212,0.0768
universal_program,fiscal_stress,0.702,1.0,0.736,0.627,0.4472,0.6808,0.36134,False,0.43172,0.07038
universal_program,demand_surge,0.936,0.9184,0.768,0.726,0.4056,0.666,0.450768,False,0.529872,0.079104
universal_program,implementation_delay,0.6396,0.902,0.76,0.594,0.3224,0.6512,0.347424,False,0.421376,0.073952
universal_program,compound_risk,0.6864,1.0,0.72,0.858,0.3744,0.6068,0.381296,False,0.446064,0.064768
universal_program,equity_legitimacy_pressure,0.741,0.8856,1.0,0.693,0.4264,0.888,0.474612,False,0.553308,0.078696
adaptive_pathway,baseline_future,0.72,0.58,0.76,0.86,0.68,0.78,0.5212,True,0.5212,0.0
adaptive_pathway,fiscal_stress,0.648,0.783,0.6992,0.817,0.5848,0.7176,0.43172,False,0.43172,0.0
adaptive_pathway,demand_surge,0.864,0.6496,0.7296,0.946,0.5304,0.702,0.529872,True,0.529872,0.0
adaptive_pathway,implementation_delay,0.5904,0.638,0.722,0.774,0.4216,0.6864,0.421376,False,0.421376,0.0
adaptive_pathway,compound_risk,0.6336,0.754,0.684,1.0,0.4896,0.6396,0.446064,False,0.446064,0.0
adaptive_pathway,equity_legitimacy_pressure,0.684,0.6264,0.95,0.903,0.5576,0.936,0.553308,True,0.553308,0.0
