scenario,from_node,to_node,dependency_weight
baseline,node_2,node_0,0.022319
baseline,node_3,node_0,0.05375
baseline,node_6,node_0,0.032324
baseline,node_7,node_0,0.018478
baseline,node_9,node_0,0.017129
baseline,node_0,node_1,0.033564
baseline,node_3,node_1,0.044887
baseline,node_5,node_1,0.010882
baseline,node_7,node_1,0.007602
baseline,node_8,node_1,0.047066
baseline,node_10,node_2,0.097823
baseline,node_11,node_2,0.046177
baseline,node_0,node_3,0.009313
baseline,node_1,node_3,0.041727
baseline,node_5,node_3,0.019375
baseline,node_9,node_3,0.047391
baseline,node_10,node_3,0.026194
baseline,node_6,node_4,0.005786
baseline,node_7,node_4,0.021878
baseline,node_8,node_4,0.067984
baseline,node_10,node_4,0.048353
baseline,node_2,node_5,0.015577
baseline,node_4,node_5,0.033168
baseline,node_8,node_5,0.054663
baseline,node_10,node_5,0.005192
baseline,node_11,node_5,0.035399
baseline,node_2,node_6,0.032891
baseline,node_8,node_6,0.058575
baseline,node_11,node_6,0.052534
baseline,node_0,node_7,0.019981
baseline,node_4,node_7,0.022679
baseline,node_5,node_7,0.039571
baseline,node_8,node_7,0.028352
baseline,node_10,node_7,0.033417
baseline,node_2,node_8,0.019234
baseline,node_3,node_8,0.050114
baseline,node_6,node_8,0.005644
baseline,node_10,node_8,0.027495
baseline,node_11,node_8,0.041513
baseline,node_1,node_9,0.031553
baseline,node_3,node_9,0.055291
baseline,node_5,node_9,0.035379
baseline,node_7,node_9,0.021777
baseline,node_1,node_10,0.012071
baseline,node_2,node_10,0.027897
baseline,node_3,node_10,0.011876
baseline,node_4,node_10,0.029759
baseline,node_5,node_10,0.041699
baseline,node_7,node_10,0.01265
baseline,node_9,node_10,0.00805
baseline,node_4,node_11,0.144
high_coupling,node_2,node_0,0.03819
high_coupling,node_3,node_0,0.091972
high_coupling,node_6,node_0,0.055311
high_coupling,node_7,node_0,0.031617
high_coupling,node_9,node_0,0.02931
high_coupling,node_0,node_1,0.057431
high_coupling,node_3,node_1,0.076807
high_coupling,node_5,node_1,0.01862
high_coupling,node_7,node_1,0.013007
high_coupling,node_8,node_1,0.080535
high_coupling,node_10,node_2,0.167386
high_coupling,node_11,node_2,0.079014
