run_id,pre_shock_total,min_total_after_shock,final_total,recovery_ratio,max_drawdown,volatility,growth_a,growth_b,coupling_ab,coupling_ba,balancing_b,target_b,shock_size,noise_sd
5001,208.070528,210.747601,532.35463,2.55853,-2.677073,145.857034,0.025795,0.037689,0.013964,0.050812,0.032351,62.586269,-16.449968,0.405879
5002,201.515698,202.832869,276.174937,1.370488,-1.317171,62.399225,0.057654,0.032803,0.020581,0.045844,0.034842,54.682615,-13.223291,0.548857
5003,263.542715,265.234714,384.545303,1.459138,-1.691999,93.133238,0.060164,0.022407,0.018812,0.05438,0.018489,48.301749,-16.782171,0.544735
5004,144.514018,145.396989,207.039574,1.432661,-0.882971,43.675087,0.045398,0.023585,0.018941,0.048969,0.027925,62.387696,-12.732515,0.239148
5005,95.613192,96.643932,118.820806,1.242724,-1.03074,20.341504,0.035958,0.025167,0.021975,0.053984,0.037875,48.425113,-7.059374,0.262601
5006,378.107288,388.746409,5307.724809,14.037616,-10.639121,1365.003443,0.048505,0.043135,0.016452,0.026333,0.01646,56.276914,-12.887398,0.512685
5007,307.447361,314.59887,2741.124931,8.915754,-7.151509,729.164262,0.031958,0.047071,0.016025,0.028095,0.025379,48.823012,-11.51007,0.270599
5008,165.719713,167.889954,328.833504,1.984275,-2.170241,87.242319,0.036117,0.032547,0.025358,0.045501,0.032082,64.287723,-10.643461,0.290754
5009,108.776318,108.005789,124.460175,1.144184,0.770529,20.603136,0.041478,0.021083,0.020732,0.051354,0.0379,61.772472,-10.165493,0.399091
5010,283.261463,285.297421,456.918631,1.613063,-2.035958,115.63018,0.046131,0.039049,0.010076,0.054929,0.037103,54.070795,-13.981742,0.168186
5011,184.103348,185.614261,328.536259,1.784521,-1.510913,80.786366,0.05623,0.037697,0.023891,0.046737,0.037101,52.74108,-15.384644,0.237845
5012,146.54006,147.790883,266.114118,1.815982,-1.250823,62.344941,0.043327,0.022557,0.017858,0.042966,0.020409,57.562304,-16.333016,0.173806
5013,162.533868,165.11954,417.560122,2.569065,-2.585672,107.411784,0.053184,0.025807,0.027474,0.044761,0.018837,59.433706,-16.404825,0.292403
5014,442.130242,455.365677,9338.432176,21.121451,-13.235435,2332.181537,0.027841,0.04687,0.019101,0.050141,0.015948,49.503982,-14.133242,0.19918
5015,331.759516,320.147082,457.6227,1.379381,11.612434,122.182104,0.048755,0.025506,0.011362,0.054272,0.021937,54.666703,-8.746824,0.559817
5016,100.100426,100.303703,132.966216,1.328328,-0.203277,25.001339,0.037845,0.023025,0.027564,0.050156,0.03474,53.464772,-6.564977,0.548558
