scenario,from_node,to_node,effective_dependency_weight
baseline,power,water,0.144
baseline,power,communications,0.144
baseline,communications,transport,0.040865
baseline,transport,food_distribution,0.144
baseline,water,public_health,0.063101
baseline,public_health,workforce,0.144
baseline,workforce,transport,0.046703
baseline,food_distribution,public_health,0.029124
baseline,finance,suppliers,0.144
baseline,suppliers,manufacturing,0.144
baseline,manufacturing,transport,0.056432
baseline,transport,retail_access,0.144
baseline,retail_access,household_resilience,0.144
baseline,communications,emergency_response,0.144
baseline,emergency_response,public_health,0.051775
high_coupling,power,water,0.2552
high_coupling,power,communications,0.2552
high_coupling,communications,transport,0.072422
high_coupling,transport,food_distribution,0.2552
high_coupling,water,public_health,0.111829
high_coupling,public_health,workforce,0.2552
high_coupling,workforce,transport,0.082768
high_coupling,food_distribution,public_health,0.051613
high_coupling,finance,suppliers,0.2552
high_coupling,suppliers,manufacturing,0.2552
high_coupling,manufacturing,transport,0.100011
high_coupling,transport,retail_access,0.2552
high_coupling,retail_access,household_resilience,0.2552
high_coupling,communications,emergency_response,0.2552
high_coupling,emergency_response,public_health,0.091757
higher_redundancy,power,water,0.0896
higher_redundancy,power,communications,0.0896
higher_redundancy,communications,transport,0.025427
higher_redundancy,transport,food_distribution,0.0896
higher_redundancy,water,public_health,0.039263
higher_redundancy,public_health,workforce,0.0896
higher_redundancy,workforce,transport,0.029059
higher_redundancy,food_distribution,public_health,0.018121
higher_redundancy,finance,suppliers,0.0896
higher_redundancy,suppliers,manufacturing,0.0896
higher_redundancy,manufacturing,transport,0.035114
higher_redundancy,transport,retail_access,0.0896
higher_redundancy,retail_access,household_resilience,0.0896
higher_redundancy,communications,emergency_response,0.0896
higher_redundancy,emergency_response,public_health,0.032216
severe_shock,power,water,0.144
severe_shock,power,communications,0.144
severe_shock,communications,transport,0.040865
severe_shock,transport,food_distribution,0.144
severe_shock,water,public_health,0.063101
severe_shock,public_health,workforce,0.144
severe_shock,workforce,transport,0.046703
severe_shock,food_distribution,public_health,0.029124
severe_shock,finance,suppliers,0.144
severe_shock,suppliers,manufacturing,0.144
severe_shock,manufacturing,transport,0.056432
severe_shock,transport,retail_access,0.144
severe_shock,retail_access,household_resilience,0.144
severe_shock,communications,emergency_response,0.144
severe_shock,emergency_response,public_health,0.051775
delayed_recovery,power,water,0.164
delayed_recovery,power,communications,0.164
delayed_recovery,communications,transport,0.046541
delayed_recovery,transport,food_distribution,0.164
delayed_recovery,water,public_health,0.071865
delayed_recovery,public_health,workforce,0.164
delayed_recovery,workforce,transport,0.053189
delayed_recovery,food_distribution,public_health,0.033169
delayed_recovery,finance,suppliers,0.164
delayed_recovery,suppliers,manufacturing,0.164
delayed_recovery,manufacturing,transport,0.06427
delayed_recovery,transport,retail_access,0.164
delayed_recovery,retail_access,household_resilience,0.164
delayed_recovery,communications,emergency_response,0.164
delayed_recovery,emergency_response,public_health,0.058966
