scenario,time,node,state,system_performance,worst_node_state,system_performance_loss
baseline,0,communications,1.0,1.0,1.0,0.0
baseline,0,emergency_response,1.0,1.0,1.0,0.0
baseline,0,finance,1.0,1.0,1.0,0.0
baseline,0,food_distribution,1.0,1.0,1.0,0.0
baseline,0,household_resilience,1.0,1.0,1.0,0.0
baseline,0,manufacturing,1.0,1.0,1.0,0.0
baseline,0,power,1.0,1.0,1.0,0.0
baseline,0,public_health,1.0,1.0,1.0,0.0
baseline,0,retail_access,1.0,1.0,1.0,0.0
baseline,0,suppliers,1.0,1.0,1.0,0.0
baseline,0,transport,1.0,1.0,1.0,0.0
baseline,0,water,1.0,1.0,1.0,0.0
baseline,0,workforce,1.0,1.0,1.0,0.0
baseline,1,communications,1.005195,0.998103,0.988135,0.001897
baseline,1,emergency_response,1.004825,0.998103,0.988135,0.001897
baseline,1,finance,0.988135,0.998103,0.988135,0.001897
baseline,1,food_distribution,0.999117,0.998103,0.988135,0.001897
baseline,1,household_resilience,1.003409,0.998103,0.988135,0.001897
baseline,1,manufacturing,1.002564,0.998103,0.988135,0.001897
baseline,1,power,0.993839,0.998103,0.988135,0.001897
baseline,1,public_health,0.995462,0.998103,0.988135,0.001897
baseline,1,retail_access,1.001574,0.998103,0.988135,0.001897
baseline,1,suppliers,0.992606,0.998103,0.988135,0.001897
baseline,1,transport,0.998749,0.998103,0.988135,0.001897
baseline,1,water,0.989818,0.998103,0.988135,0.001897
baseline,1,workforce,1.000051,0.998103,0.988135,0.001897
baseline,2,communications,0.995944,0.999039,0.990835,0.000961
baseline,2,emergency_response,1.005735,0.999039,0.990835,0.000961
baseline,2,finance,0.997289,0.999039,0.990835,0.000961
baseline,2,food_distribution,1.007487,0.999039,0.990835,0.000961
baseline,2,household_resilience,1.010465,0.999039,0.990835,0.000961
baseline,2,manufacturing,0.990835,0.999039,0.990835,0.000961
baseline,2,power,0.997728,0.999039,0.990835,0.000961
baseline,2,public_health,0.991799,0.999039,0.990835,0.000961
baseline,2,retail_access,0.992966,0.999039,0.990835,0.000961
baseline,2,suppliers,0.992582,0.999039,0.990835,0.000961
baseline,2,transport,1.003627,0.999039,0.990835,0.000961
baseline,2,water,1.003397,0.999039,0.990835,0.000961
baseline,2,workforce,0.997656,0.999039,0.990835,0.000961
baseline,3,communications,1.004058,0.997806,0.982181,0.002194
baseline,3,emergency_response,0.982181,0.997806,0.982181,0.002194
baseline,3,finance,0.99511,0.997806,0.982181,0.002194
baseline,3,food_distribution,1.007244,0.997806,0.982181,0.002194
baseline,3,household_resilience,1.004546,0.997806,0.982181,0.002194
baseline,3,manufacturing,0.996913,0.997806,0.982181,0.002194
baseline,3,power,0.996163,0.997806,0.982181,0.002194
baseline,3,public_health,0.999548,0.997806,0.982181,0.002194
baseline,3,retail_access,1.000697,0.997806,0.982181,0.002194
baseline,3,suppliers,0.98619,0.997806,0.982181,0.002194
baseline,3,transport,1.001376,0.997806,0.982181,0.002194
baseline,3,water,1.002187,0.997806,0.982181,0.002194
baseline,3,workforce,0.995262,0.997806,0.982181,0.002194
baseline,4,communications,0.997669,0.995968,0.973164,0.004032
baseline,4,emergency_response,0.978758,0.995968,0.973164,0.004032
baseline,4,finance,0.998319,0.995968,0.973164,0.004032
baseline,4,food_distribution,1.000848,0.995968,0.973164,0.004032
baseline,4,household_resilience,1.00069,0.995968,0.973164,0.004032
baseline,4,manufacturing,1.00046,0.995968,0.973164,0.004032
baseline,4,power,1.001214,0.995968,0.973164,0.004032
baseline,4,public_health,0.999016,0.995968,0.973164,0.004032
baseline,4,retail_access,0.992718,0.995968,0.973164,0.004032
baseline,4,suppliers,0.973164,0.995968,0.973164,0.004032
baseline,4,transport,1.001796,0.995968,0.973164,0.004032
baseline,4,water,1.001131,0.995968,0.973164,0.004032
baseline,4,workforce,1.001805,0.995968,0.973164,0.004032
baseline,5,communications,1.004149,0.996088,0.973112,0.003912
baseline,5,emergency_response,0.976951,0.996088,0.973112,0.003912
baseline,5,finance,0.997093,0.996088,0.973112,0.003912
baseline,5,food_distribution,1.00089,0.996088,0.973112,0.003912
baseline,5,household_resilience,1.000092,0.996088,0.973112,0.003912
baseline,5,manufacturing,0.999675,0.996088,0.973112,0.003912
baseline,5,power,1.010055,0.996088,0.973112,0.003912
baseline,5,public_health,1.000919,0.996088,0.973112,0.003912
baseline,5,retail_access,0.995638,0.996088,0.973112,0.003912
baseline,5,suppliers,0.973112,0.996088,0.973112,0.003912
baseline,5,transport,0.996815,0.996088,0.973112,0.003912
baseline,5,water,0.996521,0.996088,0.973112,0.003912
baseline,5,workforce,0.997229,0.996088,0.973112,0.003912
baseline,6,communications,1.005771,0.994869,0.972225,0.005131
baseline,6,emergency_response,0.985628,0.994869,0.972225,0.005131
baseline,6,finance,0.991778,0.994869,0.972225,0.005131
baseline,6,food_distribution,0.993857,0.994869,0.972225,0.005131
baseline,6,household_resilience,1.001268,0.994869,0.972225,0.005131
baseline,6,manufacturing,1.011834,0.994869,0.972225,0.005131
baseline,6,power,1.001703,0.994869,0.972225,0.005131
baseline,6,public_health,0.992091,0.994869,0.972225,0.005131
baseline,6,retail_access,0.993333,0.994869,0.972225,0.005131
baseline,6,suppliers,0.972225,0.994869,0.972225,0.005131
baseline,6,transport,0.992571,0.994869,0.972225,0.005131
baseline,6,water,1.000411,0.994869,0.972225,0.005131
baseline,6,workforce,0.990829,0.994869,0.972225,0.005131
baseline,7,communications,0.993228,0.99142,0.975018,0.00858
baseline,7,emergency_response,0.989185,0.99142,0.975018,0.00858
baseline,7,finance,0.987821,0.99142,0.975018,0.00858
baseline,7,food_distribution,0.995293,0.99142,0.975018,0.00858
baseline,7,household_resilience,1.000027,0.99142,0.975018,0.00858
baseline,7,manufacturing,1.008493,0.99142,0.975018,0.00858
baseline,7,power,0.997054,0.99142,0.975018,0.00858
baseline,7,public_health,0.985076,0.99142,0.975018,0.00858
baseline,7,retail_access,0.985714,0.99142,0.975018,0.00858
baseline,7,suppliers,0.975018,0.99142,0.975018,0.00858
baseline,7,transport,0.980097,0.99142,0.975018,0.00858
baseline,7,water,1.001516,0.99142,0.975018,0.00858
baseline,7,workforce,0.989939,0.99142,0.975018,0.00858
baseline,8,communications,1.000215,0.991281,0.977825,0.008719
baseline,8,emergency_response,0.977825,0.991281,0.977825,0.008719
baseline,8,finance,0.98794,0.991281,0.977825,0.008719
baseline,8,food_distribution,0.995511,0.991281,0.977825,0.008719
baseline,8,household_resilience,0.990805,0.991281,0.977825,0.008719
baseline,8,manufacturing,1.013712,0.991281,0.977825,0.008719
baseline,8,power,0.991045,0.991281,0.977825,0.008719
baseline,8,public_health,0.980152,0.991281,0.977825,0.008719
baseline,8,retail_access,0.996143,0.991281,0.977825,0.008719
baseline,8,suppliers,0.982615,0.991281,0.977825,0.008719
baseline,8,transport,0.986639,0.991281,0.977825,0.008719
baseline,8,water,1.002557,0.991281,0.977825,0.008719
baseline,8,workforce,0.981499,0.991281,0.977825,0.008719
baseline,9,communications,0.984031,0.991907,0.980153,0.008093
baseline,9,emergency_response,0.984053,0.991907,0.980153,0.008093
baseline,9,finance,1.000136,0.991907,0.980153,0.008093
baseline,9,food_distribution,0.991568,0.991907,0.980153,0.008093
baseline,9,household_resilience,0.988771,0.991907,0.980153,0.008093
baseline,9,manufacturing,1.010466,0.991907,0.980153,0.008093
baseline,9,power,0.990989,0.991907,0.980153,0.008093
baseline,9,public_health,0.987534,0.991907,0.980153,0.008093
baseline,9,retail_access,1.002684,0.991907,0.980153,0.008093
baseline,9,suppliers,0.987864,0.991907,0.980153,0.008093
baseline,9,transport,0.981997,0.991907,0.980153,0.008093
baseline,9,water,1.004542,0.991907,0.980153,0.008093
baseline,9,workforce,0.980153,0.991907,0.980153,0.008093
baseline,10,communications,0.983942,0.990199,0.970779,0.009801
baseline,10,emergency_response,0.970779,0.990199,0.970779,0.009801
baseline,10,finance,0.993372,0.990199,0.970779,0.009801
baseline,10,food_distribution,0.99885,0.990199,0.970779,0.009801
baseline,10,household_resilience,0.995315,0.990199,0.970779,0.009801
baseline,10,manufacturing,1.008047,0.990199,0.970779,0.009801
baseline,10,power,1.000023,0.990199,0.970779,0.009801
baseline,10,public_health,0.987859,0.990199,0.970779,0.009801
baseline,10,retail_access,0.984874,0.990199,0.970779,0.009801
baseline,10,suppliers,0.984616,0.990199,0.970779,0.009801
baseline,10,transport,0.974929,0.990199,0.970779,0.009801
baseline,10,water,1.005835,0.990199,0.970779,0.009801
baseline,10,workforce,0.984145,0.990199,0.970779,0.009801
