scenario,time,resource_stock,demand,scarcity,conservation,regeneration,extraction,unmet_demand,critical_threshold,below_critical_threshold,overshoot
baseline,0,80.0,4.0,0.0,0.0,1.28,4.0,0.0,20.0,False,True
baseline,1,77.28,4.06,0.0,0.0,1.404641,4.06,0.0,20.0,False,True
baseline,2,74.624641,4.1209,0.0,0.0,1.514902,4.1209,0.0,20.0,False,True
baseline,3,72.018643,4.182713,0.0,0.0,1.612143,4.182713,0.0,20.0,False,True
baseline,4,69.448073,4.245454,0.007885,0.003548,1.697418,4.230391,0.015063,20.0,False,True
baseline,5,66.9151,4.309136,0.04407,0.019832,1.771104,4.223679,0.085457,20.0,False,True
baseline,6,64.462524,4.373773,0.079107,0.035598,1.832668,4.218075,0.155698,20.0,False,True
baseline,7,62.077117,4.43938,0.113184,0.050933,1.883315,4.21327,0.22611,20.0,False,True
baseline,8,59.747162,4.50597,0.146469,0.065911,1.923994,4.208977,0.296993,20.0,False,True
baseline,9,57.46218,4.57356,0.179112,0.0806,1.955453,4.20493,0.36863,20.0,False,True
baseline,10,55.212703,4.642163,0.211247,0.095061,1.978262,4.200874,0.44129,20.0,False,True
baseline,11,52.990091,4.711796,0.242999,0.109349,1.992847,4.196564,0.515232,20.0,False,True
baseline,12,50.786375,4.782473,0.27448,0.123516,1.999505,4.19176,0.590713,20.0,False,True
baseline,13,48.59412,4.85421,0.305798,0.137609,1.998419,4.186226,0.667984,20.0,False,True
baseline,14,46.406313,4.927023,0.337053,0.151674,1.989668,4.179723,0.7473,20.0,False,True
baseline,15,44.216259,5.000928,0.368339,0.165753,1.973239,4.172011,0.828917,20.0,False,True
baseline,16,42.017486,5.075942,0.39975,0.179888,1.949024,4.162843,0.913099,20.0,False,True
baseline,17,39.803666,5.152081,0.431376,0.194119,1.916828,4.151963,1.000118,20.0,False,True
baseline,18,37.568531,5.229363,0.463307,0.208488,1.876367,4.139103,1.090259,20.0,False,True
baseline,19,35.305795,5.307803,0.495632,0.223034,1.827264,4.123982,1.183821,20.0,False,True
baseline,20,33.009078,5.38742,0.528442,0.237799,1.769047,3.961089,1.426331,20.0,False,True
baseline,21,30.817035,5.468231,0.559757,0.25189,1.705611,3.698044,1.770187,20.0,False,True
baseline,22,28.824602,5.550255,0.58822,0.264699,1.641282,3.458952,2.091303,20.0,False,True
baseline,23,27.006932,5.633509,0.614187,0.276384,1.577055,3.240832,2.392677,20.0,False,True
baseline,24,25.343155,5.718011,0.637955,0.28708,1.513632,3.041179,2.676833,20.0,False,True
baseline,25,23.815608,5.803781,0.659777,0.2969,1.451502,2.857873,2.945908,20.0,False,True
baseline,26,22.409238,5.890838,0.679868,0.305941,1.391,2.689109,3.20173,20.0,False,True
baseline,27,21.111129,5.979201,0.698412,0.314286,1.332347,2.533335,3.445865,20.0,False,True
baseline,28,19.91014,6.068889,0.715569,0.322006,1.27568,2.389217,3.679672,20.0,True,True
baseline,29,18.796603,6.159922,0.731477,0.329165,1.221078,2.255592,3.90433,20.0,True,True
baseline,30,17.762089,6.252321,0.746256,0.335815,1.168574,2.131451,4.12087,20.0,True,True
baseline,31,16.799212,6.346106,0.760011,0.342005,1.118166,2.015905,4.3302,20.0,True,True
baseline,32,15.901473,6.441297,0.772836,0.347776,1.069832,1.908177,4.533121,20.0,True,True
baseline,33,15.063129,6.537917,0.784812,0.35,1.023532,1.807575,4.730341,20.0,True,True
baseline,34,14.279085,6.635985,0.796013,0.35,0.979213,1.71349,4.922495,20.0,True,True
baseline,35,13.544808,6.735525,0.806503,0.35,0.936815,1.625377,5.110148,20.0,True,True
baseline,36,12.856246,6.836558,0.816339,0.35,0.896273,1.54275,5.293809,20.0,True,True
baseline,37,12.20977,6.939107,0.825575,0.35,0.857519,1.465172,5.473934,20.0,True,True
