time,capacity,workload,pressure,slack,learning,coordination_burden,burnout,attrition,trust,delivery,backlog
0,  100.000000,   95.000000,    0.950000,    0.050000,    0.108500,    0.000000,    0.098000,    0.343000,    0.620010,   95.000000,    0.000000
1,  100.415500,   95.450000,    0.950550,    0.049450,    0.107753,    0.000000,    0.096022,    0.337473,    0.620024,   95.450000,    0.000000
2,  100.835780,   95.900000,    0.951051,    0.048949,    0.107111,    0.000000,    0.094064,    0.331976,    0.620044,   95.900000,    0.000000
3,  101.260914,   96.350000,    0.951502,    0.048498,    0.106574,    0.000000,    0.092124,    0.326500,    0.620068,   96.350000,    0.000000
4,  101.690989,   96.800000,    0.951903,    0.048097,    0.106146,    0.000000,    0.090200,    0.321040,    0.620098,   96.800000,    0.000000
5,  102.126095,   97.250000,    0.952254,    0.047746,    0.105828,    0.000000,    0.088290,    0.315587,    0.620134,   97.250000,    0.000000
6,  102.566336,   97.700000,    0.952554,    0.047446,    0.105622,    0.000000,    0.086393,    0.310134,    0.620176,   97.700000,    0.000000
7,  103.011825,   98.150000,    0.952803,    0.047197,    0.105532,    0.000000,    0.084505,    0.304675,    0.620226,   98.150000,    0.000000
8,  103.462681,   98.600000,    0.953001,    0.046999,    0.105559,    0.000000,    0.082625,    0.299200,    0.620283,   98.600000,    0.000000
9,  103.919040,   99.050000,    0.953146,    0.046854,    0.105706,    0.000000,    0.080751,    0.293703,    0.620347,   99.050000,    0.000000
10,  104.381043,   99.500000,    0.953238,    0.046762,    0.105978,    0.000000,    0.078880,    0.288176,    0.620421,   99.500000,    0.000000
11,  104.848845,   99.950000,    0.953277,    0.046723,    0.106377,    0.000000,    0.077011,    0.282609,    0.620503,   99.950000,    0.000000
12,  105.322613,  100.400000,    0.953262,    0.046738,    0.106907,    0.000000,    0.075142,    0.276994,    0.620595,  100.400000,    0.000000
13,  105.802526,  100.850000,    0.953191,    0.046809,    0.107573,    0.000000,    0.073269,    0.271323,    0.620696,  100.850000,    0.000000
14,  106.288776,  101.300000,    0.953064,    0.046936,    0.108378,    0.000000,    0.071392,    0.265585,    0.620809,  101.300000,    0.000000
15,  106.781569,  101.750000,    0.952880,    0.047120,    0.109327,    0.000000,    0.069507,    0.259773,    0.620932,  101.750000,    0.000000
16,  107.281123,  102.200000,    0.952637,    0.047363,    0.110426,    0.000000,    0.067613,    0.253874,    0.621068,  102.200000,    0.000000
17,  107.787675,  102.650000,    0.952335,    0.047665,    0.111680,    0.000000,    0.065706,    0.247880,    0.621216,  102.650000,    0.000000
18,  108.301475,  103.100000,    0.951972,    0.048028,    0.113093,    0.000000,    0.063785,    0.241780,    0.621377,  103.100000,    0.000000
19,  108.822788,  103.550000,    0.951547,    0.048453,    0.114674,    0.000000,    0.061847,    0.235562,    0.621553,  103.550000,    0.000000
20,  109.351900,  104.000000,    0.951058,    0.048942,    0.116427,    0.000000,    0.059889,    0.229214,    0.621743,  104.000000,    0.000000
21,  109.889113,  104.450000,    0.950504,    0.049496,    0.118360,    0.000000,    0.057909,    0.222726,    0.621948,  104.450000,    0.000000
22,  110.434747,  104.900000,    0.949882,    0.050118,    0.120481,    0.000000,    0.055905,    0.216083,    0.622170,  104.900000,    0.000000
23,  110.989146,  105.350000,    0.949192,    0.050808,    0.122798,    0.000000,    0.053872,    0.209273,    0.622408,  105.350000,    0.000000
24,  111.552670,  105.800000,    0.948431,    0.051569,    0.125318,    0.000000,    0.051809,    0.202282,    0.622665,  105.800000,    0.000000
25,  112.125706,  106.250000,    0.947597,    0.052403,    0.128051,    0.000000,    0.049713,    0.195095,    0.622941,  106.250000,    0.000000
26,  112.708662,  106.700000,    0.946689,    0.053311,    0.131006,    0.000000,    0.047581,    0.187697,    0.623236,  106.700000,    0.000000
27,  113.301972,  107.150000,    0.945703,    0.054297,    0.134195,    0.000000,    0.045409,    0.180072,    0.623552,  107.150000,    0.000000
28,  113.906094,  107.600000,    0.944638,    0.055362,    0.137626,    0.000000,    0.043194,    0.172204,    0.623889,  107.600000,    0.000000
29,  114.521516,  108.050000,    0.943491,    0.056509,    0.141313,    0.000000,    0.040934,    0.164074,    0.624250,  108.050000,    0.000000
30,  115.148755,  108.500000,    0.942259,    0.057741,    0.145267,    0.000000,    0.038624,    0.155665,    0.624634,  108.500000,    0.000000
31,  115.788357,  108.950000,    0.940941,    0.059059,    0.149501,    0.000000,    0.036262,    0.146956,    0.625043,  108.950000,    0.000000
32,  116.440903,  109.400000,    0.939532,    0.060468,    0.154030,    0.000000,    0.033843,    0.137927,    0.625479,  109.400000,    0.000000
33,  117.107007,  109.850000,    0.938031,    0.061969,    0.158869,    0.000000,    0.031365,    0.128556,    0.625942,  109.850000,    0.000000
34,  117.787319,  110.300000,    0.936434,    0.063566,    0.164032,    0.000000,    0.028822,    0.118820,    0.626433,  110.300000,    0.000000
35,  118.482531,  110.750000,    0.934737,    0.065263,    0.169537,    0.000000,    0.026211,    0.108696,    0.626955,  110.750000,    0.000000
36,  119.193372,  111.200000,    0.932938,    0.067062,    0.175402,    0.000000,    0.023529,    0.098157,    0.627508,  111.200000,    0.000000
37,  119.920616,  111.650000,    0.931033,    0.068967,    0.181646,    0.000000,    0.020770,    0.087178,    0.628094,  111.650000,    0.000000
38,  120.665084,  112.100000,    0.929018,    0.070982,    0.188289,    0.000000,    0.017931,    0.075728,    0.628714,  112.100000,    0.000000
39,  121.427645,  112.550000,    0.926889,    0.073111,    0.195352,    0.000000,    0.015007,    0.063777,    0.629370,  112.550000,    0.000000
40,  122.209220,  113.000000,    0.924644,    0.075356,    0.202860,    0.000000,    0.011992,    0.051295,    0.630063,  113.000000,    0.000000
41,  123.010785,  113.450000,    0.922277,    0.077723,    0.210837,    0.000000,    0.008883,    0.038246,    0.630796,  113.450000,    0.000000
42,  123.833376,  113.900000,    0.919784,    0.080216,    0.219308,    0.000000,    0.005675,    0.024595,    0.631570,  113.900000,    0.000000
43,  124.678088,  114.350000,    0.917162,    0.082838,    0.228302,    0.000000,    0.002361,    0.010304,    0.632387,  114.350000,    0.000000
44,  125.546086,  114.800000,    0.914405,    0.085595,    0.237849,    0.000000,    0.000000,    0.000000,    0.633243,  114.800000,    0.000000
45,  126.433935,  115.250000,    0.911543,    0.088457,    0.247875,    0.000000,    0.000000,    0.000000,    0.634127,  115.250000,    0.000000
46,  127.331810,  115.700000,    0.908650,    0.091350,    0.258162,    0.000000,    0.000000,    0.000000,    0.635041,  115.700000,    0.000000
47,  128.239971,  116.150000,    0.905724,    0.094276,    0.268717,    0.000000,    0.000000,    0.000000,    0.635983,  116.150000,    0.000000
48,  129.158688,  116.600000,    0.902765,    0.097235,    0.279549,    0.000000,    0.000000,    0.000000,    0.636956,  116.600000,    0.000000
49,  130.088237,  117.050000,    0.899774,    0.100226,    0.290667,    0.000000,    0.000000,    0.000000,    0.637958,  117.050000,    0.000000
50,  131.028905,  117.500000,    0.896749,    0.103251,    0.302081,    0.000000,    0.000000,    0.000000,    0.638990,  117.500000,    0.000000
51,  131.980985,  117.950000,    0.893689,    0.106311,    0.313798,    0.000000,    0.000000,    0.000000,    0.640054,  117.950000,    0.000000
52,  132.944783,  118.400000,    0.890595,    0.109405,    0.325830,    0.000000,    0.000000,    0.000000,    0.641148,  118.400000,    0.000000
53,  133.920614,  118.850000,    0.887466,    0.112534,    0.338187,    0.000000,    0.000000,    0.000000,    0.642273,  118.850000,    0.000000
54,  134.908801,  119.300000,    0.884301,    0.115699,    0.350879,    0.000000,    0.000000,    0.000000,    0.643430,  119.300000,    0.000000
55,  135.909680,  119.750000,    0.881100,    0.118900,    0.363917,    0.000000,    0.000000,    0.000000,    0.644619,  119.750000,    0.000000
56,  136.923597,  120.200000,    0.877862,    0.122138,    0.377312,    0.000000,    0.000000,    0.000000,    0.645840,  120.200000,    0.000000
57,  137.950909,  120.650000,    0.874586,    0.125414,    0.391077,    0.000000,    0.000000,    0.000000,    0.647094,  120.650000,    0.000000
58,  138.991986,  121.100000,    0.871273,    0.128727,    0.405223,    0.000000,    0.000000,    0.000000,    0.648382,  121.100000,    0.000000
59,  140.047209,  121.550000,    0.867922,    0.132078,    0.419764,    0.000000,    0.000000,    0.000000,    0.649703,  121.550000,    0.000000
60,  141.116973,  122.000000,    0.864531,    0.135469,    0.434712,    0.000000,    0.000000,    0.000000,    0.651057,  122.000000,    0.000000
61,  142.201685,  122.450000,    0.861101,    0.138899,    0.450082,    0.000000,    0.000000,    0.000000,    0.652446,  122.450000,    0.000000
62,  143.301766,  122.900000,    0.857631,    0.142369,    0.465887,    0.000000,    0.000000,    0.000000,    0.653870,  122.900000,    0.000000
63,  144.417653,  123.350000,    0.854120,    0.145880,    0.482143,    0.000000,    0.000000,    0.000000,    0.655329,  123.350000,    0.000000
64,  145.549796,  123.800000,    0.850568,    0.149432,    0.498864,    0.000000,    0.000000,    0.000000,    0.656823,  123.800000,    0.000000
65,  146.698660,  124.250000,    0.846974,    0.153026,    0.516068,    0.000000,    0.000000,    0.000000,    0.658353,  124.250000,    0.000000
66,  147.864728,  124.700000,    0.843338,    0.156662,    0.533770,    0.000000,    0.000000,    0.000000,    0.659920,  124.700000,    0.000000
67,  149.048498,  125.150000,    0.839660,    0.160340,    0.551988,    0.000000,    0.000000,    0.000000,    0.661523,  125.150000,    0.000000
68,  150.250487,  125.600000,    0.835937,    0.164063,    0.570741,    0.000000,    0.000000,    0.000000,    0.663164,  125.600000,    0.000000
69,  151.471227,  126.050000,    0.832171,    0.167829,    0.590045,    0.000000,    0.000000,    0.000000,    0.664842,  126.050000,    0.000000
70,  152.711273,  126.500000,    0.828361,    0.171639,    0.609923,    0.000000,    0.000000,    0.000000,    0.666559,  126.500000,    0.000000
71,  153.971195,  126.950000,    0.824505,    0.175495,    0.630392,    0.000000,    0.000000,    0.000000,    0.668314,  126.950000,    0.000000
72,  155.251588,  127.400000,    0.820604,    0.179396,    0.651476,    0.000000,    0.000000,    0.000000,    0.670108,  127.400000,    0.000000
73,  156.553063,  127.850000,    0.816656,    0.183344,    0.673195,    0.000000,    0.000000,    0.000000,    0.671941,  127.850000,    0.000000
74,  157.876258,  128.300000,    0.812662,    0.187338,    0.695572,    0.000000,    0.000000,    0.000000,    0.673814,  128.300000,    0.000000
75,  159.221831,  128.750000,    0.808620,    0.191380,    0.718633,    0.000000,    0.000000,    0.000000,    0.675728,  128.750000,    0.000000
76,  160.590463,  129.200000,    0.804531,    0.195469,    0.742400,    0.000000,    0.000000,    0.000000,    0.677683,  129.200000,    0.000000
77,  161.982863,  129.650000,    0.800393,    0.199607,    0.766900,    0.000000,    0.000000,    0.000000,    0.679679,  129.650000,    0.000000
78,  163.399763,  130.100000,    0.796207,    0.203793,    0.792160,    0.000000,    0.000000,    0.000000,    0.681717,  130.100000,    0.000000
79,  164.841923,  130.550000,    0.791971,    0.208029,    0.818208,    0.000000,    0.000000,    0.000000,    0.683797,  130.550000,    0.000000
80,  166.310131,  131.000000,    0.787685,    0.212315,    0.845074,    0.000000,    0.000000,    0.000000,    0.685920,  131.000000,    0.000000
81,  167.805205,  131.450000,    0.783349,    0.216651,    0.872787,    0.000000,    0.000000,    0.000000,    0.688087,  131.450000,    0.000000
82,  169.327992,  131.900000,    0.778962,    0.221038,    0.901380,    0.000000,    0.000000,    0.000000,    0.690297,  131.900000,    0.000000
83,  170.879372,  132.350000,    0.774523,    0.225477,    0.930885,    0.000000,    0.000000,    0.000000,    0.692552,  132.350000,    0.000000
84,  172.460257,  132.800000,    0.770032,    0.229968,    0.961338,    0.000000,    0.000000,    0.000000,    0.694852,  132.800000,    0.000000
85,  174.071595,  133.250000,    0.765490,    0.234510,    0.992773,    0.000000,    0.000000,    0.000000,    0.697197,  133.250000,    0.000000
86,  175.714368,  133.700000,    0.760894,    0.239106,    1.025230,    0.000000,    0.000000,    0.000000,    0.699588,  133.700000,    0.000000
