scenario,time,capacity,workload,pressure,slack,learning,coordination_burden,burnout,attrition,trust,backlog
baseline_organization,0,100.000000,95.000000,0.950000,0.050000,0.108500,0.000000,0.098000,0.343000,0.620010,0.000000
baseline_organization,1,100.415500,95.450000,0.950550,0.049450,0.107753,0.000000,0.096022,0.337473,0.620024,0.000000
baseline_organization,2,100.835780,95.900000,0.951051,0.048949,0.107111,0.000000,0.094064,0.331976,0.620044,0.000000
baseline_organization,3,101.260914,96.350000,0.951502,0.048498,0.106574,0.000000,0.092124,0.326500,0.620068,0.000000
baseline_organization,4,101.690989,96.800000,0.951903,0.048097,0.106146,0.000000,0.090200,0.321040,0.620098,0.000000
baseline_organization,5,102.126095,97.250000,0.952254,0.047746,0.105828,0.000000,0.088290,0.315587,0.620134,0.000000
baseline_organization,6,102.566336,97.700000,0.952554,0.047446,0.105622,0.000000,0.086393,0.310134,0.620176,0.000000
baseline_organization,7,103.011825,98.150000,0.952803,0.047197,0.105532,0.000000,0.084505,0.304675,0.620226,0.000000
baseline_organization,8,103.462681,98.600000,0.953001,0.046999,0.105559,0.000000,0.082625,0.299200,0.620283,0.000000
baseline_organization,9,103.919040,99.050000,0.953146,0.046854,0.105706,0.000000,0.080751,0.293703,0.620347,0.000000
baseline_organization,10,104.381043,99.500000,0.953238,0.046762,0.105978,0.000000,0.078880,0.288176,0.620421,0.000000
baseline_organization,11,104.848845,99.950000,0.953277,0.046723,0.106377,0.000000,0.077011,0.282609,0.620503,0.000000
baseline_organization,12,105.322613,100.400000,0.953262,0.046738,0.106907,0.000000,0.075142,0.276994,0.620595,0.000000
baseline_organization,13,105.802526,100.850000,0.953191,0.046809,0.107573,0.000000,0.073269,0.271323,0.620696,0.000000
baseline_organization,14,106.288776,101.300000,0.953064,0.046936,0.108378,0.000000,0.071392,0.265585,0.620809,0.000000
baseline_organization,15,106.781569,101.750000,0.952880,0.047120,0.109327,0.000000,0.069507,0.259773,0.620932,0.000000
baseline_organization,16,107.281123,102.200000,0.952637,0.047363,0.110426,0.000000,0.067613,0.253874,0.621068,0.000000
baseline_organization,17,107.787675,102.650000,0.952335,0.047665,0.111680,0.000000,0.065706,0.247880,0.621216,0.000000
baseline_organization,18,108.301475,103.100000,0.951972,0.048028,0.113093,0.000000,0.063785,0.241780,0.621377,0.000000
baseline_organization,19,108.822788,103.550000,0.951547,0.048453,0.114674,0.000000,0.061847,0.235562,0.621553,0.000000
baseline_organization,20,109.351900,104.000000,0.951058,0.048942,0.116427,0.000000,0.059889,0.229214,0.621743,0.000000
baseline_organization,21,109.889113,104.450000,0.950504,0.049496,0.118360,0.000000,0.057909,0.222726,0.621948,0.000000
baseline_organization,22,110.434747,104.900000,0.949882,0.050118,0.120481,0.000000,0.055905,0.216083,0.622170,0.000000
baseline_organization,23,110.989146,105.350000,0.949192,0.050808,0.122798,0.000000,0.053872,0.209273,0.622408,0.000000
baseline_organization,24,111.552670,105.800000,0.948431,0.051569,0.125318,0.000000,0.051809,0.202282,0.622665,0.000000
baseline_organization,25,112.125706,106.250000,0.947597,0.052403,0.128051,0.000000,0.049713,0.195095,0.622941,0.000000
baseline_organization,26,112.708662,106.700000,0.946689,0.053311,0.131006,0.000000,0.047581,0.187697,0.623236,0.000000
baseline_organization,27,113.301972,107.150000,0.945703,0.054297,0.134195,0.000000,0.045409,0.180072,0.623552,0.000000
baseline_organization,28,113.906094,107.600000,0.944638,0.055362,0.137626,0.000000,0.043194,0.172204,0.623889,0.000000
baseline_organization,29,114.521516,108.050000,0.943491,0.056509,0.141313,0.000000,0.040934,0.164074,0.624250,0.000000
baseline_organization,30,115.148755,108.500000,0.942259,0.057741,0.145267,0.000000,0.038624,0.155665,0.624634,0.000000
baseline_organization,31,115.788357,108.950000,0.940941,0.059059,0.149501,0.000000,0.036262,0.146956,0.625043,0.000000
baseline_organization,32,116.440903,109.400000,0.939532,0.060468,0.154030,0.000000,0.033843,0.137927,0.625479,0.000000
baseline_organization,33,117.107007,109.850000,0.938031,0.061969,0.158869,0.000000,0.031365,0.128556,0.625942,0.000000
baseline_organization,34,117.787319,110.300000,0.936434,0.063566,0.164032,0.000000,0.028822,0.118820,0.626433,0.000000
baseline_organization,35,118.482531,110.750000,0.934737,0.065263,0.169537,0.000000,0.026211,0.108696,0.626955,0.000000
