time,output,consumption,investment,capital,debt,debt_service,fragility,government,demand_gap
1,  100.000000,   78.500000,   13.900000,  190.000000,   60.000000,    2.100000,    0.315789,   22.000000,  -14.400000
2,  164.932483,   78.500000,   13.900000,  195.350000,   59.890000,    2.096150,    0.306578,   22.000000,   50.532483
3,  209.995656,  118.760889,   24.293047,  210.852297,   60.822055,    2.128772,    0.288458,   22.000000,   44.941719
4,  245.577873,  146.676755,   31.470533,  232.834477,   62.448557,    2.185699,    0.268210,   22.000000,   45.430584
5,  276.660366,  168.697067,   37.106760,  259.463686,   64.598019,    2.260931,    0.248967,   22.000000,   48.856539
6,  305.448141,  187.914477,   42.004728,  289.792548,   67.183541,    2.351424,    0.231833,   22.000000,   53.528936
7,  334.047033,  205.698259,   46.520279,  323.272162,   70.155980,    2.455459,    0.217018,   22.000000,   59.828495
8,  364.191004,  223.355261,   50.992066,  359.716980,   73.501288,    2.572545,    0.204331,   22.000000,   67.843677
9,  396.024885,  241.960890,   55.698016,  399.227732,   77.233557,    2.703174,    0.193457,   22.000000,   76.365979
10,  429.280025,  261.604590,   60.660807,  441.923291,   81.368799,    2.847908,    0.184124,   22.000000,   85.014628
11,  464.813892,  282.119395,   65.836896,  487.873639,   85.918268,    3.007139,    0.176108,   22.000000,   94.857601
12,  503.527794,  304.036657,   71.363083,  537.282409,   90.906620,    3.181732,    0.169197,   22.000000,  106.128054
13,  545.061468,  327.914567,   77.382715,  590.487416,   96.372226,    3.373028,    0.163208,   22.000000,  117.764186
14,  589.072102,  353.528805,   83.836807,  647.752289,  102.346601,    3.582131,    0.158003,   22.000000,  129.706491
15,  636.460322,  380.666038,   90.669405,  709.272841,  108.854877,    3.809921,    0.153474,   22.000000,  143.124878
16,  687.999251,  409.884028,   98.023731,  775.379294,  115.935878,    4.057756,    0.149522,   22.000000,  158.091492
17,  743.252307,  441.661138,  106.022124,  846.509350,  123.639693,    4.327389,    0.146058,   22.000000,  173.569044
18,  802.055531,  475.725438,  114.592980,  923.009409,  132.007999,    4.620280,    0.143019,   22.000000,  189.737113
19,  865.466240,  511.974229,  123.708605, 1005.182591,  141.078659,    4.937753,    0.140351,   22.000000,  207.783406
20,  934.196178,  551.062102,  133.536845, 1093.486220,  150.905377,    5.281688,    0.138004,   22.000000,  227.597231
