scenario,time,output,consumption,investment,capital,debt,debt_service,fragility,government,demand_gap
baseline_feedback,1,100.0,78.5,13.9,190.0,60.0,2.1,0.315789,22.0,-14.4
baseline_feedback,2,164.915068,78.5,13.9,195.35,59.89,2.09615,0.306578,22.0,50.515068
baseline_feedback,3,210.269915,118.750092,24.290261,210.849511,60.821776,2.128762,0.288461,22.0,45.229561
baseline_feedback,4,245.656826,146.846803,31.514424,232.875707,62.452674,2.185844,0.26818,22.0,45.295599
baseline_feedback,5,276.63174,168.745915,37.119248,259.515549,64.603282,2.261115,0.248938,22.0,48.766577
baseline_feedback,6,305.498254,187.896597,41.999964,289.837313,67.188196,2.351587,0.231813,22.0,53.601694
baseline_feedback,7,333.901652,205.729213,46.528134,323.322767,70.161305,2.455646,0.217001,22.0,59.644306
baseline_feedback,8,364.096118,223.264992,50.968619,359.741862,73.504134,2.572645,0.204325,22.0,67.862507
baseline_feedback,9,395.556371,241.90199,55.682734,399.236212,77.234804,2.703218,0.193456,22.0,75.971648
baseline_feedback,10,429.050751,261.31408,60.585801,441.856384,81.362514,2.847688,0.184138,22.0,85.15087
baseline_feedback,11,464.983145,281.977403,65.800432,487.773279,85.908495,3.006797,0.176124,22.0,95.205309
baseline_feedback,12,503.503757,304.141837,71.390506,537.213987,90.899833,3.181494,0.169206,22.0,105.971414
baseline_feedback,13,545.145172,327.899834,77.379107,590.418464,96.365248,3.372784,0.163215,22.0,117.866232
baseline_feedback,14,589.551724,353.580876,83.850444,647.700077,102.341161,3.581941,0.158007,22.0,130.120404
baseline_feedback,15,637.071187,380.96354,90.746335,709.299909,108.857265,3.810004,0.153471,22.0,143.361312
baseline_feedback,16,687.920216,410.262705,98.121386,775.502799,115.947972,4.058179,0.149513,22.0,157.536125
baseline_feedback,17,742.639398,441.611834,106.009055,846.614229,123.650179,4.327756,0.146053,22.0,173.018508
baseline_feedback,18,802.025067,475.345172,114.494547,923.011136,132.008379,4.620293,0.143019,22.0,190.185347
baseline_feedback,19,866.123396,511.955332,123.703717,1005.179352,141.078541,4.937749,0.140352,22.0,208.464347
baseline_feedback,20,934.368253,551.469542,133.641994,1093.588276,150.915777,5.282052,0.138001,22.0,227.256716
baseline_feedback,21,1007.734121,593.535423,144.216868,1188.593672,161.564569,5.65476,0.135929,22.0,247.98183
baseline_feedback,22,1086.869749,638.756041,155.582699,1290.689656,173.083725,6.05793,0.134102,22.0,270.531009
baseline_feedback,23,1171.171861,687.532151,167.841229,1400.449851,185.540755,6.493926,0.132487,22.0,293.79848
baseline_feedback,24,1262.425387,739.488035,180.893571,1518.323179,198.991593,6.964706,0.13106,22.0,320.043781
baseline_feedback,25,1360.757834,795.72895,195.023356,1645.021992,213.519139,7.47317,0.129797,22.0,348.005528
baseline_feedback,26,1466.448119,856.331879,210.248084,1781.244086,229.205969,8.022209,0.128677,22.0,377.868156
baseline_feedback,27,1579.523669,921.467684,226.60949,1927.697592,246.136769,8.614787,0.127684,22.0,409.446495
baseline_feedback,28,1701.352932,991.151256,244.109,2085.060201,264.394249,9.253799,0.126804,22.0,444.092676
baseline_feedback,29,1832.20024,1066.228962,262.96267,2254.195162,284.08066,9.942823,0.126023,22.0,481.008608
baseline_feedback,30,1973.004593,1146.862132,283.209215,2435.965595,305.299565,10.685485,0.12533,22.0,520.933245
baseline_feedback,31,2123.58372,1233.630358,304.99525,2631.342393,328.166601,11.485831,0.124715,22.0,562.958112
baseline_feedback,32,2286.219081,1326.417742,328.287564,2841.21955,352.791193,12.347692,0.124169,22.0,609.513775
baseline_feedback,33,2460.153938,1426.63605,353.447361,3066.812031,379.316149,13.276065,0.123684,22.0,658.070527
baseline_feedback,34,2646.916395,1533.812538,380.348565,3309.154055,407.868102,14.275384,0.123254,22.0,710.755292
baseline_feedback,35,2848.60526,1648.891463,409.23124,3569.473362,438.594523,15.350808,0.122874,22.0,768.482558
baseline_feedback,36,3065.109986,1773.170398,440.426033,3849.273094,471.672263,16.508529,0.122535,22.0,829.513554
baseline_feedback,37,3298.371397,1906.576385,473.909069,4149.964873,507.271364,17.754498,0.122235,22.0,895.885944
baseline_feedback,38,3548.69743,2050.308482,509.984926,4473.20138,545.588072,19.095583,0.121968,22.0,966.404023
baseline_feedback,39,3816.925126,2204.552705,548.696006,4820.603324,586.817971,20.538629,0.121731,22.0,1041.676414
baseline_feedback,40,4106.088742,2369.823129,590.169391,5193.845566,631.164461,22.090756,0.121522,22.0,1124.096222
baseline_feedback,41,4415.997104,2547.995908,634.883443,5595.005958,678.873693,23.760579,0.121336,22.0,1211.117752
baseline_feedback,42,4749.50596,2738.946362,682.798957,6026.029647,730.181747,25.556361,0.121171,22.0,1305.760641
baseline_feedback,43,5107.779845,2944.439152,734.364592,6489.222905,785.363662,27.487728,0.121026,22.0,1406.976101
baseline_feedback,44,5492.927884,3165.189413,789.757047,6986.964922,844.705276,29.564685,0.120897,22.0,1515.981424
baseline_feedback,45,5906.99642,3402.497656,849.303777,7521.855277,908.518021,31.798131,0.120784,22.0,1633.194987
baseline_feedback,46,6351.756993,3657.62483,913.321296,8096.693086,977.1372,34.199802,0.120683,22.0,1758.810867
baseline_feedback,47,6829.543026,3931.660906,982.081317,8714.423214,1050.916902,36.782092,0.120595,22.0,1893.800803
baseline_feedback,48,7343.083493,4226.043754,1055.944793,9378.218962,1130.238459,39.558346,0.120517,22.0,2039.094947
baseline_feedback,49,7894.829536,4542.455804,1135.335013,10091.534121,1215.515999,42.54306,0.120449,22.0,2195.038719
baseline_feedback,50,8487.341736,4882.406413,1220.629666,10858.044752,1307.191065,45.751687,0.120389,22.0,2362.305657
baseline_feedback,51,9124.16741,5247.472099,1312.22299,11681.655728,1405.733588,49.200676,0.120337,22.0,2542.47232
baseline_feedback,52,9808.669585,5639.840454,1410.66611,12566.647331,1511.656859,52.90799,0.120291,22.0,2736.16302
baseline_feedback,53,10544.575509,6061.583721,1516.479143,13517.627344,1625.513352,56.892967,0.120251,22.0,2944.512644
baseline_feedback,54,11334.970606,6514.998982,1630.239114,14539.573228,1747.899429,61.17648,0.120217,22.0,3167.732511
baseline_feedback,55,12185.246517,7001.98429,1752.418817,15637.711249,1879.443825,65.780534,0.120187,22.0,3408.843409
baseline_feedback,56,13097.478132,7525.866745,1883.858909,16817.873152,2020.843621,70.729527,0.12016,22.0,3665.752479
baseline_feedback,57,14077.889571,8087.915352,2024.866974,18085.935835,2172.809228,76.048323,0.120138,22.0,3943.107245
baseline_feedback,58,15132.23957,8691.971303,2176.414008,19448.48273,2336.130398,81.764564,0.120119,22.0,4241.854258
baseline_feedback,59,16265.272197,9341.585273,2339.393767,20912.694775,2511.666515,87.908328,0.120102,22.0,4562.293156
baseline_feedback,60,17482.286474,10039.677099,2514.535223,22486.158733,2700.328374,94.511493,0.120088,22.0,4906.074151
baseline_feedback,61,18790.190798,10789.509404,2702.654343,24176.935933,2903.085599,101.607996,0.120077,22.0,5276.027051
baseline_feedback,62,20195.79317,11595.341155,2904.822532,25993.796348,3120.990712,109.234675,0.120067,22.0,5673.629484
baseline_feedback,63,21705.569444,12461.366998,3122.092232,27946.167745,3355.175168,117.431131,0.120059,22.0,6100.110214
