run_id,growth_rate,balancing_strength,target,delay,capacity,threshold,threshold_correction,shock_size,minimum_stock,maximum_stock,final_stock,time_to_peak,maximum_inflow,maximum_outflow,threshold_active_periods
1,0.109910,0.036424,51.765435,13,85.813403,90.564394,0.022520,-12.780408,20.000000,79.267424,76.534925,38,2.357938,1.001731,0
2,0.081398,0.072384,59.626056,6,88.391370,98.764723,0.078698,-5.721858,20.000000,74.455260,73.530094,41,1.798486,1.073392,0
3,0.064969,0.077184,65.578816,10,96.754064,91.888341,0.087490,-13.570621,20.000000,82.008455,78.219989,51,1.571502,1.268105,0
4,0.118009,0.041826,58.536906,13,103.859194,85.970300,0.113169,-5.884225,20.000000,91.971259,88.525917,33,3.062481,1.398426,129
5,0.094575,0.076191,67.777258,16,75.287307,100.298705,0.041732,-5.802076,20.000000,73.893581,71.502398,53,1.780008,0.466009,0
6,0.121925,0.051245,58.104703,5,113.139486,78.374671,0.025649,-14.632054,20.000000,92.229448,92.061427,35,3.448497,1.748720,140
7,0.086626,0.062881,58.927315,11,88.156404,72.819972,0.050921,-16.580516,20.000000,77.234793,74.237758,40,1.908768,1.151194,110
8,0.125129,0.080585,54.400420,11,92.495070,96.862607,0.101212,-15.659571,20.000000,83.054453,76.152916,30,2.890739,2.309076,0
9,0.062178,0.087199,77.342682,5,108.234467,78.139067,0.046567,-15.050425,20.000000,86.621477,85.867634,116,1.682432,0.809101,113
10,0.113776,0.026702,50.862270,11,115.419051,84.055021,0.067251,-15.412987,20.000000,96.683921,94.986290,35,3.282972,1.223533,135
11,0.129536,0.050349,73.400807,13,83.936118,94.122656,0.029444,-12.415553,20.000000,82.477353,80.927206,41,2.717984,0.456999,0
12,0.113582,0.043507,63.841083,13,116.014422,89.176794,0.094718,-6.901891,20.000000,99.579498,95.234086,34,3.294188,1.554865,135
13,0.096998,0.026742,62.511360,13,95.522083,92.090801,0.096713,-13.991619,20.000000,89.199202,87.886444,47,2.316309,0.713691,0
14,0.092596,0.035485,73.387029,2,94.601468,82.805341,0.070811,-8.982892,20.000000,86.275616,86.275614,95,2.189100,0.457357,118
15,0.131647,0.073122,64.107107,5,126.830876,76.640596,0.088515,-9.367504,20.000000,93.495076,91.669102,25,4.174189,2.148917,144
16,0.081693,0.025296,53.035585,9,84.990136,103.774142,0.053818,-10.483714,20.000000,76.859483,76.839509,65,1.735300,0.602640,0
17,0.083236,0.069378,61.359133,7,104.148071,75.294720,0.047632,-14.045305,20.000000,82.207633,80.165643,38,2.166285,1.446428,121
18,0.119160,0.028983,62.684205,3,84.829097,74.333780,0.031860,-7.082571,20.000000,79.154550,79.154538,95,2.527055,0.477360,130
19,0.104011,0.050490,57.879285,13,106.419353,94.095527,0.106652,-12.133736,20.000000,94.559324,88.327651,38,2.766417,1.851969,5
20,0.088222,0.079841,59.922612,7,97.590654,101.394532,0.088429,-13.483876,20.000000,80.177519,77.555052,37,2.151698,1.617180,0
21,0.095205,0.032785,74.755447,2,111.052505,74.777188,0.086596,-6.625675,20.000000,88.909135,88.909130,95,2.642980,0.464026,137
22,0.101998,0.080379,70.240753,14,128.919911,102.766986,0.099805,-11.171520,20.000000,110.261954,97.878170,37,3.287356,3.216850,24
23,0.083846,0.079313,51.296834,7,75.908476,84.845387,0.075511,-11.972096,20.000000,64.513680,62.795393,37,1.590725,1.048269,0
24,0.060755,0.025919,58.095206,4,103.117311,76.923435,0.020638,-5.740244,20.000000,85.493563,85.493563,160,1.566091,0.710009,118
25,0.085271,0.029649,63.421460,13,94.664502,75.198009,0.094516,-7.740946,20.000000,82.028773,80.608573,43,2.017600,0.551684,126
26,0.087852,0.090349,77.041878,16,99.413643,81.934379,0.085870,-6.806662,20.000000,89.494268,85.515764,47,2.183401,1.125057,122
27,0.130282,0.080675,58.329290,3,75.926245,87.751180,0.055013,-13.590210,20.000000,68.791858,68.781516,117,2.472945,0.844070,0
28,0.096219,0.056097,71.583222,8,124.880271,81.306454,0.089276,-4.447233,20.000000,95.629569,93.202368,35,3.002454,1.348920,137
29,0.084692,0.091826,71.182410,11,122.222671,85.794459,0.084698,-11.638087,20.000000,96.520925,89.917597,39,2.586962,2.326724,119
30,0.079690,0.030834,69.677060,7,122.737881,77.681526,0.037516,-12.768980,20.000000,97.488610,97.467399,59,2.445146,0.857546,133
