scenario,time,stock,delayed_stock,inflow,outflow,threshold_penalty,shock,next_stock
baseline_system_dynamics,0,20.0,20.0,1.44,0.0,0.0,0.0,21.44
baseline_system_dynamics,1,21.44,20.0,1.515894,0.0,0.0,0.0,22.955894
baseline_system_dynamics,2,22.955894,20.0,1.591755,0.0,0.0,0.0,24.547648
baseline_system_dynamics,3,24.547648,20.0,1.66696,0.0,0.0,0.0,26.214608
baseline_system_dynamics,4,26.214608,20.0,1.74083,0.0,0.0,0.0,27.955438
baseline_system_dynamics,5,27.955438,20.0,1.812634,0.0,0.0,0.0,29.768072
baseline_system_dynamics,6,29.768072,20.0,1.881602,0.0,0.0,0.0,31.649674
baseline_system_dynamics,7,31.649674,20.0,1.946939,0.0,0.0,0.0,33.596613
baseline_system_dynamics,8,33.596613,21.44,2.007836,0.0,0.0,0.0,35.604449
baseline_system_dynamics,9,35.604449,22.955894,2.063491,0.0,0.0,0.0,37.66794
baseline_system_dynamics,10,37.66794,24.547648,2.113128,0.0,0.0,0.0,39.781068
baseline_system_dynamics,11,39.781068,26.214608,2.156016,0.0,0.0,0.0,41.937084
baseline_system_dynamics,12,41.937084,27.955438,2.19149,0.0,0.0,0.0,44.128575
baseline_system_dynamics,13,44.128575,29.768072,2.218974,0.0,0.0,0.0,46.347549
baseline_system_dynamics,14,46.347549,31.649674,2.237994,0.0,0.0,0.0,48.585542
baseline_system_dynamics,15,48.585542,33.596613,2.248199,0.0,0.0,0.0,50.833742
baseline_system_dynamics,16,50.833742,35.604449,2.249374,0.0,0.0,0.0,53.083116
baseline_system_dynamics,17,53.083116,37.66794,2.241445,0.0,0.0,0.0,55.324561
baseline_system_dynamics,18,55.324561,39.781068,2.224484,0.0,0.0,0.0,57.549045
baseline_system_dynamics,19,57.549045,41.937084,2.198711,0.0,0.0,0.0,59.747756
baseline_system_dynamics,20,59.747756,44.128575,2.164483,0.0,0.0,0.0,61.912239
baseline_system_dynamics,21,61.912239,46.347549,2.122289,0.0,0.0,0.0,64.034528
baseline_system_dynamics,22,64.034528,48.585542,2.072729,0.0,0.0,0.0,66.107257
baseline_system_dynamics,23,66.107257,50.833742,2.016501,0.0,0.0,0.0,68.123757
baseline_system_dynamics,24,68.123757,53.083116,1.954376,0.0,0.0,0.0,70.078134
baseline_system_dynamics,25,70.078134,55.324561,1.887182,0.0,0.0,0.0,71.965315
baseline_system_dynamics,26,71.965315,57.549045,1.815772,0.0,0.0,0.0,73.781088
baseline_system_dynamics,27,73.781088,59.747756,1.741014,0.0,0.0,0.0,75.522102
baseline_system_dynamics,28,75.522102,61.912239,1.66376,0.0,0.0,0.0,77.185862
baseline_system_dynamics,29,77.185862,64.034528,1.584836,0.111899,0.0,0.0,78.658799
baseline_system_dynamics,30,78.658799,66.107257,1.510806,0.225899,0.0,0.0,79.943706
baseline_system_dynamics,31,79.943706,68.123757,1.443037,0.336807,0.0,0.0,81.049936
baseline_system_dynamics,32,81.049936,70.078134,1.382311,0.444297,0.0,0.0,81.98795
baseline_system_dynamics,33,81.98795,71.965315,1.329094,0.548092,0.0,0.0,82.768952
baseline_system_dynamics,34,82.768952,73.781088,1.283576,0.64796,0.030758,0.0,83.37381
baseline_system_dynamics,35,83.37381,75.522102,1.24757,0.743716,0.054952,0.0,83.822712
baseline_system_dynamics,36,83.822712,77.185862,1.220422,0.835222,0.072908,0.0,84.135003
baseline_system_dynamics,37,84.135003,78.658799,1.201321,0.916234,0.0854,0.0,84.33469
baseline_system_dynamics,38,84.33469,79.943706,1.189016,0.986904,0.093388,0.0,84.443415
baseline_system_dynamics,39,84.443415,81.049936,1.182286,1.047746,0.097737,0.0,84.480218
baseline_system_dynamics,40,84.480218,81.98795,1.180003,1.099337,0.099209,0.0,84.461675
baseline_system_dynamics,41,84.461675,82.768952,1.181154,1.142292,0.098467,0.0,84.402069
baseline_system_dynamics,42,84.402069,83.37381,1.184848,1.17556,0.096083,0.0,84.315275
baseline_system_dynamics,43,84.315275,83.822712,1.190216,1.200249,0.092611,0.0,84.21263
baseline_system_dynamics,44,84.21263,84.135003,1.196546,1.217425,0.088505,0.0,84.103246
baseline_system_dynamics,45,84.103246,84.33469,1.203272,1.228408,0.08413,0.0,83.99398
baseline_system_dynamics,46,83.99398,84.443415,1.209968,1.234388,0.079759,0.0,83.889802
baseline_system_dynamics,47,83.889802,84.480218,1.216333,1.236412,0.075592,0.0,83.794131
baseline_system_dynamics,48,83.794131,84.461675,1.222161,1.235392,0.071765,0.0,83.709135
baseline_system_dynamics,49,83.709135,84.402069,1.227325,1.232114,0.068365,0.0,83.63598
baseline_system_dynamics,50,83.63598,84.315275,1.231759,1.22734,0.065439,0.0,83.57496
baseline_system_dynamics,51,83.57496,84.21263,1.23545,1.221695,0.062998,0.0,83.525716
baseline_system_dynamics,52,83.525716,84.103246,1.238424,1.215679,0.061029,0.0,83.487433
baseline_system_dynamics,53,83.487433,83.99398,1.240733,1.209669,0.059497,0.0,83.458999
baseline_system_dynamics,54,83.458999,83.889802,1.242446,1.203939,0.05836,0.0,83.439146
baseline_system_dynamics,55,83.439146,83.794131,1.243641,1.198677,0.057566,0.0,83.426544
baseline_system_dynamics,56,83.426544,83.709135,1.2444,1.194002,0.057062,0.0,83.41988
baseline_system_dynamics,57,83.41988,83.63598,1.2448,1.189979,0.056795,0.0,83.417906
baseline_system_dynamics,58,83.417906,83.57496,1.244919,1.186623,0.056716,0.0,83.419486
baseline_system_dynamics,59,83.419486,83.525716,1.244824,1.183914,0.056779,0.0,83.423616
baseline_system_dynamics,60,83.423616,83.487433,1.244576,1.181809,0.056945,0.0,83.429439
