scenario,time,arrivals,served,queue_length,queue_pressure,arrival_share,utilization,mean_effective_propensity,coupling_residual
baseline_hybrid_agent_queue,0,52,28,24,0.0,0.325,1.0,0.264856,24
baseline_hybrid_agent_queue,1,16,28,12,0.857143,0.1,1.0,0.114004,12
baseline_hybrid_agent_queue,2,22,28,6,0.428571,0.1375,1.0,0.187713,6
baseline_hybrid_agent_queue,3,30,28,8,0.214286,0.1875,1.0,0.226285,2
baseline_hybrid_agent_queue,4,36,28,16,0.285714,0.225,1.0,0.213428,8
baseline_hybrid_agent_queue,5,30,28,18,0.571429,0.1875,1.0,0.162018,2
baseline_hybrid_agent_queue,6,21,28,11,0.642857,0.13125,1.0,0.149452,7
baseline_hybrid_agent_queue,7,26,28,9,0.392857,0.1625,1.0,0.194142,2
baseline_hybrid_agent_queue,8,36,28,17,0.321429,0.225,1.0,0.206999,8
baseline_hybrid_agent_queue,9,23,28,12,0.607143,0.14375,1.0,0.155678,5
baseline_hybrid_agent_queue,10,17,28,1,0.428571,0.10625,1.0,0.187713,11
baseline_hybrid_agent_queue,11,47,28,20,0.035714,0.29375,1.0,0.258428,19
baseline_hybrid_agent_queue,12,25,28,17,0.714286,0.15625,1.0,0.137351,3
baseline_hybrid_agent_queue,13,24,28,13,0.607143,0.15,1.0,0.155678,4
baseline_hybrid_agent_queue,14,31,28,16,0.464286,0.19375,1.0,0.181285,3
baseline_hybrid_agent_queue,15,29,28,17,0.571429,0.18125,1.0,0.162018,1
baseline_hybrid_agent_queue,16,31,28,20,0.607143,0.19375,1.0,0.155678,3
baseline_hybrid_agent_queue,17,14,28,6,0.714286,0.0875,1.0,0.137351,14
baseline_hybrid_agent_queue,18,37,28,15,0.214286,0.23125,1.0,0.226285,9
baseline_hybrid_agent_queue,19,20,28,7,0.535714,0.125,1.0,0.168428,8
baseline_hybrid_agent_queue,20,36,28,15,0.25,0.225,1.0,0.219856,8
baseline_hybrid_agent_queue,21,32,28,19,0.535714,0.2,1.0,0.168428,4
baseline_hybrid_agent_queue,22,18,28,9,0.678571,0.1125,1.0,0.143323,10
baseline_hybrid_agent_queue,23,37,28,18,0.321429,0.23125,1.0,0.206999,9
baseline_hybrid_agent_queue,24,19,28,9,0.642857,0.11875,1.0,0.149452,9
baseline_hybrid_agent_queue,25,43,28,24,0.321429,0.26875,1.0,0.206999,15
baseline_hybrid_agent_queue,26,17,28,13,0.857143,0.10625,1.0,0.114004,11
baseline_hybrid_agent_queue,27,28,28,13,0.464286,0.175,1.0,0.181285,0
baseline_hybrid_agent_queue,28,24,28,9,0.464286,0.15,1.0,0.181285,4
baseline_hybrid_agent_queue,29,27,28,8,0.321429,0.16875,1.0,0.206999,1
baseline_hybrid_agent_queue,30,35,28,15,0.285714,0.21875,1.0,0.213428,7
baseline_hybrid_agent_queue,31,30,28,17,0.535714,0.1875,1.0,0.168428,2
baseline_hybrid_agent_queue,32,30,28,19,0.607143,0.1875,1.0,0.155678,2
baseline_hybrid_agent_queue,33,21,28,12,0.678571,0.13125,1.0,0.143323,7
baseline_hybrid_agent_queue,34,28,28,12,0.428571,0.175,1.0,0.187713,0
baseline_hybrid_agent_queue,35,33,28,17,0.428571,0.20625,1.0,0.187713,5
baseline_hybrid_agent_queue,36,27,28,16,0.607143,0.16875,1.0,0.155678,1
baseline_hybrid_agent_queue,37,22,28,10,0.571429,0.1375,1.0,0.162018,6
baseline_hybrid_agent_queue,38,39,28,21,0.357143,0.24375,1.0,0.20057,11
baseline_hybrid_agent_queue,39,26,28,19,0.75,0.1625,1.0,0.131467,2
baseline_hybrid_agent_queue,40,20,28,11,0.678571,0.125,1.0,0.143323,8
baseline_hybrid_agent_queue,41,36,28,19,0.392857,0.225,1.0,0.194142,8
baseline_hybrid_agent_queue,42,17,28,8,0.678571,0.10625,1.0,0.143323,11
baseline_hybrid_agent_queue,43,36,28,16,0.285714,0.225,1.0,0.213428,8
baseline_hybrid_agent_queue,44,26,28,14,0.571429,0.1625,1.0,0.162018,2
baseline_hybrid_agent_queue,45,29,28,15,0.5,0.18125,1.0,0.174856,1
