"scenario","time","demand","adoption_rate","new_adopters","mean_threshold","threshold_low","threshold_high","adoption_feedback","saturation_pressure"
"baseline_hybrid_feedback",1,0.3,0,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",2,0.342066666666667,0.146666666666667,22,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",3,0.402648282488889,0.22,11,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",4,0.478242705387906,0.28,9,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",5,0.583441343139273,0.4,18,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",6,0.732328431398085,0.58,27,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",7,0.942846087082668,0.84,39,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",8,1.18557311993806,1,24,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",9,1.41491696862742,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",10,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",11,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",12,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",13,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",14,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",15,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",16,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",17,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",18,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",19,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",20,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",21,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",22,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",23,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",24,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",25,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",26,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",27,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",28,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",29,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
"baseline_hybrid_feedback",30,1.5,1,0,0.52251697266195,0.2,0.8,0.25,0.04
