time,arrivals,served,queue_length,queue_pressure,utilization,mean_effective_propensity
0,41,28,13,0.000000,1.000000,0.259777
1,25,28,10,0.464286,1.000000,0.176206
2,32,28,14,0.357143,1.000000,0.195492
3,35,28,21,0.500000,1.000000,0.169777
4,16,28,9,0.750000,1.000000,0.126212
5,39,28,20,0.321429,1.000000,0.201920
6,17,28,9,0.714286,1.000000,0.132133
7,24,28,5,0.321429,1.000000,0.201920
8,38,28,15,0.178571,1.000000,0.227635
9,25,28,12,0.535714,1.000000,0.163349
10,28,28,12,0.428571,1.000000,0.182635
11,24,28,8,0.428571,1.000000,0.182635
12,27,28,7,0.285714,1.000000,0.208349
13,31,28,10,0.250000,1.000000,0.214777
14,40,28,22,0.357143,1.000000,0.195492
15,26,28,20,0.785714,1.000000,0.120395
16,23,28,15,0.714286,1.000000,0.132133
17,34,28,21,0.535714,1.000000,0.163349
18,16,28,9,0.750000,1.000000,0.126212
19,37,28,18,0.321429,1.000000,0.201920
20,24,28,14,0.642857,1.000000,0.144263
21,22,28,8,0.500000,1.000000,0.169777
22,31,28,11,0.285714,1.000000,0.208349
23,35,28,18,0.392857,1.000000,0.189063
24,22,28,12,0.642857,1.000000,0.144263
25,24,28,8,0.428571,1.000000,0.182635
26,30,28,10,0.285714,1.000000,0.208349
27,26,28,8,0.357143,1.000000,0.195492
28,37,28,17,0.285714,1.000000,0.208349
29,32,28,21,0.607143,1.000000,0.150550
30,21,28,14,0.750000,1.000000,0.126212
31,27,28,13,0.500000,1.000000,0.169777
32,22,28,7,0.464286,1.000000,0.176206
33,37,28,16,0.250000,1.000000,0.214777
34,27,28,15,0.571429,1.000000,0.156920
35,29,28,16,0.535714,1.000000,0.163349
36,23,28,11,0.571429,1.000000,0.156920
37,29,28,12,0.392857,1.000000,0.189063
38,26,28,10,0.428571,1.000000,0.182635
39,35,28,17,0.357143,1.000000,0.195492
40,29,28,18,0.607143,1.000000,0.150550
41,22,28,12,0.642857,1.000000,0.144263
42,25,28,9,0.428571,1.000000,0.182635
43,32,28,13,0.321429,1.000000,0.201920
44,25,28,10,0.464286,1.000000,0.176206
45,32,28,14,0.357143,1.000000,0.195492
46,33,28,19,0.500000,1.000000,0.169777
47,19,28,10,0.678571,1.000000,0.138151
48,32,28,14,0.357143,1.000000,0.195492
49,29,28,15,0.500000,1.000000,0.169777
50,28,28,15,0.535714,1.000000,0.163349
51,24,28,11,0.535714,1.000000,0.163349
52,36,28,19,0.392857,1.000000,0.189063
53,20,28,11,0.678571,1.000000,0.138151
54,26,28,9,0.392857,1.000000,0.189063
55,41,28,22,0.321429,1.000000,0.201920
56,16,28,10,0.785714,1.000000,0.120395
57,40,28,22,0.357143,1.000000,0.195492
58,18,28,12,0.785714,1.000000,0.120395
59,25,28,9,0.428571,1.000000,0.182635
60,30,28,11,0.321429,1.000000,0.201920
61,29,28,12,0.392857,1.000000,0.189063
62,28,28,12,0.428571,1.000000,0.182635
63,29,28,13,0.428571,1.000000,0.182635
64,21,28,6,0.464286,1.000000,0.176206
65,39,28,17,0.214286,1.000000,0.221206
66,21,28,10,0.607143,1.000000,0.150550
67,35,28,17,0.357143,1.000000,0.195492
68,26,28,15,0.607143,1.000000,0.150550
69,23,28,10,0.535714,1.000000,0.163349
70,34,28,16,0.357143,1.000000,0.195492
71,25,28,13,0.571429,1.000000,0.156920
72,26,28,11,0.464286,1.000000,0.176206
73,26,28,9,0.392857,1.000000,0.189063
74,35,28,16,0.321429,1.000000,0.201920
75,31,28,19,0.571429,1.000000,0.156920
76,22,28,13,0.678571,1.000000,0.138151
77,30,28,15,0.464286,1.000000,0.176206
78,30,28,17,0.535714,1.000000,0.163349
79,16,28,5,0.607143,1.000000,0.150550
