run_id,n_agents,n_steps,service_capacity,pressure_sensitivity,baseline_low,baseline_high,total_arrivals,average_queue_length,maximum_queue_length,average_utilization,final_queue_length
1,160,80,34,0.227527,0.100060,0.305689,2553,2.237500,12,0.937500,3
2,160,80,38,0.043350,0.110485,0.368351,3011,7.512500,31,0.988816,5
3,160,80,29,0.300425,0.173648,0.457504,2346,12.450000,27,1.000000,26
4,160,80,23,0.339678,0.151557,0.418440,1858,11.150000,31,1.000000,18
5,160,80,44,0.274163,0.112504,0.328535,2820,0.112500,6,0.801136,0
6,160,80,38,0.039053,0.152427,0.344211,3030,15.350000,34,0.992105,14
7,160,80,36,0.044733,0.133328,0.334178,2867,9.962500,25,0.989583,17
8,160,80,39,0.117646,0.189177,0.506096,3154,35.337500,48,1.000000,34
9,160,80,32,0.025854,0.147477,0.476972,2710,130.300000,154,1.000000,150
10,160,80,44,0.037901,0.135459,0.354772,3094,0.800000,10,0.878977,0
11,160,80,34,0.226326,0.084262,0.342639,2576,1.537500,15,0.947059,0
12,160,80,28,0.125569,0.169415,0.450071,2265,29.575000,39,1.000000,25
13,160,80,20,0.131459,0.124829,0.359329,1618,17.762500,28,1.000000,18
14,160,80,39,0.342837,0.092636,0.450958,3087,4.450000,17,0.987500,6
15,160,80,17,0.030773,0.076239,0.308126,1410,49.125000,61,1.000000,50
16,160,80,41,0.165405,0.071078,0.400698,2909,0.825000,10,0.886890,0
17,160,80,33,0.029624,0.122658,0.402687,2694,54.375000,77,1.000000,54
18,160,80,32,0.264829,0.126841,0.471396,2570,12.125000,23,1.000000,10
19,160,80,35,0.318353,0.088890,0.325433,2524,1.087500,8,0.901429,0
20,160,80,44,0.296099,0.123989,0.333139,2902,0.400000,8,0.824432,0
21,160,80,18,0.060724,0.121001,0.402029,1474,41.737500,51,1.000000,34
22,160,80,23,0.338216,0.091534,0.327661,1718,4.550000,18,0.929891,7
23,160,80,44,0.061911,0.163443,0.492220,3555,32.925000,49,1.000000,35
24,160,80,38,0.146072,0.099112,0.378251,2945,2.437500,11,0.967763,3
25,160,80,35,0.204554,0.192138,0.423906,2819,13.587500,25,1.000000,19
26,160,80,35,0.289821,0.165318,0.483290,2820,13.475000,24,1.000000,20
27,160,80,31,0.133385,0.117037,0.360714,2498,10.600000,20,0.999194,20
28,160,80,32,0.057682,0.176388,0.491640,2628,69.825000,85,1.000000,68
29,160,80,18,0.358746,0.163088,0.378254,1439,11.237500,32,0.989583,14
30,160,80,39,0.157874,0.111084,0.442101,3124,9.925000,21,0.999679,5
31,160,80,16,0.205162,0.068644,0.394391,1290,11.450000,22,1.000000,10
32,160,80,30,0.108775,0.194126,0.399437,2434,32.475000,46,1.000000,34
33,160,80,32,0.364649,0.151153,0.447746,2537,8.375000,22,0.987109,10
34,160,80,44,0.360339,0.123288,0.414230,3269,1.150000,16,0.928693,0
35,160,80,18,0.324164,0.096056,0.454861,1461,11.975000,37,1.000000,21
36,160,80,23,0.195348,0.093830,0.288101,1834,6.512500,21,0.992935,7
37,160,80,28,0.098271,0.142038,0.442911,2263,29.125000,41,1.000000,23
38,160,80,17,0.360869,0.192346,0.397096,1372,12.787500,41,1.000000,12
39,160,80,20,0.057963,0.143070,0.373412,1646,43.837500,54,1.000000,46
40,160,80,35,0.056653,0.190614,0.410476,2851,50.175000,67,1.000000,51
41,160,80,35,0.147757,0.154749,0.415863,2814,13.425000,25,1.000000,14
42,160,80,25,0.214760,0.136898,0.459269,2018,15.550000,29,1.000000,18
43,160,80,29,0.227196,0.187632,0.427897,2338,17.462500,31,1.000000,18
44,160,80,30,0.145055,0.076459,0.402055,2415,11.900000,22,1.000000,15
45,160,80,19,0.201682,0.071021,0.355188,1523,8.887500,17,1.000000,3
46,160,80,25,0.200459,0.128164,0.462332,2009,17.950000,29,1.000000,9
47,160,80,20,0.082729,0.125318,0.354570,1626,26.050000,33,1.000000,26
48,160,80,26,0.221808,0.086010,0.423259,2085,11.775000,30,1.000000,5
49,160,80,22,0.299007,0.138846,0.448508,1766,13.575000,35,1.000000,6
50,160,80,44,0.098224,0.073550,0.320405,2493,0.000000,0,0.708239,0
51,160,80,32,0.268475,0.132918,0.375104,2552,5.600000,20,0.995313,4
52,160,80,36,0.207575,0.184051,0.451531,2902,17.725000,31,1.000000,22
53,160,80,20,0.316658,0.194977,0.487532,1615,14.662500,41,1.000000,15
54,160,80,31,0.199582,0.138038,0.445503,2502,14.325000,26,1.000000,22
55,160,80,32,0.063211,0.137064,0.428938,2591,35.612500,49,1.000000,31
56,160,80,41,0.218062,0.171027,0.496424,3292,14.425000,26,0.999390,14
57,160,80,41,0.362168,0.164853,0.509754,3268,9.750000,23,0.995732,2
58,160,80,39,0.041054,0.097183,0.411207,3060,8.225000,26,0.977244,11
59,160,80,17,0.356930,0.156241,0.342471,1339,10.950000,30,0.973529,15
60,160,80,40,0.268278,0.093885,0.358228,2816,0.462500,6,0.880000,0
61,160,80,25,0.072870,0.068504,0.351311,2017,21.450000,31,1.000000,17
62,160,80,36,0.327857,0.110105,0.418335,2836,4.162500,16,0.984722,0
63,160,80,24,0.194136,0.074995,0.373721,1924,8.762500,21,0.997917,8
64,160,80,41,0.109098,0.070178,0.334408,2493,0.000000,0,0.760061,0
65,160,80,18,0.107386,0.187213,0.458606,1476,35.462500,48,1.000000,36
66,160,80,20,0.154706,0.084182,0.373737,1611,14.375000,28,1.000000,11
67,160,80,34,0.145279,0.134058,0.482486,2750,24.087500,36,1.000000,30
68,160,80,41,0.081019,0.121786,0.410260,3206,5.625000,27,0.975305,7
69,160,80,25,0.036947,0.098998,0.419790,2065,61.800000,80,1.000000,65
70,160,80,16,0.294398,0.112412,0.303783,1254,7.987500,25,0.976562,4
71,160,80,34,0.260583,0.081052,0.350065,2528,1.825000,12,0.928309,3
