node_id,node_label,layer,region,criticality
0,N0,infrastructure,north,high
1,N1,infrastructure,north,medium
2,N2,infrastructure,north,high
3,N3,infrastructure,north,medium
4,N4,infrastructure,north,low
5,N5,infrastructure,north,medium
6,N6,infrastructure,north,low
7,N7,infrastructure,north,medium
8,N8,infrastructure,north,low
9,N9,infrastructure,north,medium
10,N10,infrastructure,north,low
11,N11,infrastructure,north,medium
12,N12,infrastructure,north,medium
13,N13,infrastructure,north,low
14,N14,infrastructure,north,medium
15,N15,infrastructure,north,low
16,N16,logistics,central,medium
17,N17,logistics,central,low
18,N18,logistics,central,high
19,N19,logistics,central,medium
20,N20,logistics,central,low
21,N21,logistics,central,medium
22,N22,logistics,central,low
23,N23,logistics,central,medium
24,N24,logistics,central,low
25,N25,logistics,central,medium
26,N26,logistics,central,low
27,N27,logistics,central,medium
28,N28,logistics,central,low
29,N29,logistics,central,medium
30,N30,logistics,central,low
31,N31,logistics,central,medium
32,N32,digital,south,medium
33,N33,digital,south,low
34,N34,digital,south,high
35,N35,digital,south,medium
36,N36,digital,south,low
37,N37,digital,south,medium
38,N38,digital,south,low
39,N39,digital,south,medium
40,N40,digital,south,low
41,N41,digital,south,medium
42,N42,digital,south,medium
43,N43,digital,south,low
44,N44,digital,south,medium
45,N45,digital,south,low
46,N46,digital,south,medium
47,N47,digital,south,low
