source,target,weight,capacity,edge_type
0,1,0.80,12,local
0,2,0.85,15,local
1,3,0.60,10,local
2,3,0.70,12,local
2,4,0.50,8,local
3,5,0.65,9,local
4,6,0.55,7,local
5,7,0.70,11,local
6,8,0.45,7,local
7,9,0.75,12,local
8,10,0.45,6,local
9,11,0.70,11,local
10,12,0.50,8,local
11,13,0.60,9,local
12,14,0.55,8,local
13,15,0.60,8,local
16,17,0.60,10,local
16,18,0.85,15,local
17,19,0.50,7,local
18,19,0.80,14,local
18,20,0.60,10,local
19,21,0.70,11,local
20,22,0.45,7,local
21,23,0.65,10,local
22,24,0.50,8,local
23,25,0.70,11,local
24,26,0.45,7,local
25,27,0.60,9,local
26,28,0.45,6,local
27,29,0.65,10,local
28,30,0.40,6,local
29,31,0.70,11,local
32,33,0.55,8,local
32,34,0.85,15,local
33,35,0.50,7,local
34,35,0.80,14,local
34,36,0.55,9,local
35,37,0.65,10,local
36,38,0.45,7,local
37,39,0.70,11,local
38,40,0.45,7,local
39,41,0.65,10,local
40,42,0.50,8,local
41,43,0.60,9,local
42,44,0.55,8,local
43,45,0.50,7,local
44,46,0.60,9,local
45,47,0.45,6,local
3,19,0.70,10,bridge
7,25,0.65,9,bridge
21,35,0.70,10,bridge
29,42,0.60,8,bridge
12,37,0.55,8,bridge
2,18,0.75,11,cross_layer
18,34,0.75,11,cross_layer
2,34,0.55,8,cross_layer
