scenario,step,node_count,link_probability,edge_count,average_degree,component_count,largest_component_size,largest_component_fraction,giant_component_threshold,giant_component_flag
small_network,1,60,0.0,0,0.0,60,1,0.016667,0.5,0
small_network,2,60,0.002273,4,0.133333,56,2,0.033333,0.5,0
small_network,3,60,0.004545,10,0.333333,50,4,0.066667,0.5,0
small_network,4,60,0.006818,11,0.366667,49,6,0.1,0.5,0
small_network,5,60,0.009091,11,0.366667,49,3,0.05,0.5,0
small_network,6,60,0.011364,18,0.6,42,5,0.083333,0.5,0
small_network,7,60,0.013636,19,0.633333,41,6,0.1,0.5,0
small_network,8,60,0.015909,29,0.966667,31,12,0.2,0.5,0
small_network,9,60,0.018182,40,1.333333,22,30,0.5,0.5,1
small_network,10,60,0.020455,35,1.166667,27,12,0.2,0.5,0
small_network,11,60,0.022727,27,0.9,33,17,0.283333,0.5,0
small_network,12,60,0.025,39,1.3,22,35,0.583333,0.5,1
small_network,13,60,0.027273,40,1.333333,22,22,0.366667,0.5,0
small_network,14,60,0.029545,53,1.766667,15,38,0.633333,0.5,1
small_network,15,60,0.031818,56,1.866667,10,47,0.783333,0.5,1
small_network,16,60,0.034091,46,1.533333,17,43,0.716667,0.5,1
small_network,17,60,0.036364,70,2.333333,7,53,0.883333,0.5,1
small_network,18,60,0.038636,50,1.666667,16,37,0.616667,0.5,1
small_network,19,60,0.040909,79,2.633333,5,56,0.933333,0.5,1
small_network,20,60,0.043182,85,2.833333,3,56,0.933333,0.5,1
small_network,21,60,0.045455,75,2.5,6,51,0.85,0.5,1
small_network,22,60,0.047727,91,3.033333,3,57,0.95,0.5,1
small_network,23,60,0.05,82,2.733333,6,55,0.916667,0.5,1
small_network,24,60,0.052273,80,2.666667,1,60,1.0,0.5,1
small_network,25,60,0.054545,107,3.566667,2,59,0.983333,0.5,1
small_network,26,60,0.056818,99,3.3,2,59,0.983333,0.5,1
small_network,27,60,0.059091,91,3.033333,2,59,0.983333,0.5,1
small_network,28,60,0.061364,122,4.066667,2,59,0.983333,0.5,1
small_network,29,60,0.063636,106,3.533333,3,57,0.95,0.5,1
small_network,30,60,0.065909,104,3.466667,4,57,0.95,0.5,1
small_network,31,60,0.068182,106,3.533333,3,58,0.966667,0.5,1
small_network,32,60,0.070455,101,3.366667,5,56,0.933333,0.5,1
small_network,33,60,0.072727,136,4.533333,2,59,0.983333,0.5,1
small_network,34,60,0.075,122,4.066667,2,59,0.983333,0.5,1
small_network,35,60,0.077273,145,4.833333,2,59,0.983333,0.5,1
small_network,36,60,0.079545,128,4.266667,1,60,1.0,0.5,1
small_network,37,60,0.081818,131,4.366667,3,58,0.966667,0.5,1
small_network,38,60,0.084091,131,4.366667,1,60,1.0,0.5,1
small_network,39,60,0.086364,149,4.966667,2,59,0.983333,0.5,1
small_network,40,60,0.088636,150,5.0,1,60,1.0,0.5,1
small_network,41,60,0.090909,155,5.166667,1,60,1.0,0.5,1
small_network,42,60,0.093182,184,6.133333,2,59,0.983333,0.5,1
small_network,43,60,0.095455,158,5.266667,1,60,1.0,0.5,1
small_network,44,60,0.097727,162,5.4,1,60,1.0,0.5,1
small_network,45,60,0.1,166,5.533333,1,60,1.0,0.5,1
medium_network,1,120,0.0,0,0.0,120,1,0.008333,0.5,0
medium_network,2,120,0.001818,8,0.133333,112,4,0.033333,0.5,0
medium_network,3,120,0.003636,29,0.483333,91,6,0.05,0.5,0
medium_network,4,120,0.005455,52,0.866667,69,19,0.158333,0.5,0
medium_network,5,120,0.007273,51,0.85,69,9,0.075,0.5,0
medium_network,6,120,0.009091,50,0.833333,70,8,0.066667,0.5,0
medium_network,7,120,0.010909,89,1.483333,33,50,0.416667,0.5,0
medium_network,8,120,0.012727,90,1.5,36,79,0.658333,0.5,1
medium_network,9,120,0.014545,108,1.8,26,90,0.75,0.5,1
medium_network,10,120,0.016364,112,1.866667,22,93,0.775,0.5,1
medium_network,11,120,0.018182,155,2.583333,7,114,0.95,0.5,1
medium_network,12,120,0.02,137,2.283333,16,98,0.816667,0.5,1
medium_network,13,120,0.021818,142,2.366667,19,101,0.841667,0.5,1
medium_network,14,120,0.023636,175,2.916667,6,114,0.95,0.5,1
medium_network,15,120,0.025455,184,3.066667,5,116,0.966667,0.5,1
medium_network,16,120,0.027273,180,3.0,8,113,0.941667,0.5,1
medium_network,17,120,0.029091,222,3.7,3,118,0.983333,0.5,1
medium_network,18,120,0.030909,233,3.883333,4,117,0.975,0.5,1
medium_network,19,120,0.032727,229,3.816667,4,116,0.966667,0.5,1
medium_network,20,120,0.034545,231,3.85,5,116,0.966667,0.5,1
medium_network,21,120,0.036364,272,4.533333,3,118,0.983333,0.5,1
medium_network,22,120,0.038182,255,4.25,5,116,0.966667,0.5,1
medium_network,23,120,0.04,268,4.466667,1,120,1.0,0.5,1
medium_network,24,120,0.041818,308,5.133333,1,120,1.0,0.5,1
medium_network,25,120,0.043636,304,5.066667,2,119,0.991667,0.5,1
medium_network,26,120,0.045455,351,5.85,2,119,0.991667,0.5,1
medium_network,27,120,0.047273,366,6.1,1,120,1.0,0.5,1
medium_network,28,120,0.049091,319,5.316667,1,120,1.0,0.5,1
medium_network,29,120,0.050909,380,6.333333,1,120,1.0,0.5,1
medium_network,30,120,0.052727,370,6.166667,1,120,1.0,0.5,1
medium_network,31,120,0.054545,373,6.216667,2,119,0.991667,0.5,1
medium_network,32,120,0.056364,407,6.783333,1,120,1.0,0.5,1
medium_network,33,120,0.058182,400,6.666667,1,120,1.0,0.5,1
medium_network,34,120,0.06,418,6.966667,1,120,1.0,0.5,1
medium_network,35,120,0.061818,449,7.483333,1,120,1.0,0.5,1
medium_network,36,120,0.063636,473,7.883333,1,120,1.0,0.5,1
medium_network,37,120,0.065455,504,8.4,1,120,1.0,0.5,1
medium_network,38,120,0.067273,452,7.533333,2,119,0.991667,0.5,1
medium_network,39,120,0.069091,507,8.45,1,120,1.0,0.5,1
medium_network,40,120,0.070909,516,8.6,1,120,1.0,0.5,1
medium_network,41,120,0.072727,512,8.533333,1,120,1.0,0.5,1
medium_network,42,120,0.074545,526,8.766667,1,120,1.0,0.5,1
medium_network,43,120,0.076364,558,9.3,1,120,1.0,0.5,1
medium_network,44,120,0.078182,548,9.133333,1,120,1.0,0.5,1
medium_network,45,120,0.08,574,9.566667,1,120,1.0,0.5,1
larger_network,1,240,0.0,0,0.0,240,1,0.004167,0.5,0
larger_network,2,240,0.001136,25,0.208333,215,4,0.016667,0.5,0
larger_network,3,240,0.002273,64,0.533333,176,6,0.025,0.5,0
larger_network,4,240,0.003409,108,0.9,132,21,0.0875,0.5,0
larger_network,5,240,0.004545,117,0.975,124,35,0.145833,0.5,0
larger_network,6,240,0.005682,163,1.358333,84,117,0.4875,0.5,0
larger_network,7,240,0.006818,214,1.783333,44,185,0.770833,0.5,1
larger_network,8,240,0.007955,255,2.125,33,203,0.845833,0.5,1
larger_network,9,240,0.009091,265,2.208333,36,203,0.845833,0.5,1
larger_network,10,240,0.010227,302,2.516667,20,219,0.9125,0.5,1
larger_network,11,240,0.011364,346,2.883333,12,227,0.945833,0.5,1
larger_network,12,240,0.0125,375,3.125,19,221,0.920833,0.5,1
larger_network,13,240,0.013636,399,3.325,7,234,0.975,0.5,1
larger_network,14,240,0.014773,419,3.491667,9,232,0.966667,0.5,1
larger_network,15,240,0.015909,444,3.7,6,235,0.979167,0.5,1
larger_network,16,240,0.017045,457,3.808333,5,236,0.983333,0.5,1
larger_network,17,240,0.018182,525,4.375,5,236,0.983333,0.5,1
larger_network,18,240,0.019318,556,4.633333,6,235,0.979167,0.5,1
larger_network,19,240,0.020455,613,5.108333,2,239,0.995833,0.5,1
larger_network,20,240,0.021591,629,5.241667,2,239,0.995833,0.5,1
larger_network,21,240,0.022727,649,5.408333,1,240,1.0,0.5,1
larger_network,22,240,0.023864,657,5.475,1,240,1.0,0.5,1
larger_network,23,240,0.025,702,5.85,1,240,1.0,0.5,1
larger_network,24,240,0.026136,737,6.141667,1,240,1.0,0.5,1
larger_network,25,240,0.027273,784,6.533333,2,239,0.995833,0.5,1
larger_network,26,240,0.028409,807,6.725,1,240,1.0,0.5,1
larger_network,27,240,0.029545,862,7.183333,2,239,0.995833,0.5,1
larger_network,28,240,0.030682,896,7.466667,1,240,1.0,0.5,1
larger_network,29,240,0.031818,941,7.841667,1,240,1.0,0.5,1
larger_network,30,240,0.032955,935,7.791667,1,240,1.0,0.5,1
larger_network,31,240,0.034091,995,8.291667,1,240,1.0,0.5,1
larger_network,32,240,0.035227,996,8.3,1,240,1.0,0.5,1
larger_network,33,240,0.036364,1085,9.041667,1,240,1.0,0.5,1
larger_network,34,240,0.0375,1098,9.15,1,240,1.0,0.5,1
larger_network,35,240,0.038636,1079,8.991667,1,240,1.0,0.5,1
larger_network,36,240,0.039773,1078,8.983333,1,240,1.0,0.5,1
larger_network,37,240,0.040909,1188,9.9,1,240,1.0,0.5,1
larger_network,38,240,0.042045,1172,9.766667,1,240,1.0,0.5,1
larger_network,39,240,0.043182,1259,10.491667,1,240,1.0,0.5,1
larger_network,40,240,0.044318,1314,10.95,1,240,1.0,0.5,1
larger_network,41,240,0.045455,1323,11.025,1,240,1.0,0.5,1
larger_network,42,240,0.046591,1341,11.175,1,240,1.0,0.5,1
larger_network,43,240,0.047727,1368,11.4,1,240,1.0,0.5,1
larger_network,44,240,0.048864,1319,10.991667,1,240,1.0,0.5,1
larger_network,45,240,0.05,1432,11.933333,1,240,1.0,0.5,1
high_resolution_medium,1,120,0.0,0,0.0,120,1,0.008333,0.5,0
high_resolution_medium,2,120,0.001013,11,0.183333,109,2,0.016667,0.5,0
high_resolution_medium,3,120,0.002025,18,0.3,102,3,0.025,0.5,0
high_resolution_medium,4,120,0.003038,21,0.35,99,7,0.058333,0.5,0
high_resolution_medium,5,120,0.004051,30,0.5,90,4,0.033333,0.5,0
high_resolution_medium,6,120,0.005063,51,0.85,69,20,0.166667,0.5,0
high_resolution_medium,7,120,0.006076,38,0.633333,82,6,0.05,0.5,0
high_resolution_medium,8,120,0.007089,44,0.733333,77,10,0.083333,0.5,0
high_resolution_medium,9,120,0.008101,47,0.783333,73,12,0.1,0.5,0
high_resolution_medium,10,120,0.009114,59,0.983333,61,24,0.2,0.5,0
high_resolution_medium,11,120,0.010127,87,1.45,36,62,0.516667,0.5,1
high_resolution_medium,12,120,0.011139,83,1.383333,40,68,0.566667,0.5,1
high_resolution_medium,13,120,0.012152,114,1.9,28,84,0.7,0.5,1
high_resolution_medium,14,120,0.013165,94,1.566667,27,70,0.583333,0.5,1
high_resolution_medium,15,120,0.014177,103,1.716667,30,75,0.625,0.5,1
high_resolution_medium,16,120,0.01519,102,1.7,34,83,0.691667,0.5,1
high_resolution_medium,17,120,0.016203,115,1.916667,21,95,0.791667,0.5,1
high_resolution_medium,18,120,0.017215,133,2.216667,19,96,0.8,0.5,1
high_resolution_medium,19,120,0.018228,131,2.183333,19,99,0.825,0.5,1
high_resolution_medium,20,120,0.019241,156,2.6,9,111,0.925,0.5,1
high_resolution_medium,21,120,0.020253,150,2.5,11,109,0.908333,0.5,1
high_resolution_medium,22,120,0.021266,161,2.683333,10,111,0.925,0.5,1
high_resolution_medium,23,120,0.022278,159,2.65,9,111,0.925,0.5,1
high_resolution_medium,24,120,0.023291,132,2.2,19,100,0.833333,0.5,1
high_resolution_medium,25,120,0.024304,160,2.666667,7,114,0.95,0.5,1
high_resolution_medium,26,120,0.025316,185,3.083333,5,116,0.966667,0.5,1
high_resolution_medium,27,120,0.026329,181,3.016667,8,112,0.933333,0.5,1
high_resolution_medium,28,120,0.027342,173,2.883333,7,113,0.941667,0.5,1
high_resolution_medium,29,120,0.028354,201,3.35,8,113,0.941667,0.5,1
high_resolution_medium,30,120,0.029367,220,3.666667,3,118,0.983333,0.5,1
high_resolution_medium,31,120,0.03038,210,3.5,5,114,0.95,0.5,1
high_resolution_medium,32,120,0.031392,236,3.933333,3,118,0.983333,0.5,1
high_resolution_medium,33,120,0.032405,248,4.133333,3,118,0.983333,0.5,1
high_resolution_medium,34,120,0.033418,245,4.083333,2,119,0.991667,0.5,1
high_resolution_medium,35,120,0.03443,251,4.183333,2,119,0.991667,0.5,1
high_resolution_medium,36,120,0.035443,240,4.0,6,115,0.958333,0.5,1
high_resolution_medium,37,120,0.036456,267,4.45,4,117,0.975,0.5,1
high_resolution_medium,38,120,0.037468,269,4.483333,2,119,0.991667,0.5,1
high_resolution_medium,39,120,0.038481,279,4.65,2,119,0.991667,0.5,1
high_resolution_medium,40,120,0.039494,259,4.316667,3,118,0.983333,0.5,1
high_resolution_medium,41,120,0.040506,274,4.566667,2,119,0.991667,0.5,1
high_resolution_medium,42,120,0.041519,340,5.666667,1,120,1.0,0.5,1
high_resolution_medium,43,120,0.042532,314,5.233333,2,119,0.991667,0.5,1
high_resolution_medium,44,120,0.043544,305,5.083333,2,119,0.991667,0.5,1
high_resolution_medium,45,120,0.044557,331,5.516667,1,120,1.0,0.5,1
high_resolution_medium,46,120,0.04557,345,5.75,1,120,1.0,0.5,1
high_resolution_medium,47,120,0.046582,344,5.733333,1,120,1.0,0.5,1
high_resolution_medium,48,120,0.047595,339,5.65,1,120,1.0,0.5,1
high_resolution_medium,49,120,0.048608,339,5.65,1,120,1.0,0.5,1
high_resolution_medium,50,120,0.04962,359,5.983333,1,120,1.0,0.5,1
high_resolution_medium,51,120,0.050633,373,6.216667,1,120,1.0,0.5,1
high_resolution_medium,52,120,0.051646,349,5.816667,1,120,1.0,0.5,1
high_resolution_medium,53,120,0.052658,368,6.133333,1,120,1.0,0.5,1
high_resolution_medium,54,120,0.053671,405,6.75,1,120,1.0,0.5,1
