step,control_parameter,stable_state_positive,stable_state_negative,neutral_state,order_parameter_magnitude,phase_label
1,-1.5,0.0,0.0,0.0,0.0,single neutral phase
2,-1.49,0.0,0.0,0.0,0.0,single neutral phase
3,-1.48,0.0,0.0,0.0,0.0,single neutral phase
4,-1.47,0.0,0.0,0.0,0.0,single neutral phase
5,-1.46,0.0,0.0,0.0,0.0,single neutral phase
6,-1.45,0.0,0.0,0.0,0.0,single neutral phase
7,-1.44,0.0,0.0,0.0,0.0,single neutral phase
8,-1.43,0.0,0.0,0.0,0.0,single neutral phase
9,-1.42,0.0,0.0,0.0,0.0,single neutral phase
10,-1.41,0.0,0.0,0.0,0.0,single neutral phase
11,-1.4,0.0,0.0,0.0,0.0,single neutral phase
12,-1.39,0.0,0.0,0.0,0.0,single neutral phase
13,-1.38,0.0,0.0,0.0,0.0,single neutral phase
14,-1.37,0.0,0.0,0.0,0.0,single neutral phase
15,-1.36,0.0,0.0,0.0,0.0,single neutral phase
16,-1.35,0.0,0.0,0.0,0.0,single neutral phase
17,-1.34,0.0,0.0,0.0,0.0,single neutral phase
18,-1.33,0.0,0.0,0.0,0.0,single neutral phase
19,-1.32,0.0,0.0,0.0,0.0,single neutral phase
20,-1.31,0.0,0.0,0.0,0.0,single neutral phase
21,-1.3,0.0,0.0,0.0,0.0,single neutral phase
22,-1.29,0.0,0.0,0.0,0.0,single neutral phase
23,-1.28,0.0,0.0,0.0,0.0,single neutral phase
24,-1.27,0.0,0.0,0.0,0.0,single neutral phase
25,-1.26,0.0,0.0,0.0,0.0,single neutral phase
26,-1.25,0.0,0.0,0.0,0.0,single neutral phase
27,-1.24,0.0,0.0,0.0,0.0,single neutral phase
28,-1.23,0.0,0.0,0.0,0.0,single neutral phase
29,-1.22,0.0,0.0,0.0,0.0,single neutral phase
30,-1.21,0.0,0.0,0.0,0.0,single neutral phase
31,-1.2,0.0,0.0,0.0,0.0,single neutral phase
32,-1.19,0.0,0.0,0.0,0.0,single neutral phase
33,-1.18,0.0,0.0,0.0,0.0,single neutral phase
34,-1.17,0.0,0.0,0.0,0.0,single neutral phase
35,-1.16,0.0,0.0,0.0,0.0,single neutral phase
36,-1.15,0.0,0.0,0.0,0.0,single neutral phase
37,-1.14,0.0,0.0,0.0,0.0,single neutral phase
38,-1.13,0.0,0.0,0.0,0.0,single neutral phase
39,-1.12,0.0,0.0,0.0,0.0,single neutral phase
40,-1.11,0.0,0.0,0.0,0.0,single neutral phase
41,-1.1,0.0,0.0,0.0,0.0,single neutral phase
42,-1.09,0.0,0.0,0.0,0.0,single neutral phase
43,-1.08,0.0,0.0,0.0,0.0,single neutral phase
44,-1.07,0.0,0.0,0.0,0.0,single neutral phase
45,-1.06,0.0,0.0,0.0,0.0,single neutral phase
46,-1.05,0.0,0.0,0.0,0.0,single neutral phase
47,-1.04,0.0,0.0,0.0,0.0,single neutral phase
48,-1.03,0.0,0.0,0.0,0.0,single neutral phase
49,-1.02,0.0,0.0,0.0,0.0,single neutral phase
50,-1.01,0.0,0.0,0.0,0.0,single neutral phase
51,-1.0,0.0,0.0,0.0,0.0,single neutral phase
52,-0.99,0.0,0.0,0.0,0.0,single neutral phase
53,-0.98,0.0,0.0,0.0,0.0,single neutral phase
54,-0.97,0.0,0.0,0.0,0.0,single neutral phase
55,-0.96,0.0,0.0,0.0,0.0,single neutral phase
56,-0.95,0.0,0.0,0.0,0.0,single neutral phase
57,-0.94,0.0,0.0,0.0,0.0,single neutral phase
58,-0.93,0.0,0.0,0.0,0.0,single neutral phase
59,-0.92,0.0,0.0,0.0,0.0,single neutral phase
60,-0.91,0.0,0.0,0.0,0.0,single neutral phase
61,-0.9,0.0,0.0,0.0,0.0,single neutral phase
62,-0.89,0.0,0.0,0.0,0.0,single neutral phase
63,-0.88,0.0,0.0,0.0,0.0,single neutral phase
64,-0.87,0.0,0.0,0.0,0.0,single neutral phase
65,-0.86,0.0,0.0,0.0,0.0,single neutral phase
66,-0.85,0.0,0.0,0.0,0.0,single neutral phase
67,-0.84,0.0,0.0,0.0,0.0,single neutral phase
68,-0.83,0.0,0.0,0.0,0.0,single neutral phase
69,-0.82,0.0,0.0,0.0,0.0,single neutral phase
70,-0.81,0.0,0.0,0.0,0.0,single neutral phase
71,-0.8,0.0,0.0,0.0,0.0,single neutral phase
72,-0.79,0.0,0.0,0.0,0.0,single neutral phase
73,-0.78,0.0,0.0,0.0,0.0,single neutral phase
74,-0.77,0.0,0.0,0.0,0.0,single neutral phase
75,-0.76,0.0,0.0,0.0,0.0,single neutral phase
76,-0.75,0.0,0.0,0.0,0.0,single neutral phase
77,-0.74,0.0,0.0,0.0,0.0,single neutral phase
78,-0.73,0.0,0.0,0.0,0.0,single neutral phase
79,-0.72,0.0,0.0,0.0,0.0,single neutral phase
80,-0.71,0.0,0.0,0.0,0.0,single neutral phase
81,-0.7,0.0,0.0,0.0,0.0,single neutral phase
82,-0.69,0.0,0.0,0.0,0.0,single neutral phase
83,-0.68,0.0,0.0,0.0,0.0,single neutral phase
84,-0.67,0.0,0.0,0.0,0.0,single neutral phase
85,-0.66,0.0,0.0,0.0,0.0,single neutral phase
86,-0.65,0.0,0.0,0.0,0.0,single neutral phase
87,-0.64,0.0,0.0,0.0,0.0,single neutral phase
