run_id,arrival_rate,service_rate,entities,average_waiting_time,maximum_waiting_time,service_level_share,implied_utilization
1,0.165782,0.205629,240,11.492219,72.185510,0.683333,0.806220
2,0.202366,0.234547,240,15.921042,54.494148,0.512500,0.862792
3,0.149392,0.333797,240,2.119388,26.769268,0.979167,0.447552
4,0.130378,0.326119,240,1.376487,27.531170,0.983333,0.399786
5,0.212316,0.307870,240,6.093035,38.897199,0.833333,0.689627
6,0.197518,0.284404,240,11.311096,40.846282,0.604167,0.694500
7,0.274662,0.339839,240,10.872326,36.872641,0.575000,0.808211
8,0.180005,0.216031,240,31.956083,91.969769,0.333333,0.833239
9,0.271924,0.274400,240,63.668028,125.987884,0.175000,0.990977
10,0.257919,0.188596,240,189.416707,445.239430,0.104167,1.367578
11,0.226732,0.183779,240,87.768283,239.052671,0.141667,1.233722
12,0.251945,0.338120,240,3.546600,19.087853,0.933333,0.745136
13,0.261922,0.181050,240,170.276593,451.566514,0.029167,1.446682
14,0.153575,0.251605,240,8.817914,35.827584,0.695833,0.610382
15,0.163398,0.292470,240,7.519136,42.408839,0.716667,0.558683
16,0.252885,0.250726,240,11.708801,55.471787,0.662500,1.008611
17,0.174385,0.249592,240,6.268239,30.834703,0.766667,0.698681
18,0.249648,0.188951,240,235.366753,435.431162,0.033333,1.321233
19,0.147728,0.258377,240,6.925108,40.787649,0.766667,0.571755
20,0.141411,0.253390,240,6.782874,30.628167,0.762500,0.558076
21,0.142217,0.269673,240,2.962369,19.143681,0.925000,0.527367
22,0.166919,0.263351,240,7.559496,39.983305,0.750000,0.633829
23,0.168445,0.219639,240,16.699278,96.654881,0.570833,0.766917
24,0.233622,0.255436,240,11.197554,34.860366,0.529167,0.914603
25,0.277745,0.341419,240,6.704147,35.770518,0.795833,0.813503
26,0.138559,0.231887,240,5.071735,26.681910,0.812500,0.597529
27,0.259392,0.188857,240,117.268326,255.547532,0.083333,1.373481
28,0.124774,0.294011,240,2.987304,30.571261,0.933333,0.424387
29,0.184625,0.260560,240,11.905141,50.236925,0.641667,0.708568
30,0.208914,0.331194,240,5.158093,26.101659,0.850000,0.630791
31,0.124277,0.265938,240,2.645574,19.823671,0.950000,0.467316
32,0.266272,0.268826,240,47.545032,127.636575,0.216667,0.990496
33,0.151032,0.270464,240,14.347831,71.907573,0.645833,0.558418
34,0.171584,0.329177,240,2.127035,16.806198,0.962500,0.521251
35,0.193131,0.209150,240,37.044449,147.104747,0.312500,0.923408
36,0.186818,0.195260,240,58.630737,155.912795,0.275000,0.956766
37,0.213908,0.351113,240,4.256619,18.566577,0.875000,0.609229
38,0.138099,0.220544,240,8.309958,38.611007,0.695833,0.626177
39,0.169890,0.264482,240,4.714814,25.013566,0.854167,0.642351
40,0.208065,0.335751,240,4.332797,24.759379,0.883333,0.619700
41,0.120532,0.200956,240,8.546449,62.731725,0.712500,0.599795
42,0.164699,0.279139,240,4.829077,27.557512,0.866667,0.590025
43,0.238442,0.188467,240,325.393067,576.731178,0.033333,1.265166
44,0.175945,0.287425,240,4.670108,29.377835,0.875000,0.612144
45,0.202024,0.315409,240,4.773610,30.505698,0.833333,0.640514
46,0.242642,0.295562,240,21.070458,70.749130,0.445833,0.820949
47,0.144110,0.262980,240,3.559711,28.171722,0.916667,0.547990
48,0.261755,0.236692,240,80.148491,144.453785,0.083333,1.105886
49,0.253015,0.315251,240,8.866403,36.034591,0.725000,0.802582
50,0.218921,0.248255,240,76.583602,170.861410,0.270833,0.881837
51,0.225923,0.282808,240,5.681747,32.634920,0.850000,0.798858
52,0.270554,0.245679,240,29.440074,77.350379,0.237500,1.101249
53,0.254237,0.246029,240,37.210702,81.837252,0.145833,1.033363
54,0.161705,0.197961,240,8.756728,34.404778,0.641667,0.816853
55,0.274342,0.272581,240,53.790464,117.155041,0.129167,1.006460
56,0.273286,0.205311,240,244.287859,479.283155,0.054167,1.331082
57,0.269130,0.233387,240,40.608943,103.184844,0.270833,1.153150
58,0.167074,0.344790,240,1.727567,14.984491,0.945833,0.484569
59,0.273177,0.261370,240,27.580307,64.750939,0.195833,1.045174
60,0.218615,0.204883,240,43.546021,119.744397,0.104167,1.067021
61,0.160039,0.302282,240,3.644915,28.536828,0.912500,0.529437
62,0.121895,0.332082,240,1.406808,14.856432,0.987500,0.367062
63,0.158662,0.194271,240,11.525204,52.327454,0.591667,0.816705
64,0.209251,0.260898,240,9.437185,45.787746,0.725000,0.802043
65,0.167525,0.248339,240,4.252053,29.347725,0.887500,0.674581
66,0.229018,0.219135,240,53.726636,171.073056,0.154167,1.045097
67,0.271253,0.204750,240,130.862867,283.097654,0.066667,1.324800
68,0.235049,0.285174,240,23.395509,80.812156,0.454167,0.824232
69,0.273324,0.256815,240,46.549492,134.253167,0.112500,1.064282
70,0.136873,0.347933,240,1.236548,18.729666,0.995833,0.393388
71,0.155433,0.262315,240,4.458639,26.120533,0.875000,0.592542
72,0.221163,0.254295,240,10.974586,38.974102,0.604167,0.869710
73,0.279890,0.346167,240,6.888922,29.961805,0.795833,0.808540
74,0.249605,0.243266,240,34.598695,76.758330,0.212500,1.026058
75,0.177360,0.277380,240,3.809816,27.515261,0.904167,0.639412
76,0.265865,0.240266,240,29.797262,118.894815,0.275000,1.106546
77,0.154447,0.290373,240,4.129037,33.592379,0.862500,0.531893
78,0.210604,0.298857,240,4.935706,24.676816,0.887500,0.704697
79,0.175580,0.194170,240,14.671369,50.893436,0.487500,0.904259
80,0.212593,0.306845,240,9.704415,38.476086,0.616667,0.692834
81,0.217696,0.329477,240,2.534427,18.220310,0.945833,0.660732
82,0.138191,0.270229,240,4.261316,29.188105,0.858333,0.511385
83,0.194649,0.229252,240,17.357537,59.893299,0.400000,0.849059
84,0.262591,0.338317,240,3.809087,24.175655,0.891667,0.776170
85,0.154710,0.244551,240,5.128695,32.679373,0.841667,0.632627
86,0.209692,0.281373,240,7.889894,48.262067,0.783333,0.745247
87,0.235255,0.212295,240,50.305871,105.152358,0.154167,1.108150
88,0.137829,0.188244,240,7.795374,37.705467,0.716667,0.732184
89,0.152202,0.328519,240,1.667263,17.901554,0.983333,0.463296
90,0.204649,0.191157,240,73.158441,136.541066,0.008333,1.070580
91,0.121883,0.212091,240,3.757218,26.409135,0.879167,0.574671
92,0.230433,0.339494,240,12.661750,54.256344,0.650000,0.678755
93,0.197760,0.226237,240,17.330600,63.458107,0.495833,0.874128
94,0.160525,0.317493,240,3.014843,27.404051,0.941667,0.505603
95,0.207589,0.292865,240,7.299197,34.183196,0.750000,0.708822
96,0.135422,0.304518,240,1.924652,17.186609,0.975000,0.444709
97,0.249224,0.269791,240,29.965494,73.246367,0.262500,0.923769
98,0.208073,0.291874,240,5.841594,28.160844,0.795833,0.712887
99,0.207468,0.311517,240,3.026530,22.842615,0.941667,0.665991
100,0.177203,0.272921,240,7.663222,35.546931,0.745833,0.649283
101,0.245933,0.354231,240,6.403520,28.877464,0.804167,0.694272
102,0.215284,0.194825,240,75.886881,134.906450,0.041667,1.105011
103,0.272074,0.227807,240,34.065968,93.436864,0.216667,1.194319
104,0.239132,0.241908,240,88.022785,177.528757,0.145833,0.988525
105,0.179176,0.338990,240,3.977254,30.464136,0.887500,0.528557
106,0.207868,0.348465,240,5.221683,34.461402,0.795833,0.596525
107,0.158725,0.264343,240,3.232610,23.547792,0.912500,0.600451
108,0.179818,0.195698,240,19.340015,56.371005,0.362500,0.918858
109,0.205452,0.356810,240,4.612402,32.293880,0.858333,0.575801
110,0.153234,0.295601,240,3.496271,31.984985,0.937500,0.518382
111,0.159800,0.207389,240,9.658825,62.189196,0.650000,0.770535
112,0.256825,0.199280,240,52.928232,99.364363,0.175000,1.288768
113,0.225534,0.334922,240,3.688071,29.775042,0.916667,0.673391
114,0.268143,0.180987,240,264.497098,528.444471,0.012500,1.481562
115,0.154883,0.224549,240,10.175754,49.199144,0.666667,0.689753
116,0.265387,0.271393,240,31.279994,85.250967,0.283333,0.977870
117,0.141294,0.247735,240,5.696671,48.456982,0.833333,0.570342
118,0.151515,0.240036,240,4.378444,41.772701,0.895833,0.631217
119,0.179870,0.275218,240,22.457695,96.282685,0.487500,0.653553
120,0.269714,0.309552,240,13.885783,55.277491,0.587500,0.871305
121,0.244859,0.196152,240,85.820918,143.333650,0.104167,1.248315
122,0.203745,0.210510,240,113.907997,176.858549,0.012500,0.967868
123,0.164569,0.320792,240,3.406417,22.723937,0.883333,0.513007
124,0.240279,0.188474,240,233.229738,476.911027,0.020833,1.274867
125,0.179899,0.191372,240,27.608755,67.276881,0.275000,0.940050
126,0.175682,0.352537,240,2.911850,25.237549,0.945833,0.498336
127,0.142049,0.205909,240,9.744581,57.887982,0.695833,0.689862
128,0.226926,0.211768,240,51.234391,103.919141,0.141667,1.071576
129,0.258579,0.210288,240,94.487962,228.602837,0.250000,1.229643
130,0.127756,0.214104,240,6.311946,39.398430,0.804167,0.596699
131,0.274528,0.335350,240,9.684111,50.639317,0.662500,0.818632
132,0.171419,0.306966,240,3.765871,25.985562,0.895833,0.558430
133,0.122011,0.298262,240,2.337175,20.304103,0.954167,0.409072
134,0.141777,0.229195,240,6.344523,39.032379,0.808333,0.618585
135,0.156893,0.226328,240,4.540879,34.201635,0.845833,0.693210
136,0.251805,0.201635,240,126.407772,280.561975,0.120833,1.248816
137,0.138143,0.284901,240,2.764613,20.691299,0.916667,0.484878
138,0.194947,0.185681,240,50.215368,102.259598,0.200000,1.049904
139,0.243017,0.316641,240,11.870470,55.159649,0.625000,0.767485
140,0.198810,0.331881,240,3.240417,25.384096,0.920833,0.599039
141,0.229780,0.307486,240,7.461563,30.415801,0.695833,0.747284
142,0.148345,0.203202,240,10.234252,46.524752,0.633333,0.730038
143,0.125920,0.233263,240,3.888552,34.562489,0.904167,0.539820
144,0.269530,0.326926,240,14.154104,43.044507,0.512500,0.824437
145,0.180246,0.211861,240,13.881975,49.808501,0.512500,0.850772
146,0.138871,0.200878,240,11.274128,61.183143,0.650000,0.691319
147,0.227958,0.198966,240,87.308108,201.212332,0.108333,1.145715
148,0.227056,0.188318,240,125.492259,248.812066,0.162500,1.205705
149,0.152048,0.284098,240,5.443147,44.101451,0.829167,0.535196
150,0.157204,0.217924,240,7.720009,40.384391,0.729167,0.721368
151,0.233926,0.335914,240,7.221923,32.657853,0.712500,0.696386
152,0.148763,0.249276,240,3.066030,26.560620,0.937500,0.596781
153,0.243491,0.351920,240,3.350488,16.719228,0.912500,0.691895
154,0.172126,0.221142,240,13.648679,57.062071,0.570833,0.778353
155,0.176402,0.314569,240,2.898565,27.831916,0.937500,0.560772
156,0.270079,0.283077,240,15.243597,62.751864,0.541667,0.954084
157,0.224256,0.289968,240,13.131232,49.033372,0.554167,0.773383
158,0.157052,0.245812,240,5.713773,26.936639,0.804167,0.638909
159,0.255610,0.251855,240,12.190347,48.599467,0.608333,1.014910
160,0.182316,0.251850,240,6.878888,41.114719,0.766667,0.723906
161,0.124573,0.288943,240,2.626684,30.378865,0.929167,0.431135
162,0.182737,0.306150,240,3.456369,29.434359,0.937500,0.596888
163,0.138472,0.183855,240,9.811617,54.983363,0.708333,0.753158
164,0.156569,0.262767,240,4.736412,22.760496,0.854167,0.595848
165,0.266636,0.292839,240,29.499338,97.039267,0.437500,0.910523
166,0.229967,0.265157,240,37.798723,132.637855,0.437500,0.867288
167,0.208641,0.247599,240,7.741441,35.303859,0.741667,0.842658
168,0.121871,0.291173,240,1.929895,22.696137,0.962500,0.418552
169,0.257954,0.341683,240,4.877019,25.165272,0.850000,0.754953
170,0.233448,0.195821,240,108.298565,234.322758,0.108333,1.192152
171,0.129166,0.275124,240,3.412664,24.846298,0.904167,0.469481
172,0.220815,0.353437,240,4.235946,30.118951,0.887500,0.624764
173,0.200517,0.308516,240,2.414197,19.990598,0.970833,0.649939
174,0.132408,0.306091,240,4.693106,33.593456,0.858333,0.432579
175,0.121500,0.297206,240,2.339601,22.240389,0.945833,0.408807
176,0.131390,0.312566,240,1.852999,18.445816,0.975000,0.420359
177,0.153315,0.354233,240,2.209039,19.380646,0.962500,0.432808
178,0.206108,0.328846,240,6.532301,38.839683,0.770833,0.626761
179,0.144429,0.332482,240,1.824822,18.411738,0.962500,0.434397
180,0.129690,0.211133,240,4.923300,39.932018,0.854167,0.614254
181,0.273036,0.285670,240,75.953196,146.270165,0.045833,0.955774
182,0.267877,0.325615,240,16.646501,58.060505,0.533333,0.822678
183,0.255496,0.323365,240,5.150444,35.709395,0.887500,0.790115
184,0.150811,0.282245,240,4.374405,30.780198,0.875000,0.534326
185,0.137501,0.191828,240,7.321863,44.634778,0.741667,0.716794
186,0.277973,0.212982,240,150.323396,260.524905,0.025000,1.305148
187,0.249032,0.286423,240,16.458881,74.025390,0.445833,0.869455
188,0.175286,0.326798,240,3.558473,26.863314,0.929167,0.536375
189,0.138265,0.188182,240,17.210163,82.140437,0.579167,0.734738
190,0.179404,0.281350,240,5.802653,30.573849,0.825000,0.637654
191,0.153435,0.285886,240,2.654378,23.545978,0.962500,0.536699
192,0.125477,0.318524,240,2.640851,20.268255,0.962500,0.393934
193,0.176594,0.224787,240,11.876576,55.357272,0.650000,0.785606
194,0.160970,0.226626,240,14.702554,63.186791,0.554167,0.710290
195,0.184506,0.205007,240,17.046552,56.836616,0.500000,0.899996
196,0.190440,0.339973,240,3.071896,32.922159,0.912500,0.560162
197,0.145661,0.211541,240,6.545127,42.757821,0.758333,0.688571
198,0.187990,0.313945,240,2.833762,29.010655,0.937500,0.598797
199,0.230133,0.200312,240,48.793491,132.890582,0.237500,1.148874
200,0.232273,0.197769,240,113.059857,350.094276,0.233333,1.174467
201,0.145849,0.222615,240,25.105907,95.556747,0.458333,0.655163
202,0.157011,0.323996,240,2.423860,17.485596,0.966667,0.484608
203,0.145709,0.314766,240,1.729602,23.810058,0.966667,0.462911
204,0.274340,0.316509,240,16.027325,67.895094,0.516667,0.866768
205,0.233043,0.334521,240,5.335351,28.048844,0.870833,0.696649
206,0.206363,0.304829,240,5.097643,25.340092,0.829167,0.676978
207,0.173723,0.196615,240,13.251449,41.951848,0.566667,0.883567
208,0.238169,0.302984,240,12.160275,48.907222,0.562500,0.786077
209,0.246681,0.204645,240,150.434072,309.075988,0.041667,1.205409
210,0.222036,0.326420,240,4.094604,28.621508,0.895833,0.680216
211,0.140647,0.351820,240,2.879252,26.106624,0.916667,0.399770
212,0.175114,0.258659,240,9.866060,53.138502,0.700000,0.677007
213,0.148913,0.196913,240,7.547996,39.567557,0.745833,0.756238
214,0.191232,0.325367,240,8.828777,43.568487,0.670833,0.587742
215,0.164873,0.203741,240,12.116487,78.856251,0.604167,0.809227
216,0.162203,0.287057,240,5.772378,31.356584,0.804167,0.565056
217,0.187716,0.236076,240,9.195917,44.981093,0.687500,0.795149
218,0.210554,0.359886,240,3.479591,29.182442,0.933333,0.585058
219,0.233444,0.269145,240,19.878408,81.685034,0.508333,0.867354
220,0.217606,0.299557,240,7.252520,50.263362,0.791667,0.726427
221,0.178662,0.257330,240,6.888542,41.657382,0.758333,0.694294
222,0.223991,0.300282,240,6.616020,35.644559,0.808333,0.745935
223,0.183222,0.271780,240,4.280939,23.245257,0.870833,0.674155
224,0.224377,0.264756,240,8.663565,36.195398,0.691667,0.847486
225,0.244244,0.303914,240,32.025803,83.667502,0.362500,0.803663
226,0.263441,0.294324,240,18.265142,58.749426,0.466667,0.895069
227,0.205777,0.350834,240,2.257770,18.593829,0.950000,0.586536
228,0.267819,0.252460,240,133.467954,220.228666,0.062500,1.060836
229,0.158254,0.197693,240,17.771471,75.734653,0.554167,0.800505
230,0.166535,0.289404,240,3.652636,29.424133,0.900000,0.575441
231,0.240681,0.295459,240,15.537363,48.047559,0.412500,0.814598
232,0.203454,0.190664,240,186.811306,394.839907,0.041667,1.067079
233,0.189708,0.310811,240,3.211553,26.962452,0.929167,0.610362
234,0.225627,0.205748,240,67.905657,121.803140,0.050000,1.096621
235,0.257253,0.192461,240,215.720084,493.672109,0.037500,1.336651
236,0.176711,0.199129,240,38.755000,102.278436,0.362500,0.887421
237,0.155029,0.230890,240,4.219965,29.078313,0.875000,0.671443
238,0.262761,0.277630,240,29.274106,81.895112,0.370833,0.946444
239,0.177378,0.315206,240,3.558803,31.867306,0.912500,0.562738
240,0.244040,0.308208,240,10.729400,44.911128,0.650000,0.791803
241,0.230048,0.261475,240,24.683599,75.532999,0.350000,0.879809
242,0.218042,0.265318,240,9.161600,49.161461,0.708333,0.821815
243,0.135048,0.273062,240,3.011286,28.967848,0.937500,0.494570
244,0.241558,0.208951,240,70.191512,143.313086,0.079167,1.156049
245,0.155591,0.348799,240,2.721189,36.938848,0.945833,0.446075
246,0.204267,0.219304,240,14.146562,55.979923,0.525000,0.931431
247,0.252997,0.240000,240,94.230544,151.729354,0.016667,1.054152
248,0.221890,0.243519,240,31.382298,90.375855,0.262500,0.911181
249,0.158752,0.318172,240,3.600131,22.874359,0.920833,0.498952
250,0.218304,0.342307,240,5.545409,27.149870,0.812500,0.637744
251,0.128049,0.347203,240,1.687012,13.554821,0.979167,0.368802
252,0.200597,0.296980,240,5.594375,24.921035,0.825000,0.675456
253,0.147050,0.301283,240,2.570101,22.470246,0.945833,0.488081
254,0.146796,0.195753,240,12.184464,53.190197,0.558333,0.749907
255,0.178707,0.252397,240,7.983231,47.968842,0.745833,0.708040
256,0.135456,0.263499,240,4.353484,38.946256,0.870833,0.514065
257,0.204735,0.337791,240,6.672645,31.967944,0.779167,0.606100
258,0.126481,0.300247,240,1.670473,19.311056,0.966667,0.421258
259,0.221698,0.348161,240,6.717155,35.871217,0.758333,0.636769
260,0.194913,0.357815,240,2.057481,15.371323,0.987500,0.544732
261,0.271394,0.357073,240,21.282066,97.854007,0.566667,0.760051
262,0.199498,0.237714,240,12.759039,49.917405,0.541667,0.839236
263,0.125034,0.276272,240,2.883753,26.111072,0.925000,0.452578
264,0.155156,0.277314,240,4.810644,42.502448,0.854167,0.559495
265,0.143840,0.309843,240,1.935132,22.995664,0.962500,0.464236
266,0.161459,0.181808,240,15.430982,59.486222,0.504167,0.888074
267,0.245257,0.260461,240,107.995917,207.278197,0.095833,0.941628
268,0.134935,0.231838,240,2.224378,14.060510,0.991667,0.582023
269,0.169428,0.184892,240,19.841563,69.677105,0.404167,0.916361
270,0.178146,0.283731,240,3.889116,23.961495,0.900000,0.627871
271,0.166531,0.274721,240,5.308722,32.015459,0.829167,0.606181
272,0.195120,0.286801,240,4.652640,29.586518,0.841667,0.680332
273,0.196317,0.292803,240,3.429805,35.661121,0.916667,0.670475
274,0.230327,0.283022,240,21.716270,72.096505,0.433333,0.813813
275,0.138166,0.246035,240,3.504774,32.240085,0.929167,0.561569
276,0.243058,0.340229,240,12.631259,37.897832,0.545833,0.714397
277,0.237081,0.304134,240,5.466585,23.280249,0.825000,0.779529
278,0.186203,0.295396,240,3.091390,19.982625,0.945833,0.630349
279,0.231958,0.184229,240,148.208491,330.039978,0.037500,1.259075
280,0.260799,0.236640,240,43.287217,106.714074,0.312500,1.102092
281,0.199163,0.354108,240,2.937936,17.992626,0.958333,0.562436
282,0.173351,0.188532,240,12.130618,53.214489,0.604167,0.919479
283,0.159017,0.300415,240,2.369500,26.861692,0.958333,0.529326
284,0.253260,0.218608,240,82.647826,136.396757,0.075000,1.158509
285,0.135954,0.300009,240,2.981651,23.289088,0.933333,0.453168
286,0.223190,0.329800,240,8.383429,44.551976,0.695833,0.676743
287,0.150422,0.310753,240,3.315736,32.771119,0.925000,0.484056
288,0.269789,0.359555,240,3.438664,22.190804,0.933333,0.750341
289,0.154011,0.221506,240,16.568221,87.289601,0.529167,0.695293
290,0.164474,0.317472,240,2.952834,18.971028,0.945833,0.518075
291,0.217214,0.259415,240,10.547178,61.348887,0.691667,0.837321
292,0.158662,0.350076,240,2.038800,15.558048,0.987500,0.453222
293,0.133647,0.187036,240,6.765593,32.554083,0.737500,0.714556
294,0.259893,0.194356,240,100.965422,250.508474,0.150000,1.337200
295,0.138385,0.314223,240,2.918464,29.827779,0.933333,0.440403
296,0.208417,0.294401,240,9.740256,38.887428,0.679167,0.707936
297,0.139895,0.258790,240,6.505990,49.400585,0.808333,0.540574
298,0.253801,0.201007,240,97.458551,217.438486,0.045833,1.262648
299,0.153563,0.322923,240,2.276595,14.420829,0.979167,0.475542
300,0.244225,0.245804,240,27.671315,97.605224,0.316667,0.993577
