entity,arrival_time,service_time,service_start,departure_time,waiting_time,time_in_system
1,   14.371634,    3.302636,   14.371634,   17.674270,    0.000000,    3.302636
2,   14.857304,    1.882669,   17.674270,   19.556939,    2.816966,    4.699635
3,   18.670311,    6.134490,   19.556939,   25.691429,    0.886628,    7.021118
4,   23.063225,    3.960554,   25.691429,   29.651983,    2.628204,    6.588758
5,   31.054530,    1.151250,   31.054530,   32.205779,    0.000000,    1.151250
6,   34.626525,    3.225739,   34.626525,   37.852265,    0.000000,    3.225739
7,   43.278364,    2.938339,   43.278364,   46.216703,    0.000000,    2.938339
8,   43.321291,    8.434984,   46.216703,   54.651687,    2.895412,   11.330396
9,   47.435626,    3.420291,   54.651687,   58.071978,    7.216060,   10.636351
10,   49.978113,    0.816263,   58.071978,   58.888241,    8.093864,    8.910128
11,   52.305585,    7.283304,   58.888241,   66.171545,    6.582656,   13.865960
12,   56.173122,    4.760621,   66.171545,   70.932166,    9.998423,   14.759044
13,   62.077242,    1.089310,   70.932166,   72.021476,    8.854924,    9.944235
14,   66.985247,   16.955704,   72.021476,   88.977181,    5.036230,   21.991934
15,   67.048856,    1.322742,   88.977181,   90.299922,   21.928325,   23.251067
16,   69.814319,    8.878004,   90.299922,   99.177926,   20.485603,   29.363607
17,   92.830938,    0.168938,   99.177926,   99.346864,    6.346988,    6.515926
18,   98.316642,   17.212784,   99.346864,  116.559648,    1.030222,   18.243006
19,   98.431649,    2.789400,  116.559648,  119.349047,   18.127999,   20.917398
20,  104.270482,    0.438891,  119.349047,  119.787939,   15.078565,   15.517457
21,  107.187909,    0.169309,  119.787939,  119.957248,   12.600030,   12.769339
22,  108.621434,    3.800148,  119.957248,  123.757396,   11.335814,   15.135962
23,  114.785417,    0.071798,  123.757396,  123.829194,    8.971979,    9.043777
24,  122.623760,    0.593095,  123.829194,  124.422289,    1.205435,    1.798530
25,  126.875150,    4.617929,  126.875150,  131.493079,    0.000000,    4.617929
26,  129.346547,    0.865768,  131.493079,  132.358846,    2.146532,    3.012299
27,  129.906398,    0.673176,  132.358846,  133.032022,    2.452449,    3.125625
28,  133.052358,    0.809675,  133.052358,  133.862033,    0.000000,    0.809675
29,  134.061988,    2.311466,  134.061988,  136.373454,    0.000000,    2.311466
30,  146.670439,   17.540315,  146.670439,  164.210753,    0.000000,   17.540315
31,  147.095834,    0.314877,  164.210753,  164.525630,   17.114920,   17.429797
32,  150.178224,   19.958614,  164.525630,  184.484244,   14.347406,   34.306021
33,  155.379138,    1.808852,  184.484244,  186.293096,   29.105106,   30.913958
34,  156.078327,    8.995264,  186.293096,  195.288360,   30.214769,   39.210033
35,  164.088785,    3.518339,  195.288360,  198.806699,   31.199575,   34.717915
36,  174.179093,    0.414084,  198.806699,  199.220783,   24.627606,   25.041690
37,  176.257699,    5.045033,  199.220783,  204.265817,   22.963085,   28.008118
38,  179.177669,   10.733762,  204.265817,  214.999578,   25.088148,   35.821910
39,  182.489447,    7.204864,  214.999578,  222.204442,   32.510131,   39.714995
40,  194.526113,    1.379710,  222.204442,  223.584152,   27.678330,   29.058039
