scenario,time,event_type,event_entity_id,queue_length,busy_servers
baseline_single_server,0.0,arrival,1,0,1
baseline_single_server,0.115131,departure,1,0,0
baseline_single_server,5.667002,arrival,2,0,1
baseline_single_server,6.815121,departure,2,0,0
baseline_single_server,7.453802,arrival,3,0,1
baseline_single_server,12.586407,departure,3,0,0
baseline_single_server,14.86265,arrival,4,0,1
baseline_single_server,15.27607,departure,4,0,0
baseline_single_server,27.236473,arrival,5,0,1
baseline_single_server,27.373974,departure,5,0,0
baseline_single_server,30.281174,arrival,6,0,1
baseline_single_server,31.651822,arrival,7,1,1
baseline_single_server,31.801235,arrival,8,2,1
baseline_single_server,33.032856,arrival,9,3,1
baseline_single_server,33.48079,departure,6,2,1
baseline_single_server,37.059559,departure,7,1,1
baseline_single_server,38.191497,departure,8,0,1
baseline_single_server,38.863367,arrival,10,1,1
baseline_single_server,42.236082,departure,9,0,1
baseline_single_server,42.265719,departure,10,0,0
baseline_single_server,48.073023,arrival,11,0,1
baseline_single_server,53.517523,departure,11,0,0
baseline_single_server,57.178389,arrival,12,0,1
baseline_single_server,57.946508,departure,12,0,0
baseline_single_server,59.488917,arrival,13,0,1
baseline_single_server,61.354231,departure,13,0,0
baseline_single_server,76.997376,arrival,14,0,1
baseline_single_server,77.459734,departure,14,0,0
baseline_single_server,77.538113,arrival,15,0,1
baseline_single_server,81.745611,departure,15,0,0
baseline_single_server,87.985634,arrival,16,0,1
baseline_single_server,93.932636,departure,16,0,0
baseline_single_server,97.128578,arrival,17,0,1
baseline_single_server,101.397258,arrival,18,1,1
baseline_single_server,104.039895,arrival,19,2,1
baseline_single_server,108.5013,arrival,20,3,1
baseline_single_server,113.56592,departure,17,2,1
baseline_single_server,117.946357,departure,18,1,1
baseline_single_server,118.326083,arrival,21,2,1
baseline_single_server,123.110616,arrival,22,3,1
baseline_single_server,126.938993,departure,19,2,1
baseline_single_server,127.152209,departure,20,1,1
baseline_single_server,128.327841,departure,21,0,1
baseline_single_server,129.880699,departure,22,0,0
baseline_single_server,129.884669,arrival,23,0,1
baseline_single_server,130.346644,arrival,24,1,1
baseline_single_server,130.938165,arrival,25,2,1
baseline_single_server,131.089196,departure,23,1,1
baseline_single_server,132.747574,arrival,26,2,1
baseline_single_server,135.269052,arrival,27,3,1
baseline_single_server,135.6789,departure,24,2,1
baseline_single_server,136.747529,departure,25,1,1
baseline_single_server,137.837512,arrival,28,2,1
baseline_single_server,138.159254,departure,26,1,1
baseline_single_server,142.905729,departure,27,0,1
baseline_single_server,147.175651,departure,28,0,0
baseline_single_server,153.166139,arrival,29,0,1
baseline_single_server,154.20893,arrival,30,1,1
baseline_single_server,155.200108,arrival,31,2,1
baseline_single_server,157.850986,arrival,32,3,1
baseline_single_server,159.102977,departure,29,2,1
baseline_single_server,163.746843,departure,30,1,1
baseline_single_server,167.447171,departure,31,0,1
baseline_single_server,172.692438,departure,32,0,0
baseline_single_server,183.176576,arrival,33,0,1
baseline_single_server,189.977071,departure,33,0,0
baseline_single_server,193.457503,arrival,34,0,1
baseline_single_server,193.605806,departure,34,0,0
baseline_single_server,194.902665,arrival,35,0,1
baseline_single_server,196.319124,departure,35,0,0
baseline_single_server,197.00821,arrival,36,0,1
baseline_single_server,198.324694,arrival,37,1,1
baseline_single_server,209.938266,arrival,38,2,1
baseline_single_server,210.022398,departure,36,1,1
baseline_single_server,212.037523,arrival,39,2,1
baseline_single_server,214.835144,arrival,40,3,1
baseline_single_server,214.865503,departure,37,2,1
baseline_single_server,217.656695,departure,38,1,1
baseline_single_server,219.05543,departure,39,0,1
baseline_single_server,220.342682,departure,40,0,0
baseline_single_server,228.500676,arrival,41,0,1
baseline_single_server,229.886207,departure,41,0,0
baseline_single_server,233.07898,arrival,42,0,1
baseline_single_server,237.959423,arrival,43,1,1
baseline_single_server,240.791795,arrival,44,2,1
baseline_single_server,242.1673,arrival,45,3,1
baseline_single_server,243.447378,departure,42,2,1
baseline_single_server,246.685485,departure,43,1,1
baseline_single_server,247.118715,departure,44,0,1
baseline_single_server,247.33809,departure,45,0,0
baseline_single_server,275.537419,arrival,46,0,1
baseline_single_server,276.182639,arrival,47,1,1
baseline_single_server,280.02548,departure,46,0,1
baseline_single_server,282.518472,departure,47,0,0
baseline_single_server,284.908188,arrival,48,0,1
baseline_single_server,285.272829,arrival,49,1,1
baseline_single_server,287.092965,departure,48,0,1
baseline_single_server,290.516329,departure,49,0,0
baseline_single_server,316.118806,arrival,50,0,1
baseline_single_server,325.081069,departure,50,0,0
baseline_single_server,335.803061,arrival,51,0,1
baseline_single_server,335.867213,arrival,52,1,1
baseline_single_server,341.601001,departure,51,0,1
baseline_single_server,342.227177,arrival,53,1,1
baseline_single_server,343.951461,arrival,54,2,1
baseline_single_server,345.100838,departure,52,1,1
baseline_single_server,345.638472,departure,53,0,1
baseline_single_server,348.231718,departure,54,0,0
baseline_single_server,349.642164,arrival,55,0,1
baseline_single_server,353.001222,arrival,56,1,1
baseline_single_server,363.619983,departure,55,0,1
baseline_single_server,364.591713,arrival,57,1,1
baseline_single_server,365.009508,departure,56,0,1
baseline_single_server,365.904091,departure,57,0,0
baseline_single_server,368.449047,arrival,58,0,1
baseline_single_server,377.740946,departure,58,0,0
baseline_single_server,381.99115,arrival,59,0,1
baseline_single_server,383.960348,arrival,60,1,1
baseline_single_server,386.621775,departure,59,0,1
baseline_single_server,387.375706,departure,60,0,0
baseline_single_server,389.176857,arrival,61,0,1
baseline_single_server,392.700401,departure,61,0,0
baseline_single_server,397.163708,arrival,62,0,1
baseline_single_server,400.59905,departure,62,0,0
baseline_single_server,405.540951,arrival,63,0,1
baseline_single_server,405.544129,arrival,64,1,1
baseline_single_server,405.653401,arrival,65,2,1
baseline_single_server,407.321829,departure,63,1,1
baseline_single_server,416.911233,departure,64,0,1
baseline_single_server,420.355986,arrival,66,1,1
baseline_single_server,422.397472,arrival,67,2,1
baseline_single_server,422.728975,arrival,68,3,1
baseline_single_server,425.010335,departure,65,2,1
baseline_single_server,434.416825,arrival,69,3,1
baseline_single_server,434.9143,arrival,70,4,1
baseline_single_server,438.358107,departure,66,3,1
baseline_single_server,438.611597,arrival,71,4,1
baseline_single_server,438.684127,departure,67,3,1
baseline_single_server,445.282885,departure,68,2,1
baseline_single_server,445.907498,departure,69,1,1
baseline_single_server,446.553978,arrival,72,2,1
baseline_single_server,448.838839,departure,70,1,1
baseline_single_server,450.238666,departure,71,0,1
baseline_single_server,450.987708,arrival,73,1,1
baseline_single_server,454.044108,arrival,74,2,1
baseline_single_server,455.366337,arrival,75,3,1
baseline_single_server,459.598274,departure,72,2,1
baseline_single_server,459.671891,arrival,76,3,1
baseline_single_server,460.919577,arrival,77,4,1
baseline_single_server,462.994877,arrival,78,5,1
baseline_single_server,465.548629,departure,73,4,1
baseline_single_server,470.318964,departure,74,3,1
baseline_single_server,472.939108,departure,75,2,1
baseline_single_server,476.252433,departure,76,1,1
baseline_single_server,476.838684,departure,77,0,1
baseline_single_server,477.99551,departure,78,0,0
baseline_single_server,492.598455,arrival,79,0,1
baseline_single_server,494.890783,arrival,80,1,1
baseline_single_server,496.343637,arrival,81,2,1
baseline_single_server,496.632462,departure,79,1,1
baseline_single_server,496.967185,departure,80,0,1
baseline_single_server,497.725526,arrival,82,1,1
baseline_single_server,499.169923,arrival,83,2,1
baseline_single_server,501.500084,departure,81,1,1
