scenario,entity_id,arrival_time,service_start,departure_time,service_time,waiting_time,time_in_system,met_service_level
baseline_single_server,1,0.0,0.0,0.115131,0.115131,0.0,0.115131,True
baseline_single_server,2,5.667002,5.667002,6.815121,1.148119,0.0,1.148119,True
baseline_single_server,3,7.453802,7.453802,12.586407,5.132605,0.0,5.132605,True
baseline_single_server,4,14.86265,14.86265,15.27607,0.41342,0.0,0.41342,True
baseline_single_server,5,27.236473,27.236473,27.373974,0.137501,0.0,0.137501,True
baseline_single_server,6,30.281174,30.281174,33.48079,3.199616,0.0,3.199616,True
baseline_single_server,7,31.651822,33.48079,37.059559,3.578769,1.828968,5.407737,True
baseline_single_server,8,31.801235,37.059559,38.191497,1.131938,5.258324,6.390262,True
baseline_single_server,9,33.032856,38.191497,42.236082,4.044585,5.158642,9.203227,True
baseline_single_server,10,38.863367,42.236082,42.265719,0.029636,3.372716,3.402352,True
baseline_single_server,11,48.073023,48.073023,53.517523,5.4445,0.0,5.4445,True
baseline_single_server,12,57.178389,57.178389,57.946508,0.768119,0.0,0.768119,True
baseline_single_server,13,59.488917,59.488917,61.354231,1.865313,0.0,1.865313,True
baseline_single_server,14,76.997376,76.997376,77.459734,0.462358,0.0,0.462358,True
baseline_single_server,15,77.538113,77.538113,81.745611,4.207498,0.0,4.207498,True
baseline_single_server,16,87.985634,87.985634,93.932636,5.947002,0.0,5.947002,True
baseline_single_server,17,97.128578,97.128578,113.56592,16.437342,0.0,16.437342,True
baseline_single_server,18,101.397258,113.56592,117.946357,4.380437,12.168662,16.549099,False
baseline_single_server,19,104.039895,117.946357,126.938993,8.992636,13.906462,22.899098,False
baseline_single_server,20,108.5013,126.938993,127.152209,0.213216,18.437694,18.65091,False
baseline_single_server,21,118.326083,127.152209,128.327841,1.175632,8.826127,10.001758,True
baseline_single_server,22,123.110616,128.327841,129.880699,1.552858,5.217225,6.770083,True
baseline_single_server,23,129.884669,129.884669,131.089196,1.204527,0.0,1.204527,True
baseline_single_server,24,130.346644,131.089196,135.6789,4.589704,0.742552,5.332256,True
baseline_single_server,25,130.938165,135.6789,136.747529,1.06863,4.740734,5.809364,True
baseline_single_server,26,132.747574,136.747529,138.159254,1.411724,3.999955,5.411679,True
baseline_single_server,27,135.269052,138.159254,142.905729,4.746476,2.890201,7.636677,True
baseline_single_server,28,137.837512,142.905729,147.175651,4.269922,5.068217,9.338139,True
baseline_single_server,29,153.166139,153.166139,159.102977,5.936838,0.0,5.936838,True
baseline_single_server,30,154.20893,159.102977,163.746843,4.643866,4.894047,9.537914,True
baseline_single_server,31,155.200108,163.746843,167.447171,3.700328,8.546735,12.247062,True
baseline_single_server,32,157.850986,167.447171,172.692438,5.245267,9.596185,14.841453,True
baseline_single_server,33,183.176576,183.176576,189.977071,6.800495,0.0,6.800495,True
baseline_single_server,34,193.457503,193.457503,193.605806,0.148303,0.0,0.148303,True
baseline_single_server,35,194.902665,194.902665,196.319124,1.416458,0.0,1.416458,True
baseline_single_server,36,197.00821,197.00821,210.022398,13.014188,0.0,13.014188,True
baseline_single_server,37,198.324694,210.022398,214.865503,4.843105,11.697703,16.540809,True
baseline_single_server,38,209.938266,214.865503,217.656695,2.791192,4.927237,7.718429,True
baseline_single_server,39,212.037523,217.656695,219.05543,1.398735,5.619172,7.017907,True
baseline_single_server,40,214.835144,219.05543,220.342682,1.287252,4.220286,5.507538,True
baseline_single_server,41,228.500676,228.500676,229.886207,1.385531,0.0,1.385531,True
baseline_single_server,42,233.07898,233.07898,243.447378,10.368398,0.0,10.368398,True
baseline_single_server,43,237.959423,243.447378,246.685485,3.238107,5.487955,8.726063,True
baseline_single_server,44,240.791795,246.685485,247.118715,0.43323,5.893691,6.32692,True
baseline_single_server,45,242.1673,247.118715,247.33809,0.219375,4.951415,5.17079,True
baseline_single_server,46,275.537419,275.537419,280.02548,4.488061,0.0,4.488061,True
