entity,arrival_time,service_time,service_start,departure_time,waiting_time,time_in_system
1,3.741039,2.875232,3.741039,6.616272,0.000000,2.875232
2,8.304874,0.114741,8.304874,8.419615,0.000000,0.114741
3,8.731477,4.831840,8.731477,13.563318,0.000000,4.831840
4,9.143715,2.323198,13.563318,15.886516,4.419603,6.742801
5,11.159460,1.297265,15.886516,17.183781,4.727055,6.024320
6,12.032198,5.443831,17.183781,22.627612,5.151583,10.595414
7,16.809266,5.028480,22.627612,27.656092,5.818346,10.846826
8,21.154629,0.921231,27.656092,28.577323,6.501463,7.422694
9,30.608001,3.592409,30.608001,34.200410,0.000000,3.592409
10,32.281477,6.449760,34.200410,40.650170,1.918933,8.368692
11,45.864854,0.563146,45.864854,46.427999,0.000000,0.563146
12,47.165805,3.164112,47.165805,50.329918,0.000000,3.164112
13,53.545207,6.349019,53.545207,59.894226,0.000000,6.349019
14,56.137345,2.965379,59.894226,62.859604,3.756880,6.722259
15,58.876480,14.050942,62.859604,76.910547,3.983124,18.034067
16,70.052511,9.332776,76.910547,86.243322,6.858036,16.190812
17,74.564470,12.044070,86.243322,98.287392,11.678852,23.722922
18,75.699701,4.197556,98.287392,102.484948,22.587691,26.785247
19,82.500922,0.672737,102.484948,103.157685,19.984026,20.656763
20,85.249816,25.851779,103.157685,129.009464,17.907869,43.759648
21,92.437305,5.732942,129.009464,134.742406,36.572159,42.305101
22,92.696458,17.940614,134.742406,152.683021,42.045949,59.986563
23,94.509509,0.383502,152.683021,153.066523,58.173512,58.557013
24,95.322403,2.728241,153.066523,155.794764,57.744120,60.472361
25,96.222635,5.674617,155.794764,161.469381,59.572128,65.246746
26,99.788196,10.184551,161.469381,171.653932,61.681185,71.865736
27,113.838666,13.046870,171.653932,184.700802,57.815266,70.862136
28,116.208218,3.659710,184.700802,188.360512,68.492584,72.152294
29,116.231477,4.554336,188.360512,192.914848,72.129035,76.683371
30,118.441395,11.694804,192.914848,204.609651,74.473453,86.168257
31,119.476709,0.919342,204.609651,205.528993,85.132942,86.052284
32,121.689624,10.082002,205.528993,215.610995,83.839369,93.921371
33,124.191040,3.924738,215.610995,219.535733,91.419955,95.344693
34,129.089315,4.677752,219.535733,224.213485,90.446418,95.124170
35,129.915400,2.606121,224.213485,226.819606,94.298085,96.904206
36,133.827154,7.789167,226.819606,234.608773,92.992452,100.781619
37,181.365796,7.997892,234.608773,242.606665,53.242977,61.240869
38,197.691790,4.096148,242.606665,246.702812,44.914875,49.011023
39,198.211010,0.905703,246.702812,247.608516,48.491802,49.397505
40,198.500450,13.851693,247.608516,261.460208,49.108066,62.959759
41,205.151552,1.781498,261.460208,263.241706,56.308656,58.090154
42,230.949189,6.392162,263.241706,269.633868,32.292517,38.684679
43,231.175249,5.319093,269.633868,274.952962,38.458619,43.777713
44,235.345873,5.114159,274.952962,280.067121,39.607089,44.721248
45,235.628322,0.820823,280.067121,280.887944,44.438800,45.259623
46,238.868191,6.346359,280.887944,287.234303,42.019753,48.366112
47,240.804501,7.312276,287.234303,294.546580,46.429803,53.742079
48,241.416722,12.350246,294.546580,306.896825,53.129858,65.480103
49,243.423587,0.013256,306.896825,306.910082,63.473239,63.486495
50,252.448082,0.274871,306.910082,307.184952,54.462000,54.736870
51,259.270807,0.952165,307.184952,308.137118,47.914145,48.866311
