scenario,time,state,absolute_state,stability,noise_sd,window,rolling_variance,rolling_autocorrelation
baseline_destabilization,1,0.0,0.0,0.55,1.0,25,,
baseline_destabilization,2,-0.14409,0.14409,0.551364,1.0,25,,
baseline_destabilization,3,-0.252546,0.252546,0.552727,1.0,25,,
baseline_destabilization,4,-0.251249,0.251249,0.554091,1.0,25,,
baseline_destabilization,5,0.562426,0.562426,0.555455,1.0,25,,
baseline_destabilization,6,0.185581,0.185581,0.556818,1.0,25,,
baseline_destabilization,7,-1.393766,1.393766,0.558182,1.0,25,,
baseline_destabilization,8,-0.447557,0.447557,0.559545,1.0,25,,
baseline_destabilization,9,-0.518376,0.518376,0.560909,1.0,25,,
baseline_destabilization,10,-0.508427,0.508427,0.562273,1.0,25,,
baseline_destabilization,11,-0.170683,0.170683,0.563636,1.0,25,,
baseline_destabilization,12,0.135862,0.135862,0.565,1.0,25,,
baseline_destabilization,13,1.240506,1.240506,0.566364,1.0,25,,
baseline_destabilization,14,1.360905,1.360905,0.567727,1.0,25,,
baseline_destabilization,15,0.884986,0.884986,0.569091,1.0,25,,
baseline_destabilization,16,-0.233477,0.233477,0.570455,1.0,25,,
baseline_destabilization,17,-1.148169,1.148169,0.571818,1.0,25,,
baseline_destabilization,18,-0.411767,0.411767,0.573182,1.0,25,,
baseline_destabilization,19,1.074502,1.074502,0.574545,1.0,25,,
baseline_destabilization,20,0.660472,0.660472,0.575909,1.0,25,,
baseline_destabilization,21,0.274949,0.274949,0.577273,1.0,25,,
baseline_destabilization,22,0.690872,0.690872,0.578636,1.0,25,,
baseline_destabilization,23,-1.05284,1.05284,0.58,1.0,25,,
baseline_destabilization,24,-0.92436,0.92436,0.581364,1.0,25,,
baseline_destabilization,25,-0.048287,0.048287,0.582727,1.0,25,0.543082,0.422364
baseline_destabilization,26,0.8452,0.8452,0.584091,1.0,25,0.572881,0.409841
baseline_destabilization,27,0.254197,0.254197,0.585455,1.0,25,0.573898,0.410408
baseline_destabilization,28,0.525767,0.525767,0.586818,1.0,25,0.579651,0.410102
baseline_destabilization,29,0.55746,0.55746,0.588182,1.0,25,0.5846,0.435576
baseline_destabilization,30,1.110975,1.110975,0.589545,1.0,25,0.617965,0.451438
baseline_destabilization,31,-0.456737,0.456737,0.590909,1.0,25,0.630839,0.434518
baseline_destabilization,32,0.297738,0.297738,0.592273,1.0,25,0.535842,0.393184
baseline_destabilization,33,-1.337772,1.337772,0.593636,1.0,25,0.612594,0.326732
baseline_destabilization,34,-3.41592,3.41592,0.595,1.0,25,1.103568,0.477168
baseline_destabilization,35,-2.644021,2.644021,0.596364,1.0,25,1.377947,0.622835
baseline_destabilization,36,-2.496214,2.496214,0.597727,1.0,25,1.61239,0.688137
baseline_destabilization,37,-0.619447,0.619447,0.599091,1.0,25,1.615945,0.668636
baseline_destabilization,38,0.292316,0.292316,0.600455,1.0,25,1.538052,0.635514
baseline_destabilization,39,-1.043153,1.043153,0.601818,1.0,25,1.44884,0.595374
baseline_destabilization,40,0.21815,0.21815,0.603182,1.0,25,1.39886,0.583828
baseline_destabilization,41,-0.870321,0.870321,0.604545,1.0,25,1.408306,0.578362
baseline_destabilization,42,-0.613579,0.613579,0.605909,1.0,25,1.385812,0.583606
baseline_destabilization,43,-0.66651,0.66651,0.607273,1.0,25,1.389395,0.606928
baseline_destabilization,44,-0.291242,0.291242,0.608636,1.0,25,1.298982,0.58439
baseline_destabilization,45,0.640979,0.640979,0.61,1.0,25,1.297226,0.568166
baseline_destabilization,46,1.030285,1.030285,0.611364,1.0,25,1.364475,0.579435
baseline_destabilization,47,0.981169,0.981169,0.612727,1.0,25,1.394251,0.644817
baseline_destabilization,48,1.252475,1.252475,0.614091,1.0,25,1.479309,0.663203
baseline_destabilization,49,1.249333,1.249333,0.615455,1.0,25,1.554636,0.691993
baseline_destabilization,50,0.143626,0.143626,0.616818,1.0,25,1.558694,0.690214
baseline_destabilization,51,-0.628584,0.628584,0.618182,1.0,25,1.516937,0.681962
baseline_destabilization,52,-0.859405,0.859405,0.619545,1.0,25,1.518716,0.680541
baseline_destabilization,53,-0.034286,0.034286,0.620909,1.0,25,1.492457,0.664937
baseline_destabilization,54,-0.271451,0.271451,0.622273,1.0,25,1.458769,0.655194
baseline_destabilization,55,2.166468,2.166468,0.623636,1.0,25,1.632827,0.631758
baseline_destabilization,56,0.53475,0.53475,0.625,1.0,25,1.660772,0.630877
baseline_destabilization,57,-0.763927,0.763927,0.626364,1.0,25,1.654798,0.641208
baseline_destabilization,58,0.288936,0.288936,0.627727,1.0,25,1.622928,0.646055
baseline_destabilization,59,1.603617,1.603617,0.629091,1.0,25,1.309308,0.525595
baseline_destabilization,60,1.5167,1.5167,0.630455,1.0,25,1.104436,0.426296
baseline_destabilization,61,1.794096,1.794096,0.631818,1.0,25,0.908765,0.448811
baseline_destabilization,62,2.562334,2.562334,0.633182,1.0,25,1.074686,0.530786
baseline_destabilization,63,1.53189,1.53189,0.634545,1.0,25,1.124063,0.577961
baseline_destabilization,64,-0.448816,0.448816,0.635909,1.0,25,1.063799,0.523473
baseline_destabilization,65,-0.818095,0.818095,0.637273,1.0,25,1.129593,0.550174
baseline_destabilization,66,0.430431,0.430431,0.638636,1.0,25,1.055105,0.508151
baseline_destabilization,67,-1.168203,1.168203,0.64,1.0,25,1.118566,0.457726
baseline_destabilization,68,-0.715711,0.715711,0.641364,1.0,25,1.123327,0.480484
baseline_destabilization,69,-0.20677,0.20677,0.642727,1.0,25,1.11826,0.505145
baseline_destabilization,70,-0.448771,0.448771,0.644091,1.0,25,1.15046,0.516023
baseline_destabilization,71,0.433971,0.433971,0.645455,1.0,25,1.134798,0.500933
baseline_destabilization,72,0.86148,0.86148,0.646818,1.0,25,1.129625,0.490536
baseline_destabilization,73,2.879804,2.879804,0.648182,1.0,25,1.351124,0.467201
baseline_destabilization,74,2.490531,2.490531,0.649545,1.0,25,1.493839,0.55785
baseline_destabilization,75,1.011706,1.011706,0.650909,1.0,25,1.497117,0.549689
baseline_destabilization,76,0.098111,0.098111,0.652273,1.0,25,1.446886,0.515985
baseline_destabilization,77,-0.767452,0.767452,0.653636,1.0,25,1.436203,0.511648
baseline_destabilization,78,0.449592,0.449592,0.655,1.0,25,1.4207,0.495696
baseline_destabilization,79,-0.271737,0.271737,0.656364,1.0,25,1.420721,0.56334
baseline_destabilization,80,-0.248989,0.248989,0.657727,1.0,25,1.339149,0.593487
baseline_destabilization,81,0.585196,0.585196,0.659091,1.0,25,1.339375,0.603259
baseline_destabilization,82,-0.336968,0.336968,0.660455,1.0,25,1.30144,0.600111
baseline_destabilization,83,-0.516669,0.516669,0.661818,1.0,25,1.343199,0.633268
baseline_destabilization,84,-2.183932,2.183932,0.663182,1.0,25,1.566178,0.626711
baseline_destabilization,85,-2.533801,2.533801,0.664545,1.0,25,1.82544,0.677608
baseline_destabilization,86,-2.255017,2.255017,0.665909,1.0,25,1.936118,0.699268
baseline_destabilization,87,-1.088951,1.088951,0.667273,1.0,25,1.694783,0.673971
baseline_destabilization,88,0.465381,0.465381,0.668636,1.0,25,1.592624,0.683553
baseline_destabilization,89,0.293339,0.293339,0.67,1.0,25,1.597545,0.685449
baseline_destabilization,90,0.458301,0.458301,0.671364,1.0,25,1.590848,0.703958
baseline_destabilization,91,0.476281,0.476281,0.672727,1.0,25,1.592926,0.736274
