scenario,time,state,absolute_state,stability,rolling_variance
baseline_destabilization,1,0.000000,0.000000,0.550000,-1.000000
baseline_destabilization,2,0.998885,0.998885,0.551364,-1.000000
baseline_destabilization,3,0.457776,0.457776,0.552727,-1.000000
baseline_destabilization,4,-0.736326,0.736326,0.554091,-1.000000
baseline_destabilization,5,-0.221167,0.221167,0.555455,-1.000000
baseline_destabilization,6,0.849087,0.849087,0.556818,-1.000000
baseline_destabilization,7,0.194298,0.194298,0.558182,-1.000000
baseline_destabilization,8,-0.837108,0.837108,0.559545,-1.000000
baseline_destabilization,9,-0.100571,0.100571,0.560909,-1.000000
baseline_destabilization,10,0.854433,0.854433,0.562273,-1.000000
baseline_destabilization,11,0.026586,0.026586,0.563636,-1.000000
baseline_destabilization,12,-0.852990,0.852990,0.565000,-1.000000
baseline_destabilization,13,0.053877,0.053877,0.566364,-1.000000
baseline_destabilization,14,0.847886,0.847886,0.567727,-1.000000
baseline_destabilization,15,-0.131641,0.131641,0.569091,-1.000000
baseline_destabilization,16,-0.834392,0.834392,0.570455,-1.000000
baseline_destabilization,17,0.208753,0.208753,0.571818,-1.000000
baseline_destabilization,18,0.814176,0.814176,0.573182,-1.000000
baseline_destabilization,19,-0.283683,0.283683,0.574545,-1.000000
baseline_destabilization,20,-0.786930,0.786930,0.575909,-1.000000
baseline_destabilization,21,0.356079,0.356079,0.577273,-1.000000
baseline_destabilization,22,0.753065,0.753065,0.578636,-1.000000
baseline_destabilization,23,-0.425236,0.425236,0.580000,-1.000000
baseline_destabilization,24,-0.712832,0.712832,0.581364,-1.000000
baseline_destabilization,25,0.490599,0.490599,0.582727,0.381367
baseline_destabilization,26,0.666609,0.666609,0.584091,0.396958
baseline_destabilization,27,-0.551610,0.551610,0.585455,0.372579
baseline_destabilization,28,-0.614797,0.614797,0.586818,0.378033
baseline_destabilization,29,0.607758,0.607758,0.588182,0.372184
baseline_destabilization,30,0.557856,0.557856,0.589545,0.381140
baseline_destabilization,31,-0.658574,0.658574,0.590909,0.371160
baseline_destabilization,32,-0.496284,0.496284,0.592273,0.378229
baseline_destabilization,33,0.703637,0.703637,0.593636,0.371091
baseline_destabilization,34,0.430617,0.430617,0.595000,0.377055
baseline_destabilization,35,-0.742573,0.742573,0.596364,0.370807
baseline_destabilization,36,-0.361428,0.361428,0.597727,0.375227
baseline_destabilization,37,0.775065,0.775065,0.599091,0.370744
baseline_destabilization,38,0.289317,0.289317,0.600455,0.373496
baseline_destabilization,39,-0.800848,0.800848,0.601818,0.370688
baseline_destabilization,40,-0.214907,0.214907,0.603182,0.371671
baseline_destabilization,41,0.819719,0.819719,0.604545,0.370679
baseline_destabilization,42,0.138841,0.138841,0.605909,0.369851
baseline_destabilization,43,-0.831532,0.831532,0.607273,0.370661
baseline_destabilization,44,-0.061773,0.061773,0.608636,0.368045
baseline_destabilization,45,0.836202,0.836202,0.610000,0.370612
baseline_destabilization,46,-0.015633,0.015633,0.611364,0.366290
baseline_destabilization,47,-0.833707,0.833707,0.612727,0.370499
baseline_destabilization,48,0.092716,0.092716,0.614091,0.364612
baseline_destabilization,49,0.824083,0.824083,0.615455,0.370297
baseline_destabilization,50,-0.168816,0.168816,0.616818,0.363038
baseline_destabilization,51,-0.807432,0.807432,0.618182,0.369982
baseline_destabilization,52,0.243283,0.243283,0.619545,0.361589
baseline_destabilization,53,0.783911,0.783911,0.620909,0.369533
baseline_destabilization,54,-0.315484,0.315484,0.622273,0.360283
baseline_destabilization,55,-0.753739,0.753739,0.623636,0.368935
baseline_destabilization,56,0.384806,0.384806,0.625000,0.359133
baseline_destabilization,57,0.717189,0.717189,0.626364,0.368180
baseline_destabilization,58,-0.450662,0.450662,0.627727,0.358146
baseline_destabilization,59,-0.674591,0.674591,0.629091,0.367261
baseline_destabilization,60,0.512497,0.512497,0.630455,0.357323
baseline_destabilization,61,0.626322,0.626322,0.631818,0.366180
baseline_destabilization,62,-0.569790,0.569790,0.633182,0.356661
baseline_destabilization,63,-0.572811,0.572811,0.634545,0.364945
baseline_destabilization,64,0.622060,0.622060,0.635909,0.356151
baseline_destabilization,65,0.514528,0.514528,0.637273,0.363566
baseline_destabilization,66,-0.668874,0.668874,0.638636,0.355777
baseline_destabilization,67,-0.451984,0.451984,0.640000,0.362061
