time,state,absolute_state,stability,deterministic_noise
1,    0.000000,    0.000000,    0.550000,    0.998885
2,   -0.094335,    0.094335,    0.551364,   -0.094335
3,   -1.042117,    1.042117,    0.552727,   -0.989976
4,   -0.389599,    0.389599,    0.554091,    0.187828
5,    0.755832,    0.755832,    0.555455,    0.972237
6,    0.141215,    0.141215,    0.556818,   -0.279647
7,   -0.867004,    0.867004,    0.558182,   -0.945827
8,   -0.116157,    0.116157,    0.559545,    0.368971
9,    0.845828,    0.845828,    0.560909,    0.910981
10,    0.020582,    0.020582,    0.562273,   -0.455004
11,   -0.856410,    0.856410,    0.563636,   -0.868011
12,    0.053107,    0.053107,    0.565000,    0.536979
13,    0.847376,    0.847376,    0.566364,    0.817298
14,   -0.133086,    0.133086,    0.567727,   -0.614165
15,   -0.835035,    0.835035,    0.569091,   -0.759297
16,    0.209524,    0.209524,    0.570455,    0.685873
17,    0.814332,    0.814332,    0.571818,    0.694523
18,   -0.284704,    0.284704,    0.573182,   -0.751464
19,   -0.787129,    0.787129,    0.574545,   -0.623554
20,    0.357037,    0.357037,    0.575909,    0.810352
21,    0.753132,    0.753132,    0.577273,    0.547024
22,   -0.426224,    0.426224,    0.578636,   -0.862013
23,   -0.712825,    0.712825,    0.580000,   -0.465616
24,    0.491576,    0.491576,    0.581364,    0.905986
25,    0.666509,    0.666509,    0.582727,    0.380054
26,   -0.552577,    0.552577,    0.584091,   -0.941879
27,   -0.614612,    0.614612,    0.585455,   -0.291103
28,    0.608705,    0.608705,    0.586818,    0.969370
29,    0.557585,    0.557585,    0.588182,    0.199555
30,   -0.659495,    0.659495,    0.589545,   -0.988217
31,   -0.495930,    0.495930,    0.590909,   -0.106228
32,    0.704523,    0.704523,    0.592273,    0.998249
33,    0.430184,    0.430184,    0.593636,    0.011953
34,   -0.743418,    0.743418,    0.595000,   -0.999378
35,   -0.360919,    0.360919,    0.596364,    0.082428
36,    0.775862,    0.775862,    0.597727,    0.991593
37,    0.288737,    0.288737,    0.599091,   -0.176074
38,   -0.801591,    0.801591,    0.600455,   -0.974965
39,   -0.214262,    0.214262,    0.601818,    0.268150
40,    0.820402,    0.820402,    0.603182,    0.949640
41,    0.138136,    0.138136,    0.604545,   -0.357835
42,   -0.832149,    0.832149,    0.605909,   -0.915846
43,   -0.061014,    0.061014,    0.607273,    0.444327
44,    0.836749,    0.836749,    0.608636,    0.873884
45,   -0.016440,    0.016440,    0.610000,   -0.526857
46,   -0.834179,    0.834179,    0.611364,   -0.824128
47,    0.093564,    0.093564,    0.612727,    0.604688
48,    0.824477,    0.824477,    0.614091,    0.767021
49,   -0.169697,    0.169697,    0.615455,   -0.677125
50,   -0.807745,    0.807745,    0.616818,   -0.703073
51,    0.244190,    0.244190,    0.618182,    0.743524
52,    0.784141,    0.784141,    0.619545,    0.632854
53,   -0.316410,    0.316410,    0.620909,   -0.803291
54,   -0.753885,    0.753885,    0.622273,   -0.556991
55,    0.385743,    0.385743,    0.623636,    0.855893
56,    0.717250,    0.717250,    0.625000,    0.476161
57,   -0.451602,    0.451602,    0.626364,   -0.900862
58,   -0.674566,    0.674566,    0.627727,   -0.391083
59,    0.513432,    0.513432,    0.629091,    0.937796
60,    0.626213,    0.626213,    0.630455,    0.302518
61,   -0.570713,    0.570713,    0.631818,   -0.966365
62,   -0.572619,    0.572619,    0.633182,   -0.211254
63,    0.622964,    0.622964,    0.634545,    0.986316
64,    0.514254,    0.514254,    0.635909,    0.118106
65,   -0.669750,    0.669750,    0.637273,   -0.997470
66,   -0.451631,    0.451631,    0.638636,   -0.023905
67,    0.710684,    0.710684,    0.640000,    0.999728
68,    0.385297,    0.385297,    0.641364,   -0.070510
69,   -0.745428,    0.745428,    0.642727,   -0.993069
70,   -0.315828,    0.315828,    0.644091,    0.164295
71,    0.773700,    0.773700,    0.645455,    0.977553
72,    0.243828,    0.243828,    0.646818,   -0.256616
73,   -0.795273,    0.795273,    0.648182,   -0.953318
74,   -0.169919,    0.169919,    0.649545,    0.346647
75,    0.809979,    0.809979,    0.650909,    0.920581
76,    0.094740,    0.094740,    0.652273,   -0.433587
77,   -0.817707,    0.817707,    0.653636,   -0.879632
78,   -0.018938,    0.018938,    0.655000,    0.516660
79,    0.818409,    0.818409,    0.656364,    0.830839
80,   -0.056835,    0.056835,    0.657727,   -0.595124
81,   -0.812095,    0.812095,    0.659091,   -0.774635
82,    0.131929,    0.131929,    0.660455,    0.668281
83,    0.798836,    0.798836,    0.661818,    0.711523
84,   -0.205704,    0.205704,    0.663182,   -0.735477
85,   -0.778764,    0.778764,    0.664545,   -0.642064
86,    0.277528,    0.277528,    0.665909,    0.796114
87,    0.752066,    0.752066,    0.667273,    0.566879
88,   -0.346791,    0.346791,    0.668636,   -0.849650
89,   -0.718988,    0.718988,    0.670000,   -0.486638
90,    0.412906,    0.412906,    0.671364,    0.895608
91,    0.679829,    0.679829,    0.672727,    0.402056
92,   -0.475312,    0.475312,    0.674091,   -0.933579
93,   -0.634941,    0.634941,    0.675455,   -0.313889
94,    0.533483,    0.533483,    0.676818,    0.963222
95,    0.584721,    0.584721,    0.678182,    0.222922
96,   -0.586931,    0.586931,    0.679545,   -0.984275
97,   -0.529614,    0.529614,    0.680909,   -0.129967
98,    0.635208,    0.635208,    0.682273,    0.996549
99,    0.470104,    0.470104,    0.683636,    0.035853
100,   -0.677914,    0.677914,    0.685000,   -0.999935
101,   -0.406714,    0.406714,    0.686364,    0.058581
102,    0.714694,    0.714694,    0.687727,    0.994403
