time,state,growth_rate,carrying_capacity,extraction_pressure,recovery_delay,feedback_strength,shock_intensity
1,   10.000000,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
2,   10.670000,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
3,   11.365771,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
4,   12.087544,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
5,   12.835472,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
6,   13.609623,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
7,   14.423375,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
8,   15.277549,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
9,   16.172842,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
10,   17.109809,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
11,   18.088845,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
12,   19.110434,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
13,   20.174892,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
14,   21.282346,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
15,   22.432721,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
16,   23.625716,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
17,   24.860800,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
18,   26.137194,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
19,   27.453864,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
20,   28.809509,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
21,   30.202556,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
22,   31.631158,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
23,   33.093191,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
24,   34.586266,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
25,   36.107733,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
26,   37.654695,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
27,   39.224026,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
28,   40.812391,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
29,   42.416277,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
30,   44.032015,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
31,   45.655815,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
32,   47.283802,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
33,   48.912053,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
34,   50.536630,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
35,   52.153624,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
36,   53.759190,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
37,   55.349581,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
38,   56.921188,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
39,   58.470569,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
40,   51.994476,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
41,   53.766616,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
42,   55.518092,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
43,   57.244204,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
44,   58.940528,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
45,   60.442958,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
46,   61.919972,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
47,   63.368666,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
48,   64.786356,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
49,   66.170599,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
50,   67.516002,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
51,   68.821053,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
52,   70.084515,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
53,   71.305419,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
54,   72.483059,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
55,   73.616912,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
56,   74.706703,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
57,   75.752389,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
