run_id,growth_rate,carrying_capacity,extraction_pressure,recovery_delay,feedback_strength,shock_intensity,final_state,maximum_state,minimum_state,mean_state
1,0.117006,107.385012,0.047775,5,0.034187,22.553653,93.301822,93.301822,10.000000,61.463968
2,0.085855,89.517215,0.017494,8,0.034266,1.122935,105.451820,105.451820,10.000000,69.036358
3,0.051522,123.477074,0.005695,11,0.039391,18.097959,173.216681,173.216681,10.000000,82.131523
4,0.086376,134.112774,0.013446,1,0.040080,5.074418,175.078373,175.078373,10.000000,117.111750
5,0.101102,66.235136,0.009570,5,0.007385,19.448520,63.934974,63.934974,10.000000,45.420826
6,0.107446,132.778730,0.015747,11,0.008068,9.162827,121.977470,121.977470,10.000000,79.482398
7,0.091905,135.076745,0.058535,4,0.015052,22.273692,43.623609,43.623609,10.000000,24.741527
8,0.056185,60.250410,0.021978,3,0.021693,14.607085,50.493916,50.493916,10.000000,30.272325
9,0.095600,76.265911,0.052997,12,0.032931,7.684061,55.308034,55.308034,10.000000,35.541229
10,0.064514,136.131192,0.049149,11,0.022682,20.969521,24.872959,26.606857,6.195359,16.678279
11,0.070375,120.050376,0.057086,9,0.046581,6.391688,76.603703,76.603703,10.000000,39.986171
12,0.081551,84.374166,0.008657,11,0.043989,7.855854,118.169380,118.169380,10.000000,75.770825
13,0.115037,89.767100,0.020365,9,0.038703,12.898851,103.420685,103.420685,10.000000,73.358299
14,0.042737,111.563377,0.047935,1,0.022298,16.702572,0.000000,16.043414,0.000000,6.441647
15,0.097852,133.279798,0.051595,10,0.046611,23.678989,114.570933,114.570933,10.000000,62.841286
16,0.080120,102.610476,0.044621,2,0.024639,17.782076,66.239488,66.239488,10.000000,37.569914
17,0.078159,107.849908,0.048039,8,0.034646,2.775519,78.563876,78.563876,10.000000,44.354968
18,0.079540,70.334925,0.052099,3,0.038920,10.651440,54.572811,54.572811,10.000000,34.849450
19,0.055657,118.824751,0.040838,6,0.033811,4.808757,73.461949,73.461949,10.000000,37.523125
20,0.100481,123.607706,0.022681,1,0.018584,22.034480,117.132068,117.132068,10.000000,75.478224
21,0.061410,117.982735,0.043375,10,0.044720,23.717725,75.777540,75.777540,10.000000,37.160879
22,0.054373,94.729786,0.041145,12,0.044944,15.859016,62.485323,62.485323,10.000000,32.514099
23,0.054895,126.177420,0.044469,3,0.046737,5.598762,106.564206,106.564206,10.000000,52.443839
24,0.083203,122.961488,0.058422,1,0.006452,22.600344,0.000000,22.233623,0.000000,7.865076
25,0.089950,108.089749,0.059946,7,0.026277,14.010417,54.007560,54.007560,10.000000,31.151825
26,0.094483,90.821823,0.048797,2,0.040208,20.067372,80.188528,80.188528,10.000000,51.453201
27,0.049994,89.944726,0.023625,4,0.028635,20.302991,71.733948,71.733948,10.000000,36.648883
28,0.064644,130.403754,0.021335,5,0.029072,6.894459,133.334292,133.334292,10.000000,69.560883
29,0.112456,117.679844,0.055028,12,0.030770,4.230908,87.816453,87.816453,10.000000,54.455092
30,0.044316,81.768090,0.010274,4,0.032397,16.769447,105.925840,105.925840,10.000000,54.383635
31,0.109999,135.137837,0.018155,10,0.015075,5.108562,130.221670,130.221670,10.000000,85.679551
32,0.041472,68.080007,0.023732,8,0.049183,22.003370,80.948872,80.948872,10.000000,40.925149
33,0.085134,118.481885,0.057248,10,0.017329,23.005216,29.071530,29.683562,7.293392,18.595853
34,0.115208,111.268245,0.007953,11,0.019427,8.122459,121.819212,121.819212,10.000000,85.697986
35,0.119190,113.733313,0.031800,1,0.034066,23.651789,115.595318,115.595318,10.000000,82.574919
36,0.044000,60.319512,0.051365,11,0.040834,8.819623,23.352569,23.352569,10.000000,16.271024
37,0.051830,79.663047,0.006170,8,0.046444,19.597234,131.281382,131.281382,10.000000,71.699523
38,0.062091,65.093392,0.026840,8,0.026093,21.522098,49.958375,49.958375,10.000000,29.077745
39,0.088893,124.982487,0.024157,6,0.008488,19.693991,95.751707,95.751707,10.000000,54.401016
40,0.092006,91.952506,0.040332,12,0.049381,23.042114,92.913977,92.913977,10.000000,54.959197
41,0.080496,112.900782,0.021419,4,0.025784,22.272418,114.084804,114.084804,10.000000,66.410126
42,0.049864,78.816779,0.033829,1,0.023698,10.633789,42.570747,42.570747,10.000000,24.823274
43,0.050438,110.021638,0.042787,8,0.048235,4.759678,84.327841,84.327841,10.000000,41.670089
44,0.045896,86.946238,0.010144,4,0.038043,4.512929,129.814425,129.814425,10.000000,69.585911
45,0.056184,107.884312,0.005955,2,0.030701,22.087151,147.903448,147.903448,10.000000,80.446783
46,0.049555,117.737344,0.034884,3,0.049496,23.064608,120.303316,120.303316,10.000000,56.166561
47,0.110330,139.572517,0.008496,8,0.028040,6.758222,163.673335,163.673335,10.000000,110.672901
48,0.080637,112.335970,0.054161,11,0.033556,13.307112,63.162112,63.162112,10.000000,34.605834
49,0.054630,118.039567,0.013854,9,0.019246,10.767284,102.862653,102.862653,10.000000,50.712943
50,0.087536,79.681362,0.037552,5,0.040040,8.842163,80.063173,80.063173,10.000000,52.469237
51,0.090628,121.330534,0.052253,1,0.044021,17.386409,107.268720,107.268720,10.000000,65.349350
52,0.102402,67.846059,0.030489,12,0.021391,3.799897,60.698379,60.698379,10.000000,43.008678
53,0.078417,134.334262,0.050025,3,0.046710,0.999501,122.207171,122.207171,10.000000,68.676286
54,0.110595,122.219929,0.030604,6,0.020708,5.270575,110.296610,110.296610,10.000000,73.273195
55,0.117190,90.571452,0.013878,5,0.029328,5.378360,102.393379,102.393379,10.000000,76.323191
56,0.066606,64.221629,0.028502,6,0.034692,1.080989,67.092888,67.092888,10.000000,42.866274
57,0.062858,111.061820,0.015422,4,0.030570,9.520296,130.353305,130.353305,10.000000,71.937988
58,0.116323,87.444480,0.048897,9,0.026264,6.666170,69.042435,69.042435,10.000000,47.390294
59,0.114728,124.716969,0.055615,3,0.027993,17.131844,92.294683,92.294683,10.000000,58.353496
60,0.098203,100.263942,0.044350,4,0.010673,20.381274,57.925877,57.925877,10.000000,34.532263
61,0.080765,82.701798,0.017951,12,0.015359,11.227671,75.683035,75.683035,10.000000,47.026902
62,0.096314,81.176539,0.028811,1,0.041126,12.266547,91.240920,91.240920,10.000000,65.795653
63,0.107167,69.994968,0.005377,6,0.031326,2.629164,86.844308,86.844308,10.000000,66.027456
64,0.117950,71.189184,0.043153,10,0.007190,17.991763,47.296322,47.296322,10.000000,32.627199
65,0.113595,81.483262,0.031660,10,0.047338,18.596003,91.338264,91.338264,10.000000,63.069155
