analysis_type,parameter,value,final_state,maximum_state,minimum_state,mean_state
local_one_at_a_time,growth_rate,0.04,45.491921,45.491921,10.0,24.997867
local_one_at_a_time,growth_rate,0.042,49.189812,49.189812,10.0,26.609642
local_one_at_a_time,growth_rate,0.044,52.821803,52.821803,10.0,28.243444
local_one_at_a_time,growth_rate,0.046,56.350748,56.350748,10.0,29.890269
local_one_at_a_time,growth_rate,0.048,59.744404,59.744404,10.0,31.541285
local_one_at_a_time,growth_rate,0.05,62.976344,62.976344,10.0,33.188066
local_one_at_a_time,growth_rate,0.052,66.026417,66.026417,10.0,34.822782
local_one_at_a_time,growth_rate,0.054,68.880771,68.880771,10.0,36.438345
local_one_at_a_time,growth_rate,0.056,71.531526,71.531526,10.0,38.02851
local_one_at_a_time,growth_rate,0.058,73.976165,73.976165,10.0,39.587926
local_one_at_a_time,growth_rate,0.06,76.216756,76.216756,10.0,41.112142
local_one_at_a_time,growth_rate,0.062,78.259092,78.259092,10.0,42.59759
local_one_at_a_time,growth_rate,0.064,80.111827,80.111827,10.0,44.041529
local_one_at_a_time,growth_rate,0.066,81.785662,81.785662,10.0,45.441978
local_one_at_a_time,growth_rate,0.068,83.292627,83.292627,10.0,46.797634
local_one_at_a_time,growth_rate,0.07,84.645465,84.645465,10.0,48.107789
local_one_at_a_time,growth_rate,0.072,85.857142,85.857142,10.0,49.372245
local_one_at_a_time,growth_rate,0.074,86.940457,86.940457,10.0,50.591228
local_one_at_a_time,growth_rate,0.076,87.907763,87.907763,10.0,51.765315
local_one_at_a_time,growth_rate,0.078,88.770766,88.770766,10.0,52.895363
local_one_at_a_time,growth_rate,0.08,89.5404,89.5404,10.0,53.982447
local_one_at_a_time,growth_rate,0.082,90.226761,90.226761,10.0,55.027809
local_one_at_a_time,growth_rate,0.084,90.839077,90.839077,10.0,56.032809
local_one_at_a_time,growth_rate,0.086,91.38572,91.38572,10.0,56.99889
local_one_at_a_time,growth_rate,0.088,91.874227,91.874227,10.0,57.927542
local_one_at_a_time,growth_rate,0.09,92.311356,92.311356,10.0,58.820281
local_one_at_a_time,growth_rate,0.092,92.703128,92.703128,10.0,59.678622
local_one_at_a_time,growth_rate,0.094,93.054894,93.054894,10.0,60.504069
local_one_at_a_time,growth_rate,0.096,93.37139,93.37139,10.0,61.298095
local_one_at_a_time,growth_rate,0.098,93.6568,93.6568,10.0,62.062138
local_one_at_a_time,growth_rate,0.1,93.914809,93.914809,10.0,62.797592
local_one_at_a_time,growth_rate,0.102,94.148657,94.148657,10.0,63.505801
local_one_at_a_time,growth_rate,0.104,94.361192,94.361192,10.0,64.188056
local_one_at_a_time,growth_rate,0.106,94.554912,94.554912,10.0,64.845593
local_one_at_a_time,growth_rate,0.108,94.732005,94.732005,10.0,65.479594
local_one_at_a_time,growth_rate,0.11,94.894389,94.894389,10.0,66.091182
local_one_at_a_time,growth_rate,0.112,95.043744,95.043744,10.0,66.681429
local_one_at_a_time,growth_rate,0.114,95.181541,95.181541,10.0,67.25135
local_one_at_a_time,growth_rate,0.116,95.309068,95.309068,10.0,67.80191
local_one_at_a_time,growth_rate,0.118,95.427451,95.427451,10.0,68.334022
local_one_at_a_time,growth_rate,0.12,95.537681,95.537681,10.0,68.848552
local_one_at_a_time,carrying_capacity,60.0,54.359526,54.359526,10.0,36.970949
local_one_at_a_time,carrying_capacity,62.0,56.146677,56.146677,10.0,37.907966
local_one_at_a_time,carrying_capacity,64.0,57.930781,57.930781,10.0,38.834135
local_one_at_a_time,carrying_capacity,66.0,59.711858,59.711858,10.0,39.749823
local_one_at_a_time,carrying_capacity,68.0,61.489927,61.489927,10.0,40.655376
local_one_at_a_time,carrying_capacity,70.0,63.265005,63.265005,10.0,41.551118
local_one_at_a_time,carrying_capacity,72.0,65.037107,65.037107,10.0,42.437354
local_one_at_a_time,carrying_capacity,74.0,66.806248,66.806248,10.0,43.31437
local_one_at_a_time,carrying_capacity,76.0,68.572439,68.572439,10.0,44.182437
local_one_at_a_time,carrying_capacity,78.0,70.335694,70.335694,10.0,45.041811
local_one_at_a_time,carrying_capacity,80.0,72.096022,72.096022,10.0,45.892733
local_one_at_a_time,carrying_capacity,82.0,73.853434,73.853434,10.0,46.735433
local_one_at_a_time,carrying_capacity,84.0,75.607941,75.607941,10.0,47.570128
local_one_at_a_time,carrying_capacity,86.0,77.35955,77.35955,10.0,48.397026
local_one_at_a_time,carrying_capacity,88.0,79.108272,79.108272,10.0,49.216324
local_one_at_a_time,carrying_capacity,90.0,80.854114,80.854114,10.0,50.028209
local_one_at_a_time,carrying_capacity,92.0,82.597084,82.597084,10.0,50.83286
local_one_at_a_time,carrying_capacity,94.0,84.337191,84.337191,10.0,51.63045
local_one_at_a_time,carrying_capacity,96.0,86.074441,86.074441,10.0,52.421141
local_one_at_a_time,carrying_capacity,98.0,87.808841,87.808841,10.0,53.20509
local_one_at_a_time,carrying_capacity,100.0,89.5404,89.5404,10.0,53.982447
local_one_at_a_time,carrying_capacity,102.0,91.269123,91.269123,10.0,54.753356
local_one_at_a_time,carrying_capacity,104.0,92.995018,92.995018,10.0,55.517956
local_one_at_a_time,carrying_capacity,106.0,94.71809,94.71809,10.0,56.276379
local_one_at_a_time,carrying_capacity,108.0,96.438347,96.438347,10.0,57.028753
local_one_at_a_time,carrying_capacity,110.0,98.155794,98.155794,10.0,57.7752
local_one_at_a_time,carrying_capacity,112.0,99.870439,99.870439,10.0,58.515838
local_one_at_a_time,carrying_capacity,114.0,101.582286,101.582286,10.0,59.250783
local_one_at_a_time,carrying_capacity,116.0,103.291342,103.291342,10.0,59.980142
local_one_at_a_time,carrying_capacity,118.0,104.997614,104.997614,10.0,60.704023
local_one_at_a_time,carrying_capacity,120.0,106.701107,106.701107,10.0,61.422527
local_one_at_a_time,carrying_capacity,122.0,108.401826,108.401826,10.0,62.135754
local_one_at_a_time,carrying_capacity,124.0,110.099778,110.099778,10.0,62.843799
local_one_at_a_time,carrying_capacity,126.0,111.794969,111.794969,10.0,63.546754
local_one_at_a_time,carrying_capacity,128.0,113.487403,113.487403,10.0,64.244709
local_one_at_a_time,carrying_capacity,130.0,115.177088,115.177088,10.0,64.93775
local_one_at_a_time,carrying_capacity,132.0,116.864028,116.864028,10.0,65.625961
local_one_at_a_time,carrying_capacity,134.0,118.54823,118.54823,10.0,66.309423
local_one_at_a_time,carrying_capacity,136.0,120.229698,120.229698,10.0,66.988216
local_one_at_a_time,carrying_capacity,138.0,121.908439,121.908439,10.0,67.662415
local_one_at_a_time,carrying_capacity,140.0,123.584457,123.584457,10.0,68.332094
local_one_at_a_time,extraction_pressure,0.005,117.187716,117.187716,10.0,74.936467
local_one_at_a_time,extraction_pressure,0.006375,115.353058,115.353058,10.0,73.464703
local_one_at_a_time,extraction_pressure,0.00775,113.510529,113.510529,10.0,71.996618
local_one_at_a_time,extraction_pressure,0.009125,111.659691,111.659691,10.0,70.53239
local_one_at_a_time,extraction_pressure,0.0105,109.800099,109.800099,10.0,69.072212
local_one_at_a_time,extraction_pressure,0.011875,107.931296,107.931296,10.0,67.616289
local_one_at_a_time,extraction_pressure,0.01325,106.052819,106.052819,10.0,66.16484
local_one_at_a_time,extraction_pressure,0.014625,104.164203,104.164203,10.0,64.7181
local_one_at_a_time,extraction_pressure,0.016,102.264979,102.264979,10.0,63.276321
local_one_at_a_time,extraction_pressure,0.017375,100.354686,100.354686,10.0,61.839769
local_one_at_a_time,extraction_pressure,0.01875,98.432865,98.432865,10.0,60.408733
local_one_at_a_time,extraction_pressure,0.020125,96.499075,96.499075,10.0,58.983517
local_one_at_a_time,extraction_pressure,0.0215,94.552891,94.552891,10.0,57.564448
local_one_at_a_time,extraction_pressure,0.022875,92.593913,92.593913,10.0,56.151874
local_one_at_a_time,extraction_pressure,0.02425,90.621776,90.621776,10.0,54.746164
local_one_at_a_time,extraction_pressure,0.025625,88.636154,88.636154,10.0,53.347713
local_one_at_a_time,extraction_pressure,0.027,86.636774,86.636774,10.0,51.956938
local_one_at_a_time,extraction_pressure,0.028375,84.623423,84.623423,10.0,50.574283
local_one_at_a_time,extraction_pressure,0.02975,82.595959,82.595959,10.0,49.200218
local_one_at_a_time,extraction_pressure,0.031125,80.554325,80.554325,10.0,47.835238
local_one_at_a_time,extraction_pressure,0.0325,78.498562,78.498562,10.0,46.479869
local_one_at_a_time,extraction_pressure,0.033875,76.428821,76.428821,10.0,45.134662
local_one_at_a_time,extraction_pressure,0.03525,74.34538,74.34538,10.0,43.800198
local_one_at_a_time,extraction_pressure,0.036625,72.248656,72.248656,10.0,42.477086
local_one_at_a_time,extraction_pressure,0.038,70.139222,70.139222,10.0,41.165963
local_one_at_a_time,extraction_pressure,0.039375,68.017826,68.017826,10.0,39.867494
local_one_at_a_time,extraction_pressure,0.04075,65.885399,65.885399,10.0,38.58237
local_one_at_a_time,extraction_pressure,0.042125,63.743077,63.743077,10.0,37.311307
local_one_at_a_time,extraction_pressure,0.0435,61.592211,61.592211,10.0,36.055048
local_one_at_a_time,extraction_pressure,0.044875,59.434379,59.434379,10.0,34.814356
local_one_at_a_time,extraction_pressure,0.04625,57.271402,57.271402,10.0,33.590013
local_one_at_a_time,extraction_pressure,0.047625,55.105346,55.105346,10.0,32.382817
local_one_at_a_time,extraction_pressure,0.049,52.938529,52.938529,10.0,31.193581
local_one_at_a_time,extraction_pressure,0.050375,50.773527,50.773527,10.0,30.023127
local_one_at_a_time,extraction_pressure,0.05175,48.613166,48.613166,10.0,28.872278
local_one_at_a_time,extraction_pressure,0.053125,46.460518,46.460518,10.0,27.74186
local_one_at_a_time,extraction_pressure,0.0545,44.318891,44.318891,10.0,26.63269
local_one_at_a_time,extraction_pressure,0.055875,42.191806,42.191806,10.0,25.545576
local_one_at_a_time,extraction_pressure,0.05725,40.082981,40.082981,10.0,24.481306
local_one_at_a_time,extraction_pressure,0.058625,37.996298,37.996298,10.0,23.440641
local_one_at_a_time,extraction_pressure,0.06,35.935771,35.935771,10.0,22.424312
local_one_at_a_time,recovery_delay,1.0,90.916851,90.916851,10.0,56.375526
local_one_at_a_time,recovery_delay,2.0,90.603226,90.603226,10.0,55.730063
local_one_at_a_time,recovery_delay,3.0,90.268412,90.268412,10.0,55.117597
local_one_at_a_time,recovery_delay,4.0,89.913624,89.913624,10.0,54.535734
local_one_at_a_time,recovery_delay,5.0,89.5404,89.5404,10.0,53.982447
local_one_at_a_time,recovery_delay,6.0,89.150515,89.150515,10.0,53.45598
local_one_at_a_time,recovery_delay,7.0,88.745905,88.745905,10.0,52.95478
local_one_at_a_time,recovery_delay,8.0,88.328589,88.328589,10.0,52.477447
local_one_at_a_time,recovery_delay,9.0,87.900602,87.900602,10.0,52.022705
local_one_at_a_time,recovery_delay,10.0,87.463943,87.463943,10.0,51.589371
local_one_at_a_time,recovery_delay,11.0,87.020501,87.020501,10.0,51.176345
local_one_at_a_time,recovery_delay,12.0,86.571998,86.571998,10.0,50.782597
local_one_at_a_time,feedback_strength,0.005,68.547546,68.547546,10.0,40.736387
local_one_at_a_time,feedback_strength,0.006125,70.156945,70.156945,10.0,41.710418
local_one_at_a_time,feedback_strength,0.00725,71.760402,71.760402,10.0,42.688156
local_one_at_a_time,feedback_strength,0.008375,73.357952,73.357952,10.0,43.669431
local_one_at_a_time,feedback_strength,0.0095,74.949648,74.949648,10.0,44.654085
local_one_at_a_time,feedback_strength,0.010625,76.53556,76.53556,10.0,45.641965
local_one_at_a_time,feedback_strength,0.01175,78.115773,78.115773,10.0,46.63293
local_one_at_a_time,feedback_strength,0.012875,79.690386,79.690386,10.0,47.626843
local_one_at_a_time,feedback_strength,0.014,81.259505,81.259505,10.0,48.623578
local_one_at_a_time,feedback_strength,0.015125,82.823245,82.823245,10.0,49.623014
local_one_at_a_time,feedback_strength,0.01625,84.381731,84.381731,10.0,50.625035
local_one_at_a_time,feedback_strength,0.017375,85.935089,85.935089,10.0,51.629536
local_one_at_a_time,feedback_strength,0.0185,87.483452,87.483452,10.0,52.636413
local_one_at_a_time,feedback_strength,0.019625,89.026955,89.026955,10.0,53.64557
local_one_at_a_time,feedback_strength,0.02075,90.565735,90.565735,10.0,54.656917
local_one_at_a_time,feedback_strength,0.021875,92.099929,92.099929,10.0,55.670365
local_one_at_a_time,feedback_strength,0.023,93.629675,93.629675,10.0,56.685835
local_one_at_a_time,feedback_strength,0.024125,95.155113,95.155113,10.0,57.703249
local_one_at_a_time,feedback_strength,0.02525,96.676377,96.676377,10.0,58.722534
local_one_at_a_time,feedback_strength,0.026375,98.193604,98.193604,10.0,59.74362
local_one_at_a_time,feedback_strength,0.0275,99.706928,99.706928,10.0,60.766442
local_one_at_a_time,feedback_strength,0.028625,101.21648,101.21648,10.0,61.790938
local_one_at_a_time,feedback_strength,0.02975,102.722389,102.722389,10.0,62.817049
local_one_at_a_time,feedback_strength,0.030875,104.224781,104.224781,10.0,63.844719
local_one_at_a_time,feedback_strength,0.032,105.723779,105.723779,10.0,64.873895
local_one_at_a_time,feedback_strength,0.033125,107.219505,107.219505,10.0,65.904527
local_one_at_a_time,feedback_strength,0.03425,108.712075,108.712075,10.0,66.936568
local_one_at_a_time,feedback_strength,0.035375,110.201603,110.201603,10.0,67.969971
local_one_at_a_time,feedback_strength,0.0365,111.688201,111.688201,10.0,69.004694
local_one_at_a_time,feedback_strength,0.037625,113.171974,113.171974,10.0,70.040697
local_one_at_a_time,feedback_strength,0.03875,114.653029,114.653029,10.0,71.077939
local_one_at_a_time,feedback_strength,0.039875,116.131464,116.131464,10.0,72.116385
local_one_at_a_time,feedback_strength,0.041,117.607378,117.607378,10.0,73.155998
local_one_at_a_time,feedback_strength,0.042125,119.080865,119.080865,10.0,74.196746
local_one_at_a_time,feedback_strength,0.04325,120.552016,120.552016,10.0,75.238595
local_one_at_a_time,feedback_strength,0.044375,122.020918,122.020918,10.0,76.281516
local_one_at_a_time,feedback_strength,0.0455,123.487657,123.487657,10.0,77.32548
local_one_at_a_time,feedback_strength,0.046625,124.952313,124.952313,10.0,78.370458
local_one_at_a_time,feedback_strength,0.04775,126.414965,126.414965,10.0,79.416425
local_one_at_a_time,feedback_strength,0.048875,127.87569,127.87569,10.0,80.463354
local_one_at_a_time,feedback_strength,0.05,129.334559,129.334559,10.0,81.511222
local_one_at_a_time,shock_intensity,0.0,90.709003,90.709003,10.0,55.982476
local_one_at_a_time,shock_intensity,0.6,90.630748,90.630748,10.0,55.840563
local_one_at_a_time,shock_intensity,1.2,90.551119,90.551119,10.0,55.697423
local_one_at_a_time,shock_intensity,1.8,90.470079,90.470079,10.0,55.553034
local_one_at_a_time,shock_intensity,2.4,90.387593,90.387593,10.0,55.407376
local_one_at_a_time,shock_intensity,3.0,90.30362,90.30362,10.0,55.260425
local_one_at_a_time,shock_intensity,3.6,90.218123,90.218123,10.0,55.112161
local_one_at_a_time,shock_intensity,4.2,90.131059,90.131059,10.0,54.962559
local_one_at_a_time,shock_intensity,4.8,90.042386,90.042386,10.0,54.811597
local_one_at_a_time,shock_intensity,5.4,89.952061,89.952061,10.0,54.659249
local_one_at_a_time,shock_intensity,6.0,89.860037,89.860037,10.0,54.505492
local_one_at_a_time,shock_intensity,6.6,89.766266,89.766266,10.0,54.350298
local_one_at_a_time,shock_intensity,7.2,89.670701,89.670701,10.0,54.193642
local_one_at_a_time,shock_intensity,7.8,89.57329,89.57329,10.0,54.035498
local_one_at_a_time,shock_intensity,8.4,89.473979,89.473979,10.0,53.875836
local_one_at_a_time,shock_intensity,9.0,89.372715,89.372715,10.0,53.714628
local_one_at_a_time,shock_intensity,9.6,89.269439,89.269439,10.0,53.551846
local_one_at_a_time,shock_intensity,10.2,89.164093,89.164093,10.0,53.387458
local_one_at_a_time,shock_intensity,10.8,89.056615,89.056615,10.0,53.221433
local_one_at_a_time,shock_intensity,11.4,88.946941,88.946941,10.0,53.05374
local_one_at_a_time,shock_intensity,12.0,88.835004,88.835004,10.0,52.884346
local_one_at_a_time,shock_intensity,12.6,88.720735,88.720735,10.0,52.713215
local_one_at_a_time,shock_intensity,13.2,88.604061,88.604061,10.0,52.540314
local_one_at_a_time,shock_intensity,13.8,88.484908,88.484908,10.0,52.365606
local_one_at_a_time,shock_intensity,14.4,88.363197,88.363197,10.0,52.189054
local_one_at_a_time,shock_intensity,15.0,88.238846,88.238846,10.0,52.01062
local_one_at_a_time,shock_intensity,15.6,88.111771,88.111771,10.0,51.830264
local_one_at_a_time,shock_intensity,16.2,87.981882,87.981882,10.0,51.647944
local_one_at_a_time,shock_intensity,16.8,87.849086,87.849086,10.0,51.46362
local_one_at_a_time,shock_intensity,17.4,87.713288,87.713288,10.0,51.277247
local_one_at_a_time,shock_intensity,18.0,87.574386,87.574386,10.0,51.08878
local_one_at_a_time,shock_intensity,18.6,87.432274,87.432274,10.0,50.898173
local_one_at_a_time,shock_intensity,19.2,87.286841,87.286841,10.0,50.705378
local_one_at_a_time,shock_intensity,19.8,87.137974,87.137974,10.0,50.510344
local_one_at_a_time,shock_intensity,20.4,86.985549,86.985549,10.0,50.313022
local_one_at_a_time,shock_intensity,21.0,86.829442,86.829442,10.0,50.113357
local_one_at_a_time,shock_intensity,21.6,86.669519,86.669519,10.0,49.911295
local_one_at_a_time,shock_intensity,22.2,86.505641,86.505641,10.0,49.706778
local_one_at_a_time,shock_intensity,22.8,86.337662,86.337662,10.0,49.499747
local_one_at_a_time,shock_intensity,23.4,86.16543,86.16543,10.0,49.290141
local_one_at_a_time,shock_intensity,24.0,85.988784,85.988784,10.0,49.077898
