scenario,metric,value
baseline_twin,MAE_observed,1.45026
baseline_twin,MAE_twin,1.103794
baseline_twin,RMSE_observed,1.853927
baseline_twin,RMSE_twin,1.543534
baseline_twin,anomaly_count,20
baseline_twin,intervention_count,17
baseline_twin,tracking_improvement_ratio,0.167425
high_noise_twin,MAE_observed,2.711483
high_noise_twin,MAE_twin,1.574528
high_noise_twin,RMSE_observed,3.332103
high_noise_twin,RMSE_twin,1.962207
high_noise_twin,anomaly_count,26
high_noise_twin,intervention_count,16
high_noise_twin,tracking_improvement_ratio,0.411121
shock_heavy_twin,MAE_observed,1.302927
shock_heavy_twin,MAE_twin,1.126845
shock_heavy_twin,RMSE_observed,1.673434
shock_heavy_twin,RMSE_twin,1.578966
shock_heavy_twin,anomaly_count,17
shock_heavy_twin,intervention_count,13
shock_heavy_twin,tracking_improvement_ratio,0.056452
slow_update_twin,MAE_observed,1.525667
slow_update_twin,MAE_twin,1.467325
slow_update_twin,RMSE_observed,1.828819
slow_update_twin,RMSE_twin,2.054745
slow_update_twin,anomaly_count,30
slow_update_twin,intervention_count,23
slow_update_twin,tracking_improvement_ratio,-0.123536
resilient_twin,MAE_observed,0.943373
resilient_twin,MAE_twin,0.696681
resilient_twin,RMSE_observed,1.23477
resilient_twin,RMSE_twin,0.945986
resilient_twin,anomaly_count,9
resilient_twin,intervention_count,7
resilient_twin,tracking_improvement_ratio,0.233877
sensor_drift_twin,MAE_observed,1.85288
sensor_drift_twin,MAE_twin,1.139416
sensor_drift_twin,RMSE_observed,2.273377
sensor_drift_twin,RMSE_twin,1.387277
sensor_drift_twin,anomaly_count,20
sensor_drift_twin,intervention_count,14
sensor_drift_twin,tracking_improvement_ratio,0.389773
