scenario,time,true_state,observed_state,prediction_before_update,twin_state,residual,anomaly_flag,intervention_flag
baseline_twin,0,50.0,49.740637,49.740637,49.740637,0.0,0,0
baseline_twin,1,47.408743,47.208375,47.266091,47.24589,-0.057716,0,0
baseline_twin,2,45.484381,45.254722,44.90848,45.029665,0.346242,0,0
baseline_twin,3,42.34886,42.947033,42.815292,42.861402,0.131741,0,0
baseline_twin,4,40.120094,39.729568,40.767411,40.404166,-1.037842,0,0
baseline_twin,5,38.244327,38.662463,38.444665,38.520894,0.217799,0,0
baseline_twin,6,37.10216,38.284106,36.666763,37.232833,1.617342,0,0
baseline_twin,7,35.395978,34.066999,35.453813,34.968428,-1.386814,0,0
baseline_twin,8,33.110137,33.553553,33.312762,33.397039,0.240791,0,0
baseline_twin,9,32.343524,32.418507,31.829433,32.035609,0.589074,0,0
baseline_twin,10,30.773581,31.730778,30.544855,30.959928,1.185923,0,0
baseline_twin,11,28.481811,27.919712,29.530968,28.967028,-1.611256,0,0
baseline_twin,12,27.478159,29.050287,27.644898,28.136784,1.405389,0,0
baseline_twin,13,26.092402,26.770281,26.862473,26.830206,-0.092192,0,0
baseline_twin,14,25.074626,26.482815,25.626613,25.926283,0.856202,0,0
baseline_twin,15,23.295309,24.318161,24.772317,24.613362,-0.454156,0,0
baseline_twin,16,21.367622,16.651721,23.528485,21.121617,-6.876764,1,0
baseline_twin,17,20.083329,18.434871,20.213758,19.591148,-1.778888,0,0
baseline_twin,18,19.754394,20.950072,18.761214,19.527315,2.188858,0,0
baseline_twin,19,18.185218,19.710468,18.700937,19.054273,1.009531,0,0
baseline_twin,20,16.823946,16.668707,18.250871,17.697113,-1.582163,0,0
baseline_twin,21,15.954007,16.159963,16.959856,16.679893,-0.799893,0,0
baseline_twin,22,15.792348,16.941493,15.990759,16.323516,0.950735,0,0
baseline_twin,23,15.353779,16.523686,15.648457,15.954787,0.875229,0,0
baseline_twin,24,15.00958,13.881006,15.293442,14.79909,-1.412436,0,0
baseline_twin,25,13.959404,13.113461,14.189861,13.813121,-1.0764,0,0
baseline_twin,26,13.685179,13.234971,13.246614,13.242539,-0.011643,0,0
baseline_twin,27,14.519083,13.044357,12.697123,12.818655,0.347234,0,0
baseline_twin,28,13.242267,14.625519,12.286185,13.104952,2.339335,0,0
baseline_twin,29,13.532726,14.442973,12.549166,13.211999,1.893806,0,0
baseline_twin,30,13.447351,16.014772,12.641169,13.82193,3.373602,0,0
baseline_twin,31,12.798023,10.236697,13.21029,12.169533,-2.973593,0,0
baseline_twin,32,11.907467,13.622679,11.629647,12.327208,1.993032,0,0
baseline_twin,33,10.503136,10.563492,11.768097,11.346485,-1.204605,0,0
baseline_twin,34,10.175432,9.607366,10.824671,10.398614,-1.217306,0,0
baseline_twin,35,14.134294,15.179698,8.912139,10.755784,5.267559,1,1
baseline_twin,36,14.841593,15.957535,9.239163,11.240593,5.718372,1,1
baseline_twin,37,13.742605,12.731369,10.687297,11.402723,2.044072,0,0
baseline_twin,38,12.552765,14.266858,10.828826,12.032137,3.438032,0,0
baseline_twin,39,11.568798,11.442329,11.414301,11.424111,0.028028,0,0
baseline_twin,40,11.411355,10.109121,10.82432,10.574,-0.715199,0,0
baseline_twin,41,10.623849,7.309534,10.004558,9.061299,-2.695024,0,0
baseline_twin,42,9.390552,8.368627,8.555617,8.49017,-0.18699,0,0
baseline_twin,43,9.106354,11.254642,8.001535,9.140122,3.253107,0,0
baseline_twin,44,8.564765,9.03522,8.607925,8.757478,0.427296,0,0
baseline_twin,45,8.151574,10.104108,8.23387,8.888453,1.870238,0,0
