time,true_state,observed_state,twin_state,residual,anomaly_flag,intervention_flag
0,   50.000000,   50.000000,   50.000000,    0.000000,0,0
1,   48.111816,   46.316223,   47.093794,   -1.196262,0,0
2,   45.674509,   45.885040,   45.156356,    1.121051,0,0
3,   42.833909,   44.609619,   43.521539,    1.673970,0,0
4,   40.853990,   40.475761,   41.072968,   -0.918780,0,0
5,   39.455339,   37.715349,   38.602389,   -1.364677,0,0
6,   37.386698,   37.929252,   37.158958,    1.185069,0,0
7,   35.032489,   36.721240,   35.851794,    1.337609,0,0
8,   33.595002,   32.892962,   33.711311,   -1.258998,0,0
9,   32.564087,   30.941636,   31.712767,   -1.186355,0,0
10,   30.773906,   31.629171,   30.725011,    1.391016,0,0
11,   28.833441,   30.375120,   29.681360,    1.067324,0,0
12,   27.840177,   26.839316,   27.804044,   -1.484196,0,0
13,   27.071076,   25.623918,   26.223512,   -0.922452,0,0
14,   25.486940,   26.624471,   25.601229,    1.574218,0,0
15,   23.899363,   25.239092,   24.734967,    0.775576,0,0
16,   23.261709,   21.997654,   23.067785,   -1.646356,0,0
17,   22.663559,   21.443208,   21.845824,   -0.619410,0,0
18,   21.229127,   22.608432,   21.500004,    1.705275,0,0
19,   19.943526,   21.033616,   20.735510,    0.458624,0,0
20,   19.581873,   18.099619,   19.236096,   -1.748427,0,0
21,   19.078592,   18.128486,   18.319198,   -0.293403,0,0
22,   17.752314,   19.324296,   18.169768,    1.776197,0,0
23,   16.726446,   17.528093,   17.446390,    0.125697,0,0
24,   16.570110,   14.922421,   16.084650,   -1.788045,0,0
25,   16.100363,   15.454324,   15.426256,    0.043181,0,0
26,   14.854366,   16.563068,   15.403484,    1.783976,0,0
27,   14.053697,   14.538366,   14.675942,   -0.211654,0,0
28,   14.041098,   12.286624,   13.433213,   -1.763983,0,0
29,   13.558238,   13.239262,   12.993401,    0.378248,0,0
30,   12.377167,   14.161765,   13.038394,    1.728263,0,0
31,   11.774028,   11.924467,   12.276418,   -0.541464,0,0
32,   11.852867,   10.054062,   11.144194,   -1.677126,0,0
33,   11.324645,   11.344086,   10.889182,    0.699853,0,0
34,   10.204296,   12.001265,   10.954094,    1.611032,0,0
35,   13.776993,   13.587846,   11.541645,    3.148001,0,0
36,   13.704268,   11.925161,   11.314532,    0.939431,0,0
37,   12.922143,   13.279310,   11.640159,    2.521771,0,0
38,   11.687297,   13.432672,   11.886789,    2.378282,0,0
39,   11.247593,   10.725593,   11.083501,   -0.550627,0,0
40,   11.226412,    9.530335,   10.161098,   -0.970405,0,0
41,   10.409648,   11.091826,   10.130135,    1.479525,0,0
42,    9.287040,   10.918693,   10.042699,    1.347682,0,0
43,    9.025158,    8.188886,    9.025794,   -1.287551,0,0
44,    9.023039,    7.470364,    8.139181,   -1.028949,0,0
45,    8.170038,    9.152945,    8.173748,    1.506457,0,0
46,    7.171378,    8.631227,    8.006025,    0.961848,0,0
47,    7.070657,    5.949882,    6.957952,   -1.550877,0,0
48,    7.063816,    5.709813,    6.221182,   -0.786721,0,0
49,    6.183062,    7.431709,    6.363841,    1.642874,0,0
50,    5.323853,    6.559933,    6.142310,    0.642497,0,0
51,    5.369526,    4.004143,    5.107065,   -1.696803,0,0
52,    5.341410,    4.234277,    4.545031,   -0.478083,0,0
53,    4.448876,    5.918817,    4.784875,    1.744527,0,0
54,    3.745608,    4.713920,    4.509223,    0.314918,0,0
55,    3.923111,    2.361723,    3.514359,   -1.773286,0,0
56,    3.862809,    3.041955,    3.137403,   -0.146843,0,0
57,    2.979257,    4.618167,    3.456273,    1.787528,0,0
58,    2.446740,    3.112815,    3.126946,   -0.021741,0,0
59,    2.740199,    1.038385,    2.198851,   -1.785333,0,0
60,    2.640861,    2.135506,    2.011723,    0.190436,0,0
61,    1.789201,    3.538741,    2.389930,    1.767402,0,0
62,    1.438202,    1.778330,    2.010586,   -0.357316,0,0
63,    1.829242,    0.047580,    1.174444,   -1.733637,0,0
64,    1.686644,    1.514776,    1.176091,    0.521054,0,0
65,    0.889517,    2.687410,    1.592527,    1.684436,0,0
66,    0.724868,    0.726942,    1.169025,   -0.680127,0,0
67,    1.191845,   -0.606244,    0.446887,   -1.620202,0,0
68,    1.003217,    1.170955,    0.629413,    0.833141,0,0
69,    0.280973,    2.063221,    1.061233,    1.541521,0,0
70,    0.300277,   -0.035776,    0.600393,   -0.978722,0,0
71,    0.818040,   -0.932471,    0.009437,   -1.449090,0,0
72,    0.581256,    1.082628,    0.357504,    1.115575,0,0
73,   -0.049576,    1.653585,    0.780157,    1.343735,0,0
74,    0.143453,   -0.518766,    0.288844,   -1.242477,0,0
75,    0.683652,   -0.956970,   -0.159813,   -1.226395,0,0
76,    0.396836,    1.213995,    0.331101,    1.358298,0,0
77,   -0.130823,    1.432626,    0.718850,    1.098117,0,0
78,    0.217982,   -0.746829,    0.203474,   -1.462005,0,0
79,    0.749936,   -0.722396,   -0.098366,   -0.960045,0,0
80,    4.411487,    5.515346,    0.906110,    5.552671,1,1
81,    3.793638,    5.161721,    1.410004,    4.233410,1,1
82,    4.083347,    2.850286,    1.919252,    1.432360,0,0
83,    4.394886,    3.143254,    2.342993,    1.231171,0,0
