from_component,to_component,weight
infrastructure,energy,0.06
infrastructure,water,0.05
infrastructure,health,0.03
infrastructure,governance,0.04
energy,infrastructure,0.05
energy,water,0.04
energy,health,0.03
energy,governance,0.05
water,infrastructure,0.04
water,energy,0.03
water,health,0.04
water,governance,0.03
health,infrastructure,0.02
health,energy,0.02
health,water,0.03
health,governance,0.04
governance,infrastructure,0.03
governance,energy,0.04
governance,water,0.03
governance,health,0.05
