"scenario","time","power_capacity","water_capacity","power_demand","water_demand","power_availability","water_dependency_factor","unmet_power","unmet_water","total_unmet"
"baseline_shock",1,100,90,78.35,58.0875,1,1,0,0,0
"baseline_shock",2,100,90,78.7,58.175,1,1,0,0,0
"baseline_shock",3,100,90,79.05,58.2625,1,1,0,0,0
"baseline_shock",4,100,90,79.4,58.35,1,1,0,0,0
"baseline_shock",5,100,90,79.75,58.4375,1,1,0,0,0
"baseline_shock",6,100,90,80.1,58.525,1,1,0,0,0
"baseline_shock",7,100,90,80.45,58.6125,1,1,0,0,0
"baseline_shock",8,100,90,80.8,58.7,1,1,0,0,0
"baseline_shock",9,100,90,81.15,58.7875,1,1,0,0,0
"baseline_shock",10,100,90,81.5,58.875,1,1,0,0,0
"baseline_shock",11,100,90,81.85,58.9625,1,1,0,0,0
"baseline_shock",12,100,90,82.2,59.05,1,1,0,0,0
"baseline_shock",13,100,90,82.55,59.1375,1,1,0,0,0
"baseline_shock",14,100,90,82.9,59.225,1,1,0,0,0
"baseline_shock",15,100,90,83.25,59.3125,1,1,0,0,0
"baseline_shock",16,100,90,83.6,59.4,1,1,0,0,0
"baseline_shock",17,100,90,83.95,59.4875,1,1,0,0,0
"baseline_shock",18,100,90,84.3,59.575,1,1,0,0,0
"baseline_shock",19,100,90,84.65,59.6625,1,1,0,0,0
"baseline_shock",20,100,90,85,59.75,1,1,0,0,0
"baseline_shock",21,100,90,85.35,59.8375,1,1,0,0,0
"baseline_shock",22,100,90,85.7,59.925,1,1,0,0,0
"baseline_shock",23,100,90,86.05,60.0125,1,1,0,0,0
"baseline_shock",24,100,90,86.4,60.1,1,1,0,0,0
"baseline_shock",25,70,75.2291066282421,86.75,60.1875,0.806916426512968,0.835878962536023,16.75,0,16.75
"baseline_shock",26,70,74.9810562571757,87.1,60.275,0.803673938002296,0.833122847301952,17.1,0,17.1
"baseline_shock",27,70,74.7349914236707,87.45,60.3625,0.800457404230989,0.830388793596341,17.45,0,17.45
"baseline_shock",28,70,74.4908883826879,87.8,60.45,0.797266514806378,0.827676537585421,17.8,0,17.8
"baseline_shock",29,70,74.2487237663074,88.15,60.5375,0.794100964265457,0.824985819625638,18.15,0,18.15
"baseline_shock",30,70,74.0084745762712,88.5,60.625,0.790960451977401,0.822316384180791,18.5,0,18.5
"baseline_shock",31,70,73.7701181767023,88.85,60.7125,0.787844682048396,0.819667979741137,18.85,0,18.85
"baseline_shock",32,70,73.5336322869955,89.2,60.8,0.7847533632287,0.817040358744395,19.2,0,19.2
"baseline_shock",33,70,73.2989949748744,89.55,60.8875,0.781686208821887,0.814433277498604,19.55,0,19.55
"baseline_shock",34,70,73.0661846496107,89.9,60.975,0.778642936596218,0.811846496106785,19.9,0,19.9
"baseline_shock",35,70,72.8351800554017,90.25,61.0625,0.775623268698061,0.809279778393352,20.25,0,20.25
"baseline_shock",36,70,72.6059602649007,90.6,61.15,0.772626931567329,0.80673289183223,20.6,0,20.6
"baseline_shock",37,70,72.3785046728972,90.95,61.2375,0.769653655854865,0.804205607476635,20.95,0,20.95
"baseline_shock",38,70,72.1527929901424,91.3,61.325,0.766703176341731,0.801697699890471,21.3,0,21.3
"baseline_shock",39,70,71.9288052373159,91.65,61.4125,0.763775231860338,0.799208947081288,21.65,0,21.65
"baseline_shock",40,70,71.7065217391304,92,61.5,0.760869565217391,0.796739130434783,22,0,22
"baseline_shock",41,70,71.4859231185707,92.35,61.5875,0.757985923118571,0.794288034650785,22.35,0,22.35
"baseline_shock",42,70,71.2669902912621,92.7,61.675,0.75512405609493,0.79185544768069,22.7,0,22.7
"baseline_shock",43,72,72.6939817302526,93.05,61.7625,0.77377753895755,0.807710908113917,21.05,0,21.05
"baseline_shock",44,74,74.110278372591,93.4,61.85,0.792291220556745,0.823447537473233,19.4,0,19.4
"baseline_shock",45,76,75.516,93.75,61.9375,0.810666666666667,0.839066666666667,17.75,0,17.75
"baseline_shock",46,78,76.9112646121148,94.1,62.025,0.828905419766206,0.854569606801275,16.1,0,16.1
"baseline_shock",47,80,78.2961884595024,94.45,62.1125,0.847008999470619,0.869957649550026,14.45,0,14.45
