scenario,time,power,communications,water,transport,composite_service,unmet_service,shock_active
baseline_cascade,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,1,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,2,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,4,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,5,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,6,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,7,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,8,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,9,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,11,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,12,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,13,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,14,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,15,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,16,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,17,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,18,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,19,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0
baseline_cascade,20,0.965000,0.974800,0.974450,0.983200,0.974363,0.025637,1
baseline_cascade,21,0.930000,0.942544,0.942026,0.957076,0.942911,0.057089,1
baseline_cascade,22,0.895000,0.908312,0.907733,0.926262,0.909327,0.090673,1
baseline_cascade,23,0.860000,0.873527,0.872929,0.893200,0.874914,0.125086,1
baseline_cascade,24,0.825000,0.838588,0.837983,0.859087,0.840164,0.159836,1
baseline_cascade,25,0.790000,0.803605,0.802998,0.824490,0.805273,0.194727,1
baseline_cascade,26,0.755000,0.768609,0.768002,0.789673,0.770321,0.229679,1
baseline_cascade,27,0.720000,0.733611,0.733003,0.754755,0.735342,0.264658,1
baseline_cascade,28,0.685000,0.698611,0.698003,0.719793,0.700352,0.299648,1
baseline_cascade,29,0.650000,0.663611,0.663003,0.684809,0.665356,0.334644,1
baseline_cascade,30,0.615000,0.628611,0.628003,0.649817,0.630358,0.369642,1
baseline_cascade,31,0.580000,0.593611,0.593003,0.614820,0.595359,0.404641,1
baseline_cascade,32,0.545000,0.558611,0.558003,0.579822,0.560359,0.439641,1
baseline_cascade,33,0.510000,0.523611,0.523003,0.544823,0.525359,0.474641,1
baseline_cascade,34,0.475000,0.488611,0.488003,0.509823,0.490359,0.509641,1
baseline_cascade,35,0.450000,0.460811,0.460303,0.479623,0.462684,0.537316,1
baseline_cascade,36,0.450000,0.453027,0.452817,0.464087,0.454983,0.545017,1
baseline_cascade,37,0.475000,0.468848,0.469025,0.468551,0.470356,0.529644,0
baseline_cascade,38,0.500000,0.491277,0.491624,0.483667,0.491642,0.508358,0
