"stakeholder_group","scenario","score"
"community_residents","targeted_service_expansion",0.77
"community_residents","infrastructure_repair_priority",0.625
"community_residents","digital_monitoring_platform",0.575
"community_residents","community_led_resilience",0.765
"community_residents","baseline_policy_continuation",0.455
"frontline_staff","targeted_service_expansion",0.715
"frontline_staff","infrastructure_repair_priority",0.67
"frontline_staff","digital_monitoring_platform",0.6
"frontline_staff","community_led_resilience",0.735
"frontline_staff","baseline_policy_continuation",0.5325
"technical_experts","targeted_service_expansion",0.6875
"technical_experts","infrastructure_repair_priority",0.6925
"technical_experts","digital_monitoring_platform",0.6075
"technical_experts","community_led_resilience",0.73
"technical_experts","baseline_policy_continuation",0.56
"public_agency","targeted_service_expansion",0.695
"public_agency","infrastructure_repair_priority",0.6725
"public_agency","digital_monitoring_platform",0.5925
"public_agency","community_led_resilience",0.735
"public_agency","baseline_policy_continuation",0.565
"service_users","targeted_service_expansion",0.78
"service_users","infrastructure_repair_priority",0.61
"service_users","digital_monitoring_platform",0.57
"service_users","community_led_resilience",0.7625
"service_users","baseline_policy_continuation",0.4575
"resource_managers","targeted_service_expansion",0.6875
"resource_managers","infrastructure_repair_priority",0.6925
"resource_managers","digital_monitoring_platform",0.6075
"resource_managers","community_led_resilience",0.73
"resource_managers","baseline_policy_continuation",0.56
