stakeholder_group,scenario,score
community_residents,targeted_service_expansion,0.770000
community_residents,infrastructure_repair_priority,0.625000
community_residents,digital_monitoring_platform,0.575000
community_residents,community_led_resilience,0.765000
community_residents,baseline_policy_continuation,0.455000
frontline_staff,targeted_service_expansion,0.715000
frontline_staff,infrastructure_repair_priority,0.670000
frontline_staff,digital_monitoring_platform,0.600000
frontline_staff,community_led_resilience,0.735000
frontline_staff,baseline_policy_continuation,0.532500
technical_experts,targeted_service_expansion,0.687500
technical_experts,infrastructure_repair_priority,0.692500
technical_experts,digital_monitoring_platform,0.607500
technical_experts,community_led_resilience,0.730000
technical_experts,baseline_policy_continuation,0.560000
public_agency,targeted_service_expansion,0.695000
public_agency,infrastructure_repair_priority,0.672500
public_agency,digital_monitoring_platform,0.592500
public_agency,community_led_resilience,0.735000
public_agency,baseline_policy_continuation,0.565000
service_users,targeted_service_expansion,0.780000
service_users,infrastructure_repair_priority,0.610000
service_users,digital_monitoring_platform,0.570000
service_users,community_led_resilience,0.762500
service_users,baseline_policy_continuation,0.457500
resource_managers,targeted_service_expansion,0.687500
resource_managers,infrastructure_repair_priority,0.692500
resource_managers,digital_monitoring_platform,0.607500
resource_managers,community_led_resilience,0.730000
resource_managers,baseline_policy_continuation,0.560000
