stakeholder_group,scenario,score
community_residents,targeted_service_expansion,    0.670000
community_residents,infrastructure_repair_priority,    0.607500
community_residents,digital_monitoring_platform,    0.687500
community_residents,community_led_resilience,    0.637500
community_residents,baseline_policy_continuation,    0.670000
frontline_staff,targeted_service_expansion,    0.485000
frontline_staff,infrastructure_repair_priority,    0.532500
frontline_staff,digital_monitoring_platform,    0.555000
frontline_staff,community_led_resilience,    0.455000
frontline_staff,baseline_policy_continuation,    0.562500
technical_experts,targeted_service_expansion,    0.742500
technical_experts,infrastructure_repair_priority,    0.765000
technical_experts,digital_monitoring_platform,    0.790000
technical_experts,community_led_resilience,    0.727500
technical_experts,baseline_policy_continuation,    0.772500
public_agency,targeted_service_expansion,    0.680000
public_agency,infrastructure_repair_priority,    0.735000
public_agency,digital_monitoring_platform,    0.690000
public_agency,community_led_resilience,    0.635000
public_agency,baseline_policy_continuation,    0.780000
service_users,targeted_service_expansion,    0.490000
service_users,infrastructure_repair_priority,    0.517500
service_users,digital_monitoring_platform,    0.540000
service_users,community_led_resilience,    0.450000
service_users,baseline_policy_continuation,    0.557500
resource_managers,targeted_service_expansion,    0.735000
resource_managers,infrastructure_repair_priority,    0.755000
resource_managers,digital_monitoring_platform,    0.785000
resource_managers,community_led_resilience,    0.707500
resource_managers,baseline_policy_continuation,    0.780000
