"node","sector","load","capacity","criticality","repair_time","description"
"power_hub","power",85,120,0.95,4,"Primary power node supporting multiple dependent services"
"water_pump","water",50,70,0.8,3,"Water pumping asset dependent on power service"
"hospital","health",70,95,1,5,"Critical health facility dependent on power and access"
"telecom_exchange","telecom",65,85,0.9,4,"Telecommunications exchange supporting emergency operations and logistics"
"bridge","transport",75,110,0.75,6,"Major access connector for hospital and logistics hub"
"logistics_hub","logistics",60,80,0.7,3,"Distribution and supply node dependent on transport fuel and telecom"
"fuel_depot","fuel",45,65,0.65,3,"Fuel supply node supporting logistics movement"
"neighborhood_a","community",40,60,0.55,2,"Community service area dependent on water and logistics"
"neighborhood_b","community",35,55,0.5,2,"Community service area dependent on hospital and emergency operations"
"emergency_ops","emergency",55,75,0.95,4,"Emergency coordination node dependent on telecommunications"
