run_id,demand_growth,capacity_growth,rework_rate,intervention_pressure,systems_redesign_strength,delay_factor,uncertainty_humility,final_conceptual_score,final_modeled_score,conceptual_model_gap,maximum_backlog,minimum_trust
1,0.016905,0.010428,0.016217,0.548889,0.868714,0.642011,0.729316,76.668442,95.000000,-18.331558,27.232368,58.000000
2,0.017278,0.014529,0.028672,0.189014,0.283448,0.206940,0.868803,51.453877,2.000000,49.453877,200.000000,0.000000
3,0.020192,0.007053,0.012825,0.404679,0.870352,0.333640,0.287653,71.678163,95.000000,-23.321837,27.068767,58.000000
4,0.015713,0.018428,0.015315,0.647628,0.731434,0.790436,0.508410,69.491138,95.000000,-25.508862,30.425387,58.000000
5,0.021010,0.015027,0.011859,0.185264,0.558034,0.811937,0.723927,70.572099,90.395057,-19.822958,42.234763,58.000000
6,0.018109,0.007745,0.023867,0.596656,0.595660,0.865127,0.790287,54.586617,2.152059,52.434557,200.000000,0.608238
7,0.014121,0.008091,0.010210,0.593682,0.334318,0.566942,0.384470,42.656745,0.000000,42.656745,200.000000,0.000000
8,0.017776,0.019248,0.022776,0.845970,0.462667,0.171590,0.417999,44.188229,0.000000,44.188229,200.000000,8.994580
9,0.015304,0.009899,0.023771,0.810394,0.159422,0.736609,0.387391,28.421614,0.000000,28.421614,200.000000,0.000000
10,0.013167,0.007380,0.027798,0.649693,0.606239,0.801037,0.345295,48.186329,0.905029,47.281300,200.000000,5.323482
11,0.022218,0.009063,0.028116,0.566715,0.485624,0.449360,0.888319,53.557716,2.000000,51.557716,200.000000,0.000000
12,0.017493,0.014295,0.024913,0.426827,0.771474,0.218069,0.683765,74.673464,95.000000,-20.326536,30.132825,58.000000
13,0.015814,0.006698,0.014351,0.516654,0.688095,0.492634,0.845960,74.058127,94.480091,-20.421964,34.869867,58.000000
14,0.015158,0.009069,0.018903,0.577589,0.306139,0.563933,0.192793,38.273360,0.000000,38.273360,200.000000,0.000000
15,0.017940,0.013246,0.021298,0.717402,0.396437,0.628705,0.158476,39.993941,0.000000,39.993941,200.000000,0.000000
16,0.022911,0.004237,0.010306,0.636953,0.740533,0.723125,0.217627,62.700005,82.924161,-20.224156,39.143998,58.000000
17,0.021568,0.017806,0.025949,0.722099,0.113202,0.298966,0.217093,33.979372,0.000000,33.979372,200.000000,0.000000
18,0.023553,0.004067,0.013088,0.834197,0.497377,0.543457,0.856688,51.257102,2.000000,49.257102,200.000000,0.000000
19,0.019497,0.015553,0.010110,0.227025,0.828473,0.811067,0.805314,79.341564,95.000000,-15.658436,26.878058,58.000000
20,0.013801,0.004799,0.028380,0.861842,0.156205,0.376739,0.381740,26.387776,0.000000,26.387776,200.000000,0.000000
21,0.015732,0.016648,0.008448,0.477828,0.854258,0.329933,0.762064,77.348478,95.000000,-17.651522,25.801259,58.000000
22,0.021065,0.010838,0.013521,0.745850,0.538774,0.791884,0.882711,53.321725,3.737890,49.583835,200.000000,6.951561
23,0.020375,0.009585,0.020879,0.584880,0.564851,0.180535,0.545812,50.518764,5.286670,45.232094,200.000000,13.146680
24,0.013036,0.019742,0.022168,0.498375,0.317127,0.893370,0.230930,40.857063,0.000000,40.857063,200.000000,0.000000
25,0.020858,0.005840,0.027300,0.800379,0.429473,0.311032,0.415388,43.719739,0.000000,43.719739,200.000000,0.000000
26,0.013736,0.017217,0.018753,0.877445,0.192757,0.696069,0.214009,34.602724,0.000000,34.602724,200.000000,0.000000
27,0.021344,0.017937,0.020943,0.426677,0.301241,0.242359,0.261911,41.483131,0.000000,41.483131,200.000000,0.000000
28,0.020252,0.016200,0.027206,0.436660,0.484334,0.116318,0.424323,48.071260,1.380735,46.690524,200.000000,3.097945
29,0.016181,0.007315,0.014697,0.437769,0.563071,0.258956,0.552289,67.013275,92.717681,-25.704407,47.242802,58.000000
30,0.016301,0.009810,0.010516,0.750239,0.194024,0.216989,0.211383,35.325547,0.000000,35.325547,200.000000,0.000000
31,0.023278,0.009052,0.029204,0.335333,0.637632,0.378886,0.483274,53.386329,3.022428,50.363900,200.000000,4.089713
32,0.019503,0.011775,0.008897,0.759563,0.629779,0.348093,0.784739,69.477535,93.290593,-23.813058,37.942795,58.000000
33,0.015233,0.017784,0.020956,0.148239,0.576614,0.644803,0.562456,70.147744,93.814159,-23.666415,37.611616,58.000000
34,0.022093,0.009931,0.013843,0.329163,0.168935,0.416967,0.207953,35.555606,0.000000,35.555606,200.000000,0.000000
35,0.013021,0.015195,0.021931,0.499710,0.757862,0.849662,0.722026,74.299381,95.000000,-20.700619,30.370181,58.000000
36,0.014541,0.017634,0.014814,0.369228,0.896951,0.583812,0.174394,71.014525,95.000000,-23.985475,25.370882,58.000000
37,0.019656,0.009229,0.023534,0.415720,0.206122,0.286006,0.474019,41.833829,0.000000,41.833829,200.000000,0.000000
38,0.017907,0.014388,0.008713,0.812884,0.746585,0.786113,0.140649,63.384059,89.612631,-26.228572,30.728769,58.000000
39,0.014433,0.012498,0.028563,0.835427,0.826493,0.550743,0.777790,74.041485,95.000000,-20.958515,31.221624,58.000000
40,0.012422,0.019907,0.010024,0.801663,0.846135,0.792678,0.250975,67.407596,93.740292,-26.332696,26.181150,58.000000
41,0.018893,0.004704,0.016308,0.899804,0.473121,0.741746,0.164810,38.197143,0.000000,38.197143,200.000000,0.000000
42,0.023559,0.015970,0.008872,0.546598,0.558757,0.142298,0.218818,60.630926,85.256533,-24.625607,41.783457,58.000000
43,0.022087,0.015591,0.014504,0.248435,0.672432,0.202779,0.554754,71.793017,94.611165,-22.818147,32.176324,58.000000
44,0.017845,0.011861,0.020532,0.503340,0.398246,0.204571,0.383896,44.905721,0.000000,44.905721,200.000000,0.000000
45,0.019164,0.007082,0.023930,0.135160,0.322582,0.447238,0.721366,50.759816,2.000000,48.759816,200.000000,0.000000
46,0.017689,0.007035,0.011379,0.822799,0.430033,0.819946,0.664956,47.047775,1.875506,45.172269,200.000000,0.000000
47,0.019909,0.017016,0.021810,0.654405,0.239579,0.399663,0.748622,44.995370,1.476214,43.519156,200.000000,0.000000
48,0.021232,0.018142,0.015916,0.770301,0.241591,0.100285,0.404476,39.298449,0.000000,39.298449,200.000000,0.000000
49,0.012015,0.019830,0.024121,0.350821,0.555109,0.457661,0.501164,67.494912,94.883015,-27.388103,38.628736,58.000000
50,0.019937,0.009361,0.027350,0.486678,0.392938,0.162327,0.773636,50.367989,2.000000,48.367989,200.000000,0.000000
51,0.013901,0.016076,0.028004,0.520571,0.429266,0.222185,0.534106,47.615304,2.164313,45.450991,200.000000,3.391727
52,0.019594,0.006155,0.026185,0.810983,0.313011,0.214720,0.452107,40.482522,0.000000,40.482522,200.000000,0.000000
53,0.021113,0.009432,0.021923,0.656668,0.443700,0.763144,0.509819,46.532937,0.085359,46.447578,200.000000,0.000000
