parameter,delta,base_value,revised_value,base_final_modeled_score,revised_final_modeled_score,score_change,absolute_score_change
rework_rate,0.1,0.012,0.112,95.0,3.632,-91.368,91.368
demand_growth,0.1,0.018,0.118,95.0,4.106,-90.894,90.894
trust_gain_from_service,-0.1,0.008,0.0,95.0,89.315,-5.685,5.685
demand_growth,-0.1,0.018,0.0,95.0,95.0,0.0,0.0
capacity_growth,-0.1,0.014,0.0,95.0,95.0,0.0,0.0
capacity_growth,0.1,0.014,0.114,95.0,95.0,0.0,0.0
rework_rate,-0.1,0.012,0.0,95.0,95.0,0.0,0.0
trust_loss_from_backlog,-0.1,0.005,0.0,95.0,95.0,0.0,0.0
trust_loss_from_backlog,0.1,0.005,0.105,95.0,95.0,0.0,0.0
trust_gain_from_service,0.1,0.008,0.108,95.0,95.0,0.0,0.0
intervention_pressure,-0.1,0.28,0.18,95.0,95.0,0.0,0.0
intervention_pressure,0.1,0.28,0.38,95.0,95.0,0.0,0.0
systems_redesign_strength,-0.1,0.78,0.68,95.0,95.0,0.0,0.0
systems_redesign_strength,0.1,0.78,0.88,95.0,95.0,0.0,0.0
delay_factor,-0.1,0.25,0.15,95.0,95.0,0.0,0.0
delay_factor,0.1,0.25,0.35,95.0,95.0,0.0,0.0
uncertainty_humility,-0.1,0.82,0.72,95.0,95.0,0.0,0.0
uncertainty_humility,0.1,0.82,0.92,95.0,95.0,0.0,0.0
