time,true_state,observed_state,estimated_state,residual,drift_indicator,intervention_flag
0, 11.160000, 11.160000, 11.160000,  0.000000,  0.000000,0
1, 10.408750, 10.539628, 10.448013,  0.130878,  0.018323,0
2,  9.739738,  9.987086,  9.839503,  0.210833,  0.044175,0
3,  9.146613,  9.483201,  9.312536,  0.243807,  0.069473,0
4,  8.623175,  9.011950,  8.847824,  0.234466,  0.088404,0
5,  8.163381,  8.561544,  8.429076,  0.189240,  0.097217,0
6,  7.761337,  8.125056,  8.043420,  0.116622,  0.094100,0
7,  7.411309,  7.700543,  7.681715,  0.026897,  0.079046,0
8, 11.107724, 11.290633,  9.226632,  3.931431,  0.476037,1
9, 10.565181, 10.621629,  9.357525,  1.805864,  0.633650,0
10, 10.078060, 10.001833,  9.269007,  1.046893,  0.653485,0
11,  9.639958,  9.439447,  9.053111,  0.551908,  0.600056,0
12,  9.244772,  8.942051,  8.771919,  0.243046,  0.514071,0
13,  8.886706,  8.515100,  8.467397,  0.068148,  0.420797,0
14,  8.560271,  8.160689,  8.167426, -0.009624,  0.337985,0
15,  8.260301,  7.876731,  7.889488, -0.018224,  0.272940,0
16, 11.981952, 11.656620,  9.546370,  4.019524,  0.640402,1
17, 11.440715, 11.209435,  9.785767,  2.033812,  0.797055,0
18, 10.932019, 10.820253,  9.821118,  1.427335,  0.837471,0
19, 10.450668, 10.470718,  9.733486,  1.053189,  0.817423,0
20,  9.991910, 10.141571,  9.569923,  0.816639,  0.768268,0
21,  9.551439,  9.814234,  9.355564,  0.655242,  0.706348,0
22,  9.125387,  9.472386,  9.101972,  0.529163,  0.639161,0
23,  8.710322,  9.103325,  8.812980,  0.414779,  0.569398,0
