time,true_state,observed_state,estimated_state,absolute_error_observed,absolute_error_estimated,drift_indicator,capacity_margin,intervention_flag
0,12.0,11.85591,11.85591,0.14409,0.14409,0.0,6.14409,0
1,11.103498,10.992182,11.036817,0.111316,0.066681,0.022317,6.963183,0
2,10.736846,10.609258,10.409466,0.127588,0.32738,0.081476,7.590534,0
3,9.325246,9.657564,9.735891,0.332318,0.410645,0.080688,8.264109,0
4,8.655636,8.438677,8.951446,0.216959,0.29581,0.167104,9.048554,0
5,8.251511,8.483809,8.473213,0.232298,0.221702,0.14102,9.526787,0
6,8.425078,9.081714,8.359151,0.656637,0.065927,0.224097,9.640849,0
7,8.083841,7.345519,7.780749,0.738322,0.303092,0.250489,10.219251,0
8,7.225848,7.47219,7.457569,0.246342,0.231721,0.224281,10.542431,0
9,7.610577,7.652234,7.315046,0.041657,0.295531,0.235572,10.684954,0
10,7.277116,7.808892,7.281472,0.531776,0.004356,0.288314,10.718528,0
11,6.308308,5.99603,6.726201,0.312277,0.417893,0.356867,11.273799,0
12,6.391519,7.264923,6.753962,0.873404,0.362443,0.387984,11.246038,0
13,6.112865,6.489465,6.546016,0.3766,0.433151,0.385807,11.453984,0
14,6.104706,6.887033,6.534511,0.782327,0.429804,0.369782,11.465489,0
15,5.420014,5.988265,6.25992,0.568251,0.839906,0.395888,11.74008,0
16,4.583225,1.96328,4.146397,2.619945,0.436829,0.541944,13.853603,1
17,4.256454,3.340644,3.909747,0.91581,0.346707,0.555331,14.090253,0
18,4.688662,5.352928,4.355632,0.664266,0.333031,0.653598,13.644368,0
19,4.034809,4.88217,4.49889,0.847361,0.464082,0.658208,13.50111,0
20,3.52406,3.437816,4.151075,0.086244,0.627015,0.676792,13.848925,0
21,3.389388,3.503808,3.934766,0.11442,0.545378,0.64687,14.065234,0
22,3.803998,4.442412,4.064041,0.638414,0.260042,0.633611,13.935959,0
23,3.936373,4.586321,4.178185,0.649948,0.241812,0.66877,13.821815,0
24,4.102711,3.475726,3.904563,0.626985,0.198148,0.676401,14.095437,0
