x,y,population,hazard,vulnerability,risk_score,accessibility,service_gap_score
1,1,  185.303886,    0.376637,    0.345560,   24.117397,   25.704551,    6.939038
1,2,  191.597480,    0.501902,    0.327969,   31.538596,   31.826230,    5.836719
1,3,  177.211634,    0.676724,    0.306628,   36.771817,   39.464166,    4.379471
1,4,  159.739521,    0.920708,    0.306226,   45.037758,   48.020047,    3.258657
1,5,  159.733806,    0.892491,    0.332247,   47.365451,   55.497394,    2.827277
1,6,  181.730006,    0.656506,    0.365834,   43.646465,   58.795602,    3.039187
1,7,  209.975618,    0.487415,    0.381026,   38.996228,   56.237062,    3.668525
1,8,  222.792979,    0.366256,    0.368508,   30.070017,   49.506610,    4.411165
1,9,  212.374583,    0.279442,    0.344044,   20.417783,   41.712391,    4.972201
1,10,  191.817983,    0.217237,    0.333850,   13.911527,   34.858841,    5.349252
1,11,  182.942108,    0.172665,    0.350360,   11.067085,   29.552276,    5.987839
1,12,  196.098358,    0.140728,    0.380677,   10.505377,   25.697003,    7.345332
1,13,  220.550332,    0.117844,    0.398337,   10.353018,   23.001846,    9.188891
1,14,  234.277865,    0.101447,    0.387580,    9.211565,   21.179464,   10.562828
1,15,  224.199059,    0.089698,    0.357820,    7.195855,   19.991603,   10.680416
1,16,  198.220928,    0.081280,    0.335008,    5.397426,   19.241651,    9.792725
1,17,  178.036684,    0.075248,    0.337835,    4.525921,   18.757108,    9.011272
1,18,  179.284341,    0.070925,    0.360641,    4.585843,   18.378886,    9.251530
1,19,  197.297883,    0.067828,    0.378734,    5.068366,   17.964605,   10.403480
1,20,  211.539025,    0.065609,    0.371224,    5.152189,   17.405302,   11.493374
1,21,  204.623304,    0.064019,    0.340364,    4.458709,   16.645187,   11.596551
1,22,  178.438300,    0.062880,    0.309607,    3.473852,   15.688979,   10.691984
1,23,  152.528124,    0.062064,    0.302164,    2.860418,   14.588956,    9.784371
1,24,  146.225585,    0.061479,    0.319765,    2.874608,   13.418726,   10.141367
1,25,  160.958317,    0.061059,    0.341158,    3.352906,   12.248276,   12.149379
2,1,  191.597480,    0.332532,    0.327969,   20.895676,   30.286878,    6.123893
2,2,  155.257806,    0.440349,    0.307195,   21.002180,   39.501732,    3.833362
2,3,  172.807337,    0.590819,    0.307501,   31.395173,   52.589859,    3.224628
2,4,  210.376670,    0.800818,    0.334382,   56.334470,   69.864910,    2.968700
2,5,  178.031399,    1.000000,    0.368992,   65.692246,   87.779733,    2.005316
2,6,  184.217609,    0.753041,    0.385373,   53.460294,   96.371401,    1.891907
2,7,  228.245697,    0.556585,    0.374199,   47.537579,   88.631258,    2.546497
2,8,  201.786604,    0.415819,    0.351209,   29.468748,   71.578557,    2.780251
2,9,  195.151401,    0.314955,    0.342576,   21.056061,   55.187797,    3.473199
2,10,  240.903885,    0.242684,    0.360674,   21.086246,   43.019413,    5.472674
2,11,  221.010897,    0.190898,    0.392534,   16.561258,   34.774897,    6.177821
2,12,  200.563692,    0.153793,    0.411610,   12.696232,   29.369450,    6.604127
2,13,  242.938055,    0.127206,    0.402067,   12.425110,   25.902681,    9.030254
2,14,  229.975795,    0.108155,    0.373255,    9.283975,   23.761816,    9.287517
2,15,  196.531389,    0.094504,    0.351087,    6.520772,   22.537821,    8.349600
2,16,  231.865921,    0.084724,    0.354242,    6.958903,   21.934387,   10.109968
2,17,  227.153149,    0.077715,    0.377072,    6.656538,   21.700598,   10.006483
2,18,  184.189715,    0.072693,    0.394918,    5.287706,   21.592917,    8.152542
2,19,  210.889728,    0.069095,    0.386935,    5.638220,   21.374463,    9.425466
2,20,  216.259761,    0.066517,    0.355427,    5.112806,   20.853609,    9.895837
2,21,  168.718888,    0.064670,    0.323896,    3.534030,   19.938170,    8.057958
2,22,  186.085262,    0.063346,    0.315597,    3.720178,   18.659289,    9.465513
2,23,  202.337433,    0.062397,    0.332298,    4.195375,   17.139485,   11.154530
2,24,  154.971502,    0.061718,    0.352776,    3.374129,   15.528612,    9.375954
2,25,  162.305673,    0.061231,    0.352427,    3.502465,   13.951334,   10.855598
3,1,  177.211634,    0.294570,    0.306628,   16.006350,   34.895197,    4.936918
3,2,  172.807337,    0.387369,    0.307501,   20.584162,   48.107880,    3.518933
3,3,  196.610462,    0.516881,    0.335112,   34.055433,   69.917533,    2.772382
