scenario,x,y,population,hazard,vulnerability,risk_score,accessibility,service_gap_score
baseline_spatial_system,1,1,185.303886,0.376637,0.345560,24.117397,25.704551,6.939038
baseline_spatial_system,1,2,191.597480,0.501902,0.327969,31.538596,31.826230,5.836719
baseline_spatial_system,1,3,177.211634,0.676724,0.306628,36.771817,39.464166,4.379471
baseline_spatial_system,1,4,159.739521,0.920708,0.306226,45.037758,48.020047,3.258657
baseline_spatial_system,1,5,159.733806,0.892491,0.332247,47.365451,55.497394,2.827277
baseline_spatial_system,1,6,181.730006,0.656506,0.365834,43.646465,58.795602,3.039187
baseline_spatial_system,1,7,209.975618,0.487415,0.381026,38.996228,56.237062,3.668525
baseline_spatial_system,1,8,222.792979,0.366256,0.368508,30.070017,49.506610,4.411165
baseline_spatial_system,1,9,212.374583,0.279442,0.344044,20.417783,41.712391,4.972201
baseline_spatial_system,1,10,191.817983,0.217237,0.333850,13.911527,34.858841,5.349252
baseline_spatial_system,1,11,182.942108,0.172665,0.350360,11.067085,29.552276,5.987839
baseline_spatial_system,1,12,196.098358,0.140728,0.380677,10.505377,25.697003,7.345332
baseline_spatial_system,1,13,220.550332,0.117844,0.398337,10.353018,23.001846,9.188891
baseline_spatial_system,1,14,234.277865,0.101447,0.387580,9.211565,21.179464,10.562828
baseline_spatial_system,1,15,224.199059,0.089698,0.357820,7.195855,19.991603,10.680416
baseline_spatial_system,1,16,198.220928,0.081280,0.335008,5.397426,19.241651,9.792725
baseline_spatial_system,1,17,178.036684,0.075248,0.337835,4.525921,18.757108,9.011272
baseline_spatial_system,1,18,179.284341,0.070925,0.360641,4.585843,18.378886,9.251530
baseline_spatial_system,1,19,197.297883,0.067828,0.378734,5.068366,17.964605,10.403480
baseline_spatial_system,1,20,211.539025,0.065609,0.371224,5.152189,17.405302,11.493374
baseline_spatial_system,1,21,204.623304,0.064019,0.340364,4.458709,16.645187,11.596551
baseline_spatial_system,1,22,178.438300,0.062880,0.309607,3.473852,15.688979,10.691984
baseline_spatial_system,1,23,152.528124,0.062064,0.302164,2.860418,14.588956,9.784371
baseline_spatial_system,1,24,146.225585,0.061479,0.319765,2.874608,13.418726,10.141367
baseline_spatial_system,1,25,160.958317,0.061059,0.341158,3.352906,12.248276,12.149379
baseline_spatial_system,2,1,191.597480,0.332532,0.327969,20.895676,30.286878,6.123893
baseline_spatial_system,2,2,155.257806,0.440349,0.307195,21.002180,39.501732,3.833362
baseline_spatial_system,2,3,172.807337,0.590819,0.307501,31.395173,52.589859,3.224628
baseline_spatial_system,2,4,210.376670,0.800818,0.334382,56.334470,69.864910,2.968700
baseline_spatial_system,2,5,178.031399,1.000000,0.368992,65.692246,87.779733,2.005316
baseline_spatial_system,2,6,184.217609,0.753041,0.385373,53.460294,96.371401,1.891907
baseline_spatial_system,2,7,228.245697,0.556585,0.374199,47.537579,88.631258,2.546497
baseline_spatial_system,2,8,201.786604,0.415819,0.351209,29.468748,71.578557,2.780251
baseline_spatial_system,2,9,195.151401,0.314955,0.342576,21.056061,55.187797,3.473199
baseline_spatial_system,2,10,240.903885,0.242684,0.360674,21.086246,43.019413,5.472674
baseline_spatial_system,2,11,221.010897,0.190898,0.392534,16.561258,34.774897,6.177821
baseline_spatial_system,2,12,200.563692,0.153793,0.411610,12.696232,29.369450,6.604127
baseline_spatial_system,2,13,242.938055,0.127206,0.402067,12.425110,25.902681,9.030254
baseline_spatial_system,2,14,229.975795,0.108155,0.373255,9.283975,23.761816,9.287517
baseline_spatial_system,2,15,196.531389,0.094504,0.351087,6.520772,22.537821,8.349600
baseline_spatial_system,2,16,231.865921,0.084724,0.354242,6.958903,21.934387,10.109968
baseline_spatial_system,2,17,227.153149,0.077715,0.377072,6.656538,21.700598,10.006483
baseline_spatial_system,2,18,184.189715,0.072693,0.394918,5.287706,21.592917,8.152542
baseline_spatial_system,2,19,210.889728,0.069095,0.386935,5.638220,21.374463,9.425466
baseline_spatial_system,2,20,216.259761,0.066517,0.355427,5.112806,20.853609,9.895837
baseline_spatial_system,2,21,168.718888,0.064670,0.323896,3.534030,19.938170,8.057958
baseline_spatial_system,2,22,186.085262,0.063346,0.315597,3.720178,18.659289,9.465513
baseline_spatial_system,2,23,202.337433,0.062397,0.332298,4.195375,17.139485,11.154530
baseline_spatial_system,2,24,154.971502,0.061718,0.352776,3.374129,15.528612,9.375954
baseline_spatial_system,2,25,162.305673,0.061231,0.352427,3.502465,13.951334,10.855598
baseline_spatial_system,3,1,177.211634,0.294570,0.306628,16.006350,34.895197,4.936918
baseline_spatial_system,3,2,172.807337,0.387369,0.307501,20.584162,48.107880,3.518933
baseline_spatial_system,3,3,196.610462,0.516881,0.335112,34.055433,69.917533,2.772382
baseline_spatial_system,3,4,179.746627,0.697628,0.370637,46.476498,106.039914,1.679249
baseline_spatial_system,3,5,216.506977,0.949882,0.388135,79.822362,156.477229,1.374846
baseline_spatial_system,3,6,188.653218,0.865198,0.378291,61.745566,186.947273,1.003756
baseline_spatial_system,3,7,235.418471,0.636950,0.356839,53.507903,157.455652,1.485706
baseline_spatial_system,3,8,198.592720,0.473403,0.349929,32.898355,108.011041,1.821767
baseline_spatial_system,3,9,251.248133,0.356216,0.369888,33.104431,72.912010,3.399287
baseline_spatial_system,3,10,207.819745,0.272248,0.403669,22.838988,52.176688,3.908099
baseline_spatial_system,3,11,261.480801,0.212082,0.424631,23.548106,40.114955,6.359749
baseline_spatial_system,3,12,214.180314,0.168972,0.416827,15.085138,32.993792,6.300571
baseline_spatial_system,3,13,263.920403,0.138082,0.389500,14.194371,28.802770,8.855566
baseline_spatial_system,3,14,216.061746,0.115948,0.368476,9.231037,26.469918,7.865395
baseline_spatial_system,3,15,257.755593,0.100088,0.372383,9.606876,25.392520,9.766237
baseline_spatial_system,3,16,213.314169,0.088725,0.395560,7.486462,25.181004,8.147669
baseline_spatial_system,3,17,244.094464,0.080582,0.413373,8.130907,25.505134,9.209328
baseline_spatial_system,3,18,207.262453,0.074748,0.405029,6.274863,26.000257,7.676314
baseline_spatial_system,3,19,225.406199,0.070567,0.372894,5.931358,26.249660,8.271890
baseline_spatial_system,3,20,199.807633,0.067572,0.340541,4.597759,25.876578,7.434266
baseline_spatial_system,3,21,204.433673,0.065425,0.331287,4.431016,24.704998,7.953071
baseline_spatial_system,3,22,192.497171,0.063887,0.346957,4.266928,22.841507,8.074035
baseline_spatial_system,3,23,183.437879,0.062785,0.366371,4.219581,20.583096,8.499146
baseline_spatial_system,3,24,186.138309,0.061996,0.364960,4.211564,18.243157,9.672961
baseline_spatial_system,3,25,163.989093,0.061430,0.337459,3.399515,16.039475,9.624070
baseline_spatial_system,4,1,159.739521,0.261897,0.306226,12.811046,38.580273,4.035837
baseline_spatial_system,4,2,210.376670,0.341769,0.334382,24.042150,55.651140,3.713547
baseline_spatial_system,4,3,179.746627,0.453241,0.370637,30.195229,87.904122,2.021803
baseline_spatial_system,4,4,193.955194,0.608812,0.389083,45.943801,156.552773,1.231049
baseline_spatial_system,4,5,232.336312,0.825928,0.380435,73.002930,307.053830,0.754207
baseline_spatial_system,4,6,195.440795,0.995507,0.360451,70.130279,457.592887,0.426175
baseline_spatial_system,4,7,233.403385,0.730320,0.355287,60.561948,308.176521,0.754919
baseline_spatial_system,4,8,248.655982,0.540305,0.377253,50.683960,158.815775,1.555891
baseline_spatial_system,4,9,217.646422,0.404154,0.413251,36.350609,91.346453,2.356847
baseline_spatial_system,4,10,267.567708,0.306597,0.436547,35.812333,60.340720,4.361992
baseline_spatial_system,4,11,254.401084,0.236694,0.431065,25.956715,44.624974,5.575917
baseline_spatial_system,4,12,237.930801,0.186607,0.405893,18.021479,36.118059,6.410109
baseline_spatial_system,4,13,282.892213,0.150718,0.386704,16.487866,31.482568,8.709047
baseline_spatial_system,4,14,244.098393,0.125002,0.392001,11.961052,29.213002,8.079250
baseline_spatial_system,4,15,246.338270,0.106576,0.416053,10.922956,28.577117,8.328678
baseline_spatial_system,4,16,271.940530,0.093373,0.434217,11.025633,29.161768,9.016067
baseline_spatial_system,4,17,219.992702,0.083913,0.425745,7.859362,30.606810,6.960294
baseline_spatial_system,4,18,241.215899,0.077134,0.393084,7.313746,32.393190,7.223506
baseline_spatial_system,4,19,240.783431,0.072277,0.359900,6.263410,33.734687,6.932074
baseline_spatial_system,4,20,193.233038,0.068797,0.349604,4.647592,33.772800,5.557017
baseline_spatial_system,4,21,227.842439,0.066303,0.364101,5.500378,32.093017,6.884910
baseline_spatial_system,4,22,202.037735,0.064517,0.382279,4.982928,29.034822,6.726783
baseline_spatial_system,4,23,173.674298,0.063236,0.379619,4.169167,25.369761,6.586116
baseline_spatial_system,4,24,210.232408,0.062319,0.350891,4.597187,21.769556,9.233048
baseline_spatial_system,4,25,166.000442,0.061662,0.315085,3.225162,18.586447,8.475271
baseline_spatial_system,5,1,159.733806,0.233774,0.332247,12.406638,40.246850,3.872630
baseline_spatial_system,5,2,178.031399,0.302521,0.368992,19.873289,59.034187,2.965500
baseline_spatial_system,5,3,216.506977,0.398465,0.388135,33.484642,96.591483,2.218503
baseline_spatial_system,5,4,232.336312,0.532367,0.380435,47.055315,187.128005,1.234991
baseline_spatial_system,5,5,216.012901,0.719241,0.361697,56.195164,457.704265,0.470920
baseline_spatial_system,5,6,204.809206,0.980044,0.358120,71.882592,908.323592,0.225232
baseline_spatial_system,5,7,229.120951,0.838801,0.382040,73.422992,458.992704,0.498097
baseline_spatial_system,5,8,268.544923,0.618035,0.420358,69.766823,189.724293,1.408027
baseline_spatial_system,5,9,280.603946,0.459850,0.446292,57.587596,100.540581,2.763466
baseline_spatial_system,5,10,260.971306,0.346505,0.443658,40.119029,64.419159,3.989218
baseline_spatial_system,5,11,248.948430,0.265290,0.421371,27.828792,47.208452,5.164000
baseline_spatial_system,5,12,270.421129,0.207096,0.404883,22.674784,38.294426,6.881921
baseline_spatial_system,5,13,300.123996,0.165399,0.412471,20.475170,33.730188,8.641589
baseline_spatial_system,5,14,297.388662,0.135522,0.438222,17.661493,31.886306,9.042933
baseline_spatial_system,5,15,264.247769,0.114114,0.457396,13.792474,32.088107,7.986186
baseline_spatial_system,5,16,242.683461,0.098774,0.449249,10.768891,34.078658,6.918265
baseline_spatial_system,5,17,254.929468,0.087783,0.416308,9.316341,37.664004,6.593457
baseline_spatial_system,5,18,272.267011,0.079907,0.382366,8.318804,42.250322,6.295144
baseline_spatial_system,5,19,256.907061,0.074264,0.370969,7.077729,46.293160,5.432224
baseline_spatial_system,5,20,216.850856,0.070221,0.384149,5.849605,47.484998,4.472535
baseline_spatial_system,5,21,195.058313,0.067324,0.400894,5.264550,44.566691,4.280721
baseline_spatial_system,5,22,208.406614,0.065248,0.396763,5.395190,38.720310,5.246853
baseline_spatial_system,5,23,223.885664,0.063760,0.366582,5.232937,32.164011,6.750862
baseline_spatial_system,5,24,206.147207,0.062694,0.329374,4.256903,26.324234,7.544483
baseline_spatial_system,5,25,168.305902,0.061930,0.310989,3.241515,21.621682,7.440026
baseline_spatial_system,6,1,181.730006,0.209569,0.365834,13.932752,39.386213,4.499803
baseline_spatial_system,6,2,184.217609,0.268740,0.385373,19.078533,56.582920,3.199171
baseline_spatial_system,6,3,188.653218,0.351320,0.378291,25.072223,88.976391,2.096697
baseline_spatial_system,6,4,195.440795,0.466570,0.360451,32.868338,157.779249,1.230896
baseline_spatial_system,6,5,204.809206,0.627414,0.358120,46.018446,308.446499,0.661857
baseline_spatial_system,6,6,216.763896,0.851890,0.383703,70.854213,459.161628,0.471060
