scenario,cell_id,x,y,population,hazard,vulnerability,risk_score,accessibility,nearest_service,nearest_distance,service_gap_score,priority_zone
baseline_spatial_system,baseline_spatial_system_cell_1_1,1,1,161,0.34964,0.262923,14.800485,25.704551,clinic_a,6.403124,6.028935,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_2,1,2,165,0.530279,0.359076,31.417694,31.82623,clinic_a,5.656854,5.026468,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_3,1,3,182,0.667355,0.235291,28.578116,39.464166,clinic_a,5.0,4.497807,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_4,1,4,172,0.886945,0.336065,51.268227,48.020047,clinic_a,4.472136,3.508769,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_5,1,5,200,0.910477,0.349618,63.663784,55.497394,clinic_a,4.123106,3.539986,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_6,1,6,191,0.622958,0.363977,43.307886,58.795602,clinic_a,4.0,3.194215,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_7,1,7,195,0.524113,0.390973,39.958295,56.237062,clinic_a,4.123106,3.406883,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_8,1,8,195,0.347086,0.287241,19.440965,49.50661,clinic_a,4.472136,3.860881,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_9,1,9,224,0.230572,0.279708,14.446374,41.712391,clinic_a,5.0,5.24438,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_10,1,10,199,0.258936,0.384595,19.817545,34.858841,clinic_a,5.656854,5.549538,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_11,1,11,222,0.177013,0.46108,18.118988,29.552276,clinic_a,6.403124,7.266234,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_12,1,12,172,0.126152,0.37848,8.212336,25.697003,clinic_a,7.211103,6.442671,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_13,1,13,227,0.161249,0.384089,14.059029,23.001846,clinic_a,8.062258,9.457606,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_1_14,1,14,179,0.125996,0.277237,6.252591,21.179464,clinic_a,8.944272,8.070529,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_15,1,15,211,0.039273,0.313015,2.593853,19.991603,clinic_b,9.433981,10.051638,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_1_16,1,16,226,0.0334,0.319444,2.411288,19.241651,clinic_b,8.944272,11.165097,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_1_17,1,17,186,0.059669,0.302266,3.354699,18.757108,clinic_b,8.544004,9.414333,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_18,1,18,180,0.042963,0.443476,3.429525,18.378886,clinic_b,8.246211,9.288459,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_19,1,19,173,0.028365,0.397171,1.948976,17.964605,clinic_b,8.062258,9.122257,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_20,1,20,161,0.025218,0.322015,1.307392,17.405302,clinic_b,8.0,8.747479,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_1_21,1,21,219,0.070853,0.377552,5.858424,16.645187,clinic_b,8.062258,12.411317,high_service_gap
