"scenario","service_id","x","y","capacity"
"baseline_spatial_system","clinic_a",5,6,900
"baseline_spatial_system","clinic_b",9,20,650
"baseline_spatial_system","clinic_c",18,10,800
"baseline_spatial_system","clinic_d",22,21,500
"higher_hazard_system","clinic_a",5,6,900
"higher_hazard_system","clinic_b",9,20,650
"higher_hazard_system","clinic_c",18,10,800
"higher_hazard_system","clinic_d",22,21,500
"high_vulnerability_system","clinic_a",5,6,900
"high_vulnerability_system","clinic_b",9,20,650
"high_vulnerability_system","clinic_c",18,10,800
"high_vulnerability_system","clinic_d",22,21,500
"low_access_system","clinic_a",5,6,585
"low_access_system","clinic_b",9,20,422.5
"low_access_system","clinic_c",18,10,520
"low_access_system","clinic_d",22,21,325
"population_growth_system","clinic_a",5,6,900
"population_growth_system","clinic_b",9,20,650
"population_growth_system","clinic_c",18,10,800
"population_growth_system","clinic_d",22,21,500
"resilient_service_system","clinic_a",8,6,1170
"resilient_service_system","clinic_b",9,17,845
"resilient_service_system","clinic_c",15,13,1040
"resilient_service_system","clinic_d",22,21,650
