scenario,service_id,x,y,capacity
baseline_spatial_system,clinic_a,5,6,900.0
baseline_spatial_system,clinic_b,9,20,650.0
baseline_spatial_system,clinic_c,18,10,800.0
baseline_spatial_system,clinic_d,22,21,500.0
higher_hazard_system,clinic_a,5,6,900.0
higher_hazard_system,clinic_b,9,20,650.0
higher_hazard_system,clinic_c,18,10,800.0
higher_hazard_system,clinic_d,22,21,500.0
high_vulnerability_system,clinic_a,5,6,900.0
high_vulnerability_system,clinic_b,9,20,650.0
high_vulnerability_system,clinic_c,18,10,800.0
high_vulnerability_system,clinic_d,22,21,500.0
low_access_system,clinic_a,5,6,585.0
low_access_system,clinic_b,9,20,422.5
low_access_system,clinic_c,18,10,520.0
low_access_system,clinic_d,22,21,325.0
population_growth_system,clinic_a,5,6,900.0
population_growth_system,clinic_b,9,20,650.0
population_growth_system,clinic_c,18,10,800.0
population_growth_system,clinic_d,22,21,500.0
resilient_service_system,clinic_a,8,6,1170.0
resilient_service_system,clinic_b,9,17,845.0
resilient_service_system,clinic_c,15,13,1040.0
resilient_service_system,clinic_d,22,21,650.0
