scenario,priority_zone,cell_count,population,total_risk_score,average_risk_score,average_accessibility,total_service_gap_score,average_service_gap_score
baseline_spatial_system,high_risk,74,25154.0,9436.568166,127.521191,130.929201,357.919061,4.836744
baseline_spatial_system,high_risk_high_service_gap,21,10603.0,3161.843344,150.563969,43.190343,241.461932,11.498187
baseline_spatial_system,high_service_gap,74,19395.0,1326.741442,17.928938,23.771319,798.220853,10.786768
baseline_spatial_system,standard_monitoring,456,111102.0,10538.145286,23.109968,66.131027,2467.097017,5.4103
higher_hazard_system,high_risk,74,25554.0,11489.563314,155.264369,115.70517,367.317162,4.963745
higher_hazard_system,high_risk_high_service_gap,21,10603.0,4183.671496,199.222452,43.190343,241.461932,11.498187
higher_hazard_system,high_service_gap,74,19395.0,1791.100946,24.204067,23.771319,798.220853,10.786768
higher_hazard_system,standard_monitoring,456,110702.0,13999.966179,30.70168,68.601593,2457.698916,5.389691
high_vulnerability_system,high_risk,74,25154.0,12739.367025,172.153608,130.929201,357.919061,4.836744
high_vulnerability_system,high_risk_high_service_gap,21,10603.0,4265.727781,203.129894,43.190343,241.461932,11.498187
high_vulnerability_system,high_service_gap,74,19395.0,1791.100946,24.204067,23.771319,798.220853,10.786768
high_vulnerability_system,standard_monitoring,456,111102.0,14226.496155,31.198456,66.131027,2467.097017,5.4103
low_access_system,high_risk,74,25154.0,9436.568166,127.521191,85.103981,545.392023,7.370162
low_access_system,high_risk_high_service_gap,21,10603.0,3161.843344,150.563969,28.073723,366.938267,17.473251
low_access_system,high_service_gap,74,19605.0,1370.119005,18.515122,15.651098,1197.209,16.1785
low_access_system,standard_monitoring,456,110892.0,10494.767723,23.014841,42.952753,3740.191772,8.202175
population_growth_system,high_risk,74,31444.0,11796.479444,159.411884,130.929201,447.449103,6.046609
population_growth_system,high_risk_high_service_gap,21,13256.0,3953.310294,188.252871,43.190343,301.874406,14.374972
population_growth_system,high_service_gap,74,24247.0,1660.103566,22.433832,23.771557,997.886932,13.484959
population_growth_system,standard_monitoring,456,138868.0,13170.93788,28.883636,66.130988,3083.575165,6.762226
resilient_service_system,high_risk,95,35757.0,10243.458521,107.825879,172.446047,308.190587,3.244111
resilient_service_system,high_service_gap,95,20149.0,831.38289,8.751399,21.56347,920.940852,9.694114
resilient_service_system,standard_monitoring,435,110348.0,8781.255468,20.186794,89.538632,1864.772905,4.286834
