scenario,time,exponential,logistic,delayed_feedback,delayed_state,delayed_feedback_inflow,delayed_feedback_outflow,shock
baseline_historical_dynamics,0,10.0,10.0,10.0,10.0,0.8,0.0,0.0
baseline_historical_dynamics,1,10.8,10.7,10.8,10.0,0.864,0.0,0.0
baseline_historical_dynamics,2,11.664,11.44151,11.664,10.0,0.93312,0.0,0.0
baseline_historical_dynamics,3,12.59712,12.225923,12.59712,10.0,1.00777,0.0,0.0
baseline_historical_dynamics,4,13.60489,13.054523,13.60489,10.0,1.088391,0.0,0.0
baseline_historical_dynamics,5,14.693281,13.928465,14.693281,10.0,1.175462,0.0,0.0
baseline_historical_dynamics,6,15.868743,14.84874,15.868743,10.0,1.269499,0.0,0.0
baseline_historical_dynamics,7,17.138243,15.816154,17.138243,10.0,1.371059,0.0,0.0
baseline_historical_dynamics,8,18.509302,16.831295,18.509302,10.8,1.480744,0.0,0.0
baseline_historical_dynamics,9,19.990046,17.894506,19.990046,11.664,1.599204,0.0,0.0
baseline_historical_dynamics,10,21.58925,19.005854,21.58925,12.59712,1.72714,0.0,0.0
baseline_historical_dynamics,11,23.31639,20.165099,23.31639,13.60489,1.865311,0.0,0.0
baseline_historical_dynamics,12,25.181701,21.371676,25.181701,14.693281,2.014536,0.0,0.0
baseline_historical_dynamics,13,27.196237,22.624662,27.196237,15.868743,2.175699,0.0,0.0
baseline_historical_dynamics,14,29.371936,23.922759,29.371936,17.138243,2.349755,0.0,0.0
baseline_historical_dynamics,15,31.721691,25.264282,31.721691,18.509302,2.537735,0.0,0.0
baseline_historical_dynamics,16,34.259426,26.64714,34.259426,19.990046,2.740754,0.0,0.0
baseline_historical_dynamics,17,37.000181,28.068841,37.000181,21.58925,2.960014,0.0,0.0
baseline_historical_dynamics,18,39.960195,29.526489,39.960195,23.31639,3.196816,0.0,0.0
baseline_historical_dynamics,19,43.157011,31.016794,43.157011,25.181701,3.452561,0.0,0.0
baseline_historical_dynamics,20,46.609571,32.536096,46.609571,27.196237,3.728766,0.0,0.0
baseline_historical_dynamics,21,50.338337,34.080386,50.338337,29.371936,4.027067,0.0,0.0
baseline_historical_dynamics,22,54.365404,35.645345,54.365404,31.721691,4.349232,0.0,0.0
baseline_historical_dynamics,23,58.714636,37.226382,58.714636,34.259426,4.697171,0.0,0.0
baseline_historical_dynamics,24,63.411807,38.818689,63.411807,37.000181,5.072945,0.0,0.0
baseline_historical_dynamics,25,68.484752,40.417293,68.484752,39.960195,5.47878,0.0,0.0
baseline_historical_dynamics,26,73.963532,42.017119,73.963532,43.157011,5.917083,0.0,0.0
baseline_historical_dynamics,27,79.880615,43.61305,79.880615,46.609571,6.390449,0.0,0.0
baseline_historical_dynamics,28,86.271064,45.199996,86.271064,50.338337,6.901685,0.0,0.0
baseline_historical_dynamics,29,93.172749,46.772956,93.172749,54.365404,7.45382,0.0,0.0
baseline_historical_dynamics,30,100.626569,48.327083,100.626569,58.714636,8.050126,0.222878,0.0
baseline_historical_dynamics,31,108.676694,49.857743,108.453816,63.411807,8.676305,0.504708,0.0
baseline_historical_dynamics,32,117.37083,51.360568,116.625413,68.484752,9.330033,0.809085,0.0
baseline_historical_dynamics,33,126.760496,52.831505,125.146361,73.963532,10.011709,1.137812,0.0
baseline_historical_dynamics,34,136.901336,54.266858,134.020258,79.880615,10.721621,1.492837,0.0
baseline_historical_dynamics,35,147.853443,55.663315,143.249042,86.271064,11.459923,1.876264,0.0
baseline_historical_dynamics,36,159.681718,57.017975,152.832701,93.172749,12.226616,2.290365,0.0
baseline_historical_dynamics,37,172.456256,58.328364,162.768952,100.626569,13.021516,2.737594,0.0
baseline_historical_dynamics,38,186.252756,59.592435,173.052874,108.453816,13.84423,3.207229,0.0
baseline_historical_dynamics,39,201.152977,60.808571,183.689875,116.625413,14.69519,3.697525,0.0
baseline_historical_dynamics,40,217.245215,61.975575,194.687541,125.146361,15.575003,4.208782,0.0
baseline_historical_dynamics,41,234.624832,63.092649,206.053762,134.020258,16.484301,4.741215,0.0
baseline_historical_dynamics,42,250.0,64.159378,217.796848,143.249042,17.423748,5.294943,0.0
baseline_historical_dynamics,43,250.0,65.175703,229.925653,152.832701,18.394052,5.869962,0.0
baseline_historical_dynamics,44,250.0,66.141887,242.449743,162.768952,19.395979,6.466137,0.0
baseline_historical_dynamics,45,250.0,67.058489,250.0,173.052874,20.0,7.083172,0.0
baseline_historical_dynamics,46,250.0,67.926327,250.0,183.689875,20.0,7.721393,0.0
