parameter,direction,base_value,revised_value,base_peak_delayed_feedback,revised_peak_delayed_feedback,peak_change,absolute_peak_change
growth_rate,-1,0.08,0.07,250.0,250.0,0.0,0.0
growth_rate,1,0.08,0.09,250.0,250.0,0.0,0.0
carrying_capacity,-1,80.0,70.0,250.0,250.0,0.0,0.0
carrying_capacity,1,80.0,90.0,250.0,250.0,0.0,0.0
balancing_strength,-1,0.06,0.049999999999999996,250.0,250.0,0.0,0.0
balancing_strength,1,0.06,0.06999999999999999,250.0,250.0,0.0,0.0
target,-1,55.0,50.0,250.0,250.0,0.0,0.0
target,1,55.0,60.0,250.0,250.0,0.0,0.0
delay,-1,7,5,250.0,250.0,0.0,0.0
delay,1,7,9,250.0,250.0,0.0,0.0
shock_size,-1,-8.0,0.0,250.0,250.0,0.0,0.0
shock_size,1,-8.0,0.0,250.0,250.0,0.0,0.0
