scenario,step,node_count,link_probability,threshold,seed_count,affected_count,affected_share,mean_degree,maximum_degree,new_failures
baseline_threshold,0,90,0.055,0.25,4,4,0.044444,4.311111,10,4
baseline_threshold,1,90,0.055,0.25,4,17,0.188889,4.311111,10,13
baseline_threshold,2,90,0.055,0.25,4,38,0.422222,4.311111,10,21
baseline_threshold,3,90,0.055,0.25,4,66,0.733333,4.311111,10,28
baseline_threshold,4,90,0.055,0.25,4,86,0.955556,4.311111,10,20
baseline_threshold,5,90,0.055,0.25,4,88,0.977778,4.311111,10,2
lower_threshold,0,90,0.055,0.18,4,4,0.044444,4.4,9,4
lower_threshold,1,90,0.055,0.18,4,18,0.2,4.4,9,14
lower_threshold,2,90,0.055,0.18,4,44,0.488889,4.4,9,26
lower_threshold,3,90,0.055,0.18,4,79,0.877778,4.4,9,35
lower_threshold,4,90,0.055,0.18,4,89,0.988889,4.4,9,10
lower_threshold,5,90,0.055,0.18,4,90,1.0,4.4,9,1
higher_connectivity,0,90,0.075,0.25,4,4,0.044444,7.311111,13,4
higher_connectivity,1,90,0.075,0.25,4,12,0.133333,7.311111,13,8
higher_connectivity,2,90,0.075,0.25,4,23,0.255556,7.311111,13,11
higher_connectivity,3,90,0.075,0.25,4,44,0.488889,7.311111,13,21
higher_connectivity,4,90,0.075,0.25,4,75,0.833333,7.311111,13,31
higher_connectivity,5,90,0.075,0.25,4,90,1.0,7.311111,13,15
larger_initial_shock,0,90,0.055,0.25,8,8,0.088889,4.977778,10,8
larger_initial_shock,1,90,0.055,0.25,8,34,0.377778,4.977778,10,26
larger_initial_shock,2,90,0.055,0.25,8,61,0.677778,4.977778,10,27
larger_initial_shock,3,90,0.055,0.25,8,84,0.933333,4.977778,10,23
larger_initial_shock,4,90,0.055,0.25,8,88,0.977778,4.977778,10,4
high_threshold_containment,0,90,0.055,0.35,4,4,0.044444,4.711111,11,4
sparse_network,0,90,0.035,0.25,4,4,0.044444,2.866667,8,4
sparse_network,1,90,0.035,0.25,4,26,0.288889,2.866667,8,22
sparse_network,2,90,0.035,0.25,4,54,0.6,2.866667,8,28
sparse_network,3,90,0.035,0.25,4,70,0.777778,2.866667,8,16
sparse_network,4,90,0.035,0.25,4,81,0.9,2.866667,8,11
sparse_network,5,90,0.035,0.25,4,86,0.955556,2.866667,8,5
sparse_network,6,90,0.035,0.25,4,88,0.977778,2.866667,8,2
sparse_network,7,90,0.035,0.25,4,89,0.988889,2.866667,8,1
dense_low_threshold,0,90,0.085,0.18,5,5,0.055556,6.888889,13,5
dense_low_threshold,1,90,0.085,0.18,5,21,0.233333,6.888889,13,16
dense_low_threshold,2,90,0.085,0.18,5,48,0.533333,6.888889,13,27
dense_low_threshold,3,90,0.085,0.18,5,84,0.933333,6.888889,13,36
dense_low_threshold,4,90,0.085,0.18,5,89,0.988889,6.888889,13,5
small_containment_test,0,60,0.05,0.3,3,3,0.05,2.966667,7,3
small_containment_test,1,60,0.05,0.3,3,15,0.25,2.966667,7,12
small_containment_test,2,60,0.05,0.3,3,22,0.366667,2.966667,7,7
small_containment_test,3,60,0.05,0.3,3,29,0.483333,2.966667,7,7
small_containment_test,4,60,0.05,0.3,3,36,0.6,2.966667,7,7
small_containment_test,5,60,0.05,0.3,3,42,0.7,2.966667,7,6
small_containment_test,6,60,0.05,0.3,3,46,0.766667,2.966667,7,4
small_containment_test,7,60,0.05,0.3,3,52,0.866667,2.966667,7,6
small_containment_test,8,60,0.05,0.3,3,56,0.933333,2.966667,7,4
small_containment_test,9,60,0.05,0.3,3,57,0.95,2.966667,7,1
small_containment_test,10,60,0.05,0.3,3,58,0.966667,2.966667,7,1
