"scenario","step","node_count","link_probability","threshold","seed_count","affected_count","affected_share","new_failures","mean_degree","maximum_degree"
"baseline_threshold",0,80,0.055,0.25,4,4,0.05,4,4.7,11
"baseline_threshold",1,80,0.055,0.25,4,19,0.2375,15,4.7,11
"baseline_threshold",2,80,0.055,0.25,4,37,0.4625,18,4.7,11
"baseline_threshold",3,80,0.055,0.25,4,62,0.775,25,4.7,11
"baseline_threshold",4,80,0.055,0.25,4,78,0.975,16,4.7,11
"baseline_threshold",5,80,0.055,0.25,4,79,0.9875,1,4.7,11
"lower_threshold",0,80,0.055,0.18,4,4,0.05,4,4.175,10
"lower_threshold",1,80,0.055,0.18,4,25,0.3125,21,4.175,10
"lower_threshold",2,80,0.055,0.18,4,54,0.675,29,4.175,10
"lower_threshold",3,80,0.055,0.18,4,76,0.95,22,4.175,10
"lower_threshold",4,80,0.055,0.18,4,79,0.9875,3,4.175,10
"higher_connectivity",0,80,0.075,0.25,4,4,0.05,4,6.575,15
"higher_connectivity",1,80,0.075,0.25,4,15,0.1875,11,6.575,15
"higher_connectivity",2,80,0.075,0.25,4,28,0.35,13,6.575,15
"higher_connectivity",3,80,0.075,0.25,4,52,0.65,24,6.575,15
"higher_connectivity",4,80,0.075,0.25,4,79,0.9875,27,6.575,15
"higher_connectivity",5,80,0.075,0.25,4,80,1,1,6.575,15
"larger_initial_shock",0,80,0.055,0.25,8,8,0.1,8,4.7,10
"larger_initial_shock",1,80,0.055,0.25,8,36,0.45,28,4.7,10
"larger_initial_shock",2,80,0.055,0.25,8,61,0.7625,25,4.7,10
"larger_initial_shock",3,80,0.055,0.25,8,76,0.95,15,4.7,10
"larger_initial_shock",4,80,0.055,0.25,8,80,1,4,4.7,10
"high_threshold_containment",0,80,0.055,0.35,4,4,0.05,4,4.525,10
"high_threshold_containment",1,80,0.055,0.35,4,10,0.125,6,4.525,10
"high_threshold_containment",2,80,0.055,0.35,4,14,0.175,4,4.525,10
"high_threshold_containment",3,80,0.055,0.35,4,16,0.2,2,4.525,10
"high_threshold_containment",4,80,0.055,0.35,4,17,0.2125,1,4.525,10
"high_threshold_containment",5,80,0.055,0.35,4,18,0.225,1,4.525,10
