scenario,step,affected_count,affected_share,new_failures
baseline_threshold,0,4,0.044444,4
baseline_threshold,1,22,0.244444,18
baseline_threshold,2,50,0.555556,28
baseline_threshold,3,74,0.822222,24
baseline_threshold,4,85,0.944444,11
baseline_threshold,5,89,0.988889,4
lower_threshold,0,4,0.044444,4
lower_threshold,1,25,0.277778,21
lower_threshold,2,59,0.655556,34
lower_threshold,3,80,0.888889,21
lower_threshold,4,89,0.988889,9
higher_connectivity,0,4,0.044444,4
higher_connectivity,1,16,0.177778,12
higher_connectivity,2,30,0.333333,14
higher_connectivity,3,58,0.644444,28
higher_connectivity,4,85,0.944444,27
higher_connectivity,5,89,0.988889,4
higher_connectivity,6,90,1.000000,1
larger_initial_shock,0,8,0.088889,8
larger_initial_shock,1,36,0.400000,28
larger_initial_shock,2,68,0.755556,32
larger_initial_shock,3,85,0.944444,17
larger_initial_shock,4,87,0.966667,2
larger_initial_shock,5,89,0.988889,2
