"agent_id","group","threshold","perceived_benefit","cost_sensitivity","trust","resistance","adopted","scenario"
1,"early_access",0.478701510874089,0.831122623989359,0.335841860435903,0.840656669123564,0.342523655667901,0,"baseline_diffusion"
2,"mainstream",0.55572878473904,0.67097649439238,0.347133309033234,0.679947301640641,0.461519435211085,0,"baseline_diffusion"
3,"high_barrier",0.737322532874532,0.551689288078342,0.877135286503472,0.339400088519324,0.611802487890236,0,"baseline_diffusion"
4,"early_access",0.48500363068888,0.843467928515747,0.285246208496392,0.716248978546355,0.31809982387349,0,"baseline_diffusion"
5,"mainstream",0.671209416189231,0.491613050317392,0.646112105122302,0.781333881395403,0.274731267429888,0,"baseline_diffusion"
6,"high_barrier",0.754263535304926,0.436571213486604,0.867008345818613,0.406439369835425,0.742601490998641,0,"baseline_diffusion"
7,"early_access",0.434398904442787,0.793316542380489,0.3664324848447,0.789809405291453,0.151184501638636,1,"baseline_diffusion"
8,"mainstream",0.64987482407596,0.452200244064443,0.372680640488397,0.767310492729303,0.433533593034372,0,"baseline_diffusion"
9,"high_barrier",0.713867772161029,0.452520054741763,0.56310086150188,0.590738969820086,0.601112937112339,0,"baseline_diffusion"
10,"early_access",0.489394149160944,0.816326471650973,0.441993630840443,0.88983831362566,0.335651462199166,0,"baseline_diffusion"
11,"mainstream",0.500028163380921,0.554024474462494,0.439469893998466,0.724642471491825,0.2616809473373,0,"baseline_diffusion"
12,"high_barrier",0.82463861585129,0.537046890566126,0.609942515636794,0.34138078733813,0.630044527130667,0,"baseline_diffusion"
13,"early_access",0.41890181862982,0.844845159375109,0.477863280265592,0.748270948429126,0.404906915570609,0,"baseline_diffusion"
14,"mainstream",0.456842180620879,0.531385984411463,0.589855469833128,0.692621687136125,0.322163421893492,0,"baseline_diffusion"
15,"high_barrier",0.612896638805978,0.349167682940606,0.625734895269852,0.417789497470949,0.519093619799241,0,"baseline_diffusion"
16,"early_access",0.429838959418703,0.552365421620198,0.362646989384666,0.730042697908357,0.150471166265197,0,"baseline_diffusion"
17,"mainstream",0.57448120075278,0.497371562453918,0.425659907050431,0.675971157441381,0.482747008791193,0,"baseline_diffusion"
18,"high_barrier",0.769094052468427,0.381796189513989,0.581493180722464,0.279964222724084,0.556826429313514,0,"baseline_diffusion"
