"scenario","step","adoption_share","adopter_count","adoption_gap","early_access_adoption","mainstream_adoption","high_barrier_adoption","seed_count"
"baseline_diffusion",0,0.05,6,0.075,0.1,0.025,0.025,6
"baseline_diffusion",1,0.0916666666666667,11,0.2,0.225,0.025,0.025,6
"baseline_diffusion",2,0.116666666666667,14,0.275,0.3,0.025,0.025,6
"baseline_diffusion",3,0.125,15,0.3,0.325,0.025,0.025,6
"baseline_diffusion",4,0.141666666666667,17,0.35,0.375,0.025,0.025,6
"baseline_diffusion",5,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",6,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",7,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",8,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",9,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",10,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",11,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",12,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",13,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",14,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",15,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",16,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",17,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",18,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",19,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",20,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",21,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",22,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",23,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",24,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",25,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",26,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",27,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",28,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",29,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",30,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",31,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",32,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",33,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",34,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",35,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",36,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",37,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",38,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",39,0.15,18,0.35,0.375,0.05,0.025,6
"baseline_diffusion",40,0.15,18,0.35,0.375,0.05,0.025,6
"high_social_influence",0,0.05,6,0.1,0.05,0,0.1,6
"high_social_influence",1,0.0666666666666667,8,0.1,0.1,0,0.1,6
"high_social_influence",2,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",3,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",4,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",5,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",6,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",7,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",8,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",9,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",10,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",11,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",12,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",13,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",14,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",15,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",16,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",17,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",18,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",19,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",20,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",21,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",22,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",23,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",24,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",25,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",26,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",27,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",28,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",29,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",30,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",31,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",32,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",33,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",34,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",35,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",36,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",37,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",38,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",39,0.075,9,0.125,0.125,0,0.1,6
"high_social_influence",40,0.075,9,0.125,0.125,0,0.1,6
"high_cost_barrier",0,0.05,6,0.05,0.075,0.025,0.05,6
"high_cost_barrier",1,0.0666666666666667,8,0.1,0.125,0.025,0.05,6
"high_cost_barrier",2,0.0666666666666667,8,0.1,0.125,0.025,0.05,6
"high_cost_barrier",3,0.0666666666666667,8,0.1,0.125,0.025,0.05,6
"high_cost_barrier",4,0.0666666666666667,8,0.1,0.125,0.025,0.05,6
