agent_id,group,threshold,perceived_benefit,cost_sensitivity,trust,resistance,adopted,scenario,degree
1,early_access,0.409857,0.557503,0.332509,0.628124,0.370941,0,baseline_diffusion,5
2,mainstream,0.60301,0.717654,0.330429,0.597673,0.258939,0,baseline_diffusion,4
3,high_barrier,0.665591,0.476874,0.559288,0.319593,0.67746,0,baseline_diffusion,2
4,early_access,0.386235,0.616132,0.42678,0.833301,0.15195,0,baseline_diffusion,9
5,mainstream,0.641746,0.659442,0.419088,0.504418,0.537164,0,baseline_diffusion,0
6,high_barrier,0.700978,0.332461,0.583851,0.546623,0.661304,0,baseline_diffusion,5
7,early_access,0.451782,0.76892,0.410868,0.890591,0.26356,1,baseline_diffusion,3
8,mainstream,0.565612,0.698821,0.516482,0.751597,0.423206,0,baseline_diffusion,2
9,high_barrier,0.811372,0.316039,0.629764,0.351286,0.477927,0,baseline_diffusion,1
10,early_access,0.308198,0.5803,0.333392,0.77249,0.25945,1,baseline_diffusion,4
11,mainstream,0.511054,0.512852,0.393442,0.777829,0.444411,0,baseline_diffusion,4
12,high_barrier,0.782739,0.359899,0.805194,0.307191,0.582809,0,baseline_diffusion,4
13,early_access,0.497381,0.742,0.417085,0.789615,0.402856,0,baseline_diffusion,5
14,mainstream,0.6328,0.518714,0.311235,0.560409,0.330322,0,baseline_diffusion,1
15,high_barrier,0.663295,0.630018,0.856729,0.360137,0.679404,0,baseline_diffusion,5
16,early_access,0.348908,0.824364,0.387656,0.642708,0.223988,0,baseline_diffusion,2
17,mainstream,0.56841,0.528822,0.504605,0.764238,0.36982,0,baseline_diffusion,1
18,high_barrier,0.665796,0.649138,0.728334,0.281818,0.466491,0,baseline_diffusion,8
19,early_access,0.277412,0.738234,0.487624,0.697756,0.169058,0,baseline_diffusion,7
20,mainstream,0.514486,0.748836,0.48519,0.789877,0.508234,1,baseline_diffusion,2
21,high_barrier,0.603444,0.552253,0.788599,0.43794,0.543389,0,baseline_diffusion,3
22,early_access,0.41024,0.583466,0.38043,0.708803,0.436145,0,baseline_diffusion,3
23,mainstream,0.662756,0.529017,0.475205,0.512528,0.523788,0,baseline_diffusion,2
24,high_barrier,0.861156,0.404456,0.773632,0.46314,0.503494,0,baseline_diffusion,5
25,early_access,0.440628,0.711814,0.483588,0.735624,0.150172,0,baseline_diffusion,5
26,mainstream,0.497247,0.455843,0.625185,0.757553,0.4995,0,baseline_diffusion,5
27,high_barrier,0.692254,0.320274,0.857303,0.581432,0.479979,0,baseline_diffusion,4
28,early_access,0.371498,0.570764,0.478181,0.818042,0.188517,0,baseline_diffusion,3
29,mainstream,0.542585,0.614941,0.39277,0.755352,0.376941,0,baseline_diffusion,7
30,high_barrier,0.663539,0.488754,0.805476,0.320403,0.559101,0,baseline_diffusion,2
31,early_access,0.498787,0.744963,0.38143,0.731152,0.186301,0,baseline_diffusion,4
32,mainstream,0.467409,0.551426,0.505908,0.53054,0.316065,0,baseline_diffusion,2
33,high_barrier,0.621298,0.520886,0.63013,0.566897,0.750872,0,baseline_diffusion,4
34,early_access,0.267714,0.621401,0.450693,0.624983,0.189694,0,baseline_diffusion,6
35,mainstream,0.680654,0.621313,0.465435,0.724617,0.492249,0,baseline_diffusion,4
36,high_barrier,0.657123,0.333926,0.700868,0.398253,0.613459,0,baseline_diffusion,1
37,early_access,0.432269,0.752009,0.54525,0.584446,0.270786,0,baseline_diffusion,3
38,mainstream,0.501791,0.708502,0.38703,0.516573,0.384584,0,baseline_diffusion,6
39,high_barrier,0.726564,0.397491,0.637432,0.573143,0.605096,0,baseline_diffusion,2
40,early_access,0.465337,0.715098,0.265176,0.899749,0.400808,0,baseline_diffusion,7
41,mainstream,0.690699,0.72791,0.597044,0.508209,0.395692,0,baseline_diffusion,1
42,high_barrier,0.664124,0.440364,0.570522,0.382641,0.794858,1,baseline_diffusion,4
43,early_access,0.316301,0.785221,0.386503,0.698053,0.437195,0,baseline_diffusion,6
44,mainstream,0.698627,0.61673,0.551443,0.504179,0.339012,0,baseline_diffusion,10
45,high_barrier,0.890613,0.502713,0.739768,0.511791,0.470008,0,baseline_diffusion,2
46,early_access,0.396044,0.700855,0.505816,0.605101,0.438234,0,baseline_diffusion,5
47,mainstream,0.424033,0.505747,0.508262,0.686324,0.320561,0,baseline_diffusion,4
48,high_barrier,0.635966,0.611601,0.636175,0.458082,0.666784,0,baseline_diffusion,3
49,early_access,0.354806,0.725102,0.406835,0.877147,0.211278,0,baseline_diffusion,3
50,mainstream,0.614858,0.521606,0.438525,0.685092,0.339999,0,baseline_diffusion,6
51,high_barrier,0.694853,0.563153,0.57539,0.4104,0.799459,1,baseline_diffusion,3
52,early_access,0.499024,0.571978,0.313946,0.64282,0.429978,0,baseline_diffusion,1
53,mainstream,0.664259,0.713781,0.429334,0.505211,0.500123,0,baseline_diffusion,3
54,high_barrier,0.811062,0.514087,0.895532,0.478892,0.452738,0,baseline_diffusion,3
55,early_access,0.454276,0.639814,0.449017,0.878626,0.190287,0,baseline_diffusion,6
56,mainstream,0.434629,0.482111,0.493628,0.545322,0.431449,0,baseline_diffusion,1
57,high_barrier,0.815284,0.371259,0.771983,0.342394,0.620986,0,baseline_diffusion,4
58,early_access,0.476334,0.803831,0.27769,0.698252,0.233004,0,baseline_diffusion,1
59,mainstream,0.401064,0.681336,0.52299,0.541684,0.472369,0,baseline_diffusion,2
60,high_barrier,0.765504,0.44969,0.553384,0.276335,0.759087,0,baseline_diffusion,2
61,early_access,0.475982,0.713677,0.500379,0.753878,0.194428,0,baseline_diffusion,4
62,mainstream,0.438234,0.542478,0.614644,0.728643,0.508211,0,baseline_diffusion,8
63,high_barrier,0.869677,0.373527,0.637335,0.285978,0.723041,0,baseline_diffusion,6
