year,output,emissions_intensity,mitigation_rate,emissions,atmospheric_pressure,temperature_proxy,damages,mitigation_cost,consumption_proxy,discounted_welfare_proxy
2025,  100.000000,    0.420000,    0.060000,   39.480000,    1.000000,    1.200000,    1.440000,    0.014400,   98.545600,    4.600616
2030,  106.145738,    0.395398,    0.085000,   38.402338,    1.450828,    1.229125,    1.603594,    0.030676,  104.511468,    4.324597
2035,  112.669178,    0.372236,    0.110000,   37.326208,    1.884234,    1.270902,    1.819824,    0.054532,  110.794821,    4.064196
2040,  119.593531,    0.350432,    0.135000,   36.251606,    2.300411,    1.324664,    2.098549,    0.087184,  117.407798,    3.818599
2045,  126.943436,    0.329904,    0.160000,   35.178532,    2.699549,    1.389754,    2.451807,    0.129990,  124.361639,    3.587025
2050,  134.745048,    0.310580,    0.185000,   34.106985,    3.081838,    1.465532,    2.894035,    0.184466,  131.666547,    3.368727
2055,  143.026126,    0.292387,    0.210000,   33.036961,    3.447463,    1.551370,    3.442280,    0.252298,  139.331548,    3.162990
2060,  151.816137,    0.275260,    0.235000,   31.968461,    3.796610,    1.646652,    4.116437,    0.335362,  147.364338,    2.969135
2065,  161.146360,    0.259136,    0.260000,   30.901481,    4.129462,    1.750776,    4.939484,    0.435740,  155.771136,    2.786514
2070,  171.049994,    0.243956,    0.285000,   29.836021,    4.446199,    1.863153,    5.937722,    0.555741,  164.556530,    2.614512
2075,  181.562279,    0.229666,    0.310000,   28.772078,    4.747002,    1.983205,    7.141028,    0.697925,  173.723326,    2.452546
2080,  192.720622,    0.216213,    0.335000,   27.709652,    5.032048,    2.110368,    8.583106,    0.865123,  183.272393,    2.300063
2085,  204.564727,    0.203548,    0.360000,   26.648741,    5.301512,    2.244089,   10.301745,    1.060464,  193.202519,    2.156540
2090,  217.136740,    0.191624,    0.385000,   25.589342,    5.555569,    2.383827,   12.339077,    1.287404,  203.510259,    2.021480
2095,  230.481396,    0.180400,    0.410000,   24.531454,    5.794391,    2.529053,   14.741836,    1.549757,  214.189803,    1.894411
2100,  244.646179,    0.169832,    0.435000,   23.475077,    6.018148,    2.679248,   17.561612,    1.851727,  225.232841,    1.774890
